k,count,sum_q,sum_e,sum_s2,sum_qs2,sum_es2
0,1,-1,1,0,0,0
1,25,-25,25,0,0,0
2,300,-300,300,0,0,0
3,2300,-2300,2300,0,0,0
4,12650,-12650,12650,0,0,0
5,53130,-53120,53120,0,0,0
6,177100,-176900,176900,-2,2,-2
7,480700,-478700,478700,-32,32,-32
8,1081575,-1068575,1068575,-238,238,-238
9,2042975,-1982325,1982375,-1080,1080,-1080
10,3268760,-3054280,3055480,-3318,3318,-3318
11,4457400,-3863250,3876050,-7220,7196,-7196
12,5200300,-3890950,3971200,-11198,10990,-10990
13,5200300,-2905150,3229550,-11976,11216,-11216
14,4457400,-1290250,2155950,-8252,6880,-6904
15,3268760,128000,1407700,-3312,2072,-2168
16,2042975,765475,1048625,-696,184,-328
17,1081575,709225,741025,-72,-24,-32
18,480700,406900,408000,-4,-4,-4
19,177100,168100,168100,0,0,0
20,53130,52610,52610,0,0,0
21,12650,12650,12650,0,0,0
22,2300,2300,2300,0,0,0
23,300,300,300,0,0,0
24,25,25,25,0,0,0
25,1,1,1,0,0,0
