k,count,sum_q,sum_e,sum_a4,sum_qa4,sum_ea4
0,1,-1,1,4,-4,4
1,25,-25,25,96,-96,96
2,300,-300,300,1104,-1104,1104
3,2300,-2300,2300,8088,-8088,8088
4,12650,-12650,12650,42336,-42336,42336
5,53130,-53120,53120,168336,-168304,168304
6,177100,-176900,176900,527694,-527102,527102
7,480700,-478700,478700,1335720,-1330280,1330280
8,1081575,-1068575,1068575,2772742,-2740470,2740470
9,2042975,-1982325,1982375,4764376,-4628072,4628184
10,3268760,-3054280,3055480,6803362,-6372210,6374562
11,4457400,-3863250,3876050,8064116,-7015956,7037636
12,5200300,-3890950,3971200,7890942,-5921774,6037422
13,5200300,-2905150,3229550,6332440,-3506432,3893552
14,4457400,-1290250,2155950,4158604,-1121880,1941856
15,3268760,128000,1407700,2244024,160440,929656
16,2042975,765475,1048625,995232,401368,505752
17,1081575,709225,741025,357768,238408,244544
18,480700,406900,408000,101572,85356,85372
19,177100,168100,168100,21944,20576,20576
20,53130,52610,52610,3396,3340,3340
21,12650,12650,12650,336,336,336
22,2300,2300,2300,16,16,16
23,300,300,300,0,0,0
24,25,25,25,0,0,0
25,1,1,1,0,0,0
