k,count,sum_q,sum_e,sum_b16,sum_qb16,sum_eb16,sum_b16_adj,sum_qb16_adj,sum_eb16_adj,sum_b16_far,sum_qb16_far,sum_eb16_far
0,1,-1,1,0,0,0,0,0,0,0,0,0
1,25,-25,25,0,0,0,0,0,0,0,0,0
2,300,-300,300,48,-48,48,32,-32,32,16,-16,16
3,2300,-2300,2300,1008,-1008,1008,672,-672,672,336,-336,336
4,12650,-12650,12650,10080,-10080,10080,6720,-6720,6720,3360,-3360,3360
5,53130,-53120,53120,64240,-64208,64208,42752,-42720,42720,21488,-21488,21488
6,177100,-176900,176900,293744,-293168,293168,194720,-194144,194144,99024,-99024,99024
7,480700,-478700,478700,1027032,-1021656,1021656,676456,-671176,671176,350576,-350480,350480
8,1081575,-1068575,1068575,2854860,-2821228,2821228,1861208,-1829176,1829176,993652,-992052,992052
9,2042975,-1982325,1982375,6463012,-6306500,6306692,4146528,-4003712,4003904,2316484,-2302788,2302788
10,3268760,-3054280,3055480,12037836,-11462124,11465836,7557216,-7059520,7063232,4480620,-4402604,4402604
11,4457400,-3863250,3876050,18302476,-16592196,16625572,11251136,-9854936,9887960,7051340,-6737260,6737612
12,5200300,-3890950,3971200,22064836,-18055476,18245044,13491152,-10367744,10550528,8573684,-7687732,7694516
13,5200300,-2905150,3229550,20210956,-13214436,13948036,12737552,-7417040,8096976,7473404,-5797396,5851060
14,4457400,-1290250,2155950,13686692,-5180652,7010060,9319816,-2794728,4420904,4366876,-2385924,2589156
15,3268760,128000,1407700,7035408,-91632,2807504,5316776,240688,2125840,1718632,-332320,681664
16,2042975,765475,1048625,2887096,978912,1328960,2391608,888680,1142936,495488,90232,186024
17,1081575,709225,741025,940268,572580,589692,835680,521120,534176,104588,51460,55516
18,480700,406900,408000,233184,183936,183936,218688,173152,173152,14496,10784,10784
19,177100,168100,168100,41440,37152,37152,40320,36096,36096,1120,1056,1056
20,53130,52610,52610,4704,4512,4512,4672,4480,4480,32,32,32
21,12650,12650,12650,256,256,256,256,256,256,0,0,0
22,2300,2300,2300,0,0,0,0,0,0,0,0,0
23,300,300,300,0,0,0,0,0,0,0,0,0
24,25,25,25,0,0,0,0,0,0,0,0,0
25,1,1,1,0,0,0,0,0,0,0,0,0
