k,g,q,bad2,n_bad3,count
0,0,-1,0,0,1
1,2,-1,0,0,25
2,4,-1,0,0,300
3,6,-1,0,0,2300
4,6,-1,0,0,25
4,8,-1,0,0,12625
5,8,-1,0,0,525
5,9,0,0,0,5
5,9,0,1,1,5
5,10,-1,0,0,52595
6,8,-1,0,0,50
6,10,-1,0,0,5150
6,11,0,0,0,100
6,11,0,1,1,100
6,12,-1,0,0,171700
7,10,-1,0,0,1000
7,11,0,0,0,50
7,11,0,1,1,50
7,12,-1,0,0,31150
7,13,0,0,0,950
7,13,0,1,1,950
7,14,-1,0,0,446550
8,10,-1,0,0,150
8,11,0,0,0,50
8,11,0,1,1,50
8,12,-1,0,0,9100
8,13,0,0,0,850
8,13,0,1,1,850
8,14,-1,0,0,129100
8,15,0,0,0,5600
8,15,0,1,1,5600
8,16,-1,0,0,930225
9,10,-1,0,0,25
9,11,0,0,0,50
9,11,0,1,1,50
9,12,-1,0,0,2550
9,13,0,0,0,925
9,13,0,1,1,925
9,14,-1,0,0,49550
9,15,0,0,0,6725
9,15,0,1,1,6725
9,16,-1,0,0,384825
9,16,1,1,1,25
9,17,0,0,0,22600
9,17,0,1,1,22600
9,18,-1,0,0,1545400
10,9,0,0,0,5
10,9,0,1,1,5
10,12,-1,0,0,800
10,13,0,0,0,1100
10,13,0,1,1,1100
10,14,-1,0,0,18900
10,15,0,0,0,7550
10,15,0,1,1,7550
10,16,-1,0,0,178700
10,16,1,1,1,100
10,17,0,0,0,32430
10,17,0,1,1,32425
10,17,0,1,2,5
10,18,-1,0,0,840550
10,18,1,1,1,500
10,19,0,0,0,65100
10,19,0,1,1,66010
10,20,-1,0,0,2015930
11,11,0,0,0,75
11,11,0,1,1,75
11,12,-1,0,0,200
11,13,0,0,0,575
11,13,0,1,1,575
11,14,-1,0,0,7750
11,15,0,0,0,9350
11,15,0,1,1,9350
11,16,-1,0,0,80850
11,16,1,1,1,350
11,17,0,0,0,36625
11,17,0,1,1,36625
11,18,-1,0,0,444150
11,18,1,1,1,1800
11,19,0,0,0,104550
11,19,0,1,1,107100
11,19,0,1,2,50
11,20,-1,0,0,1336800
11,20,1,1,1,4250
11,21,0,0,0,134550
11,21,0,1,1,141850
11,22,-1,0,0,1999900
12,11,0,0,0,50
12,11,0,1,1,50
12,12,-1,0,0,50
12,13,0,0,0,825
12,13,0,1,1,825
12,14,-1,0,0,2925
12,15,0,0,0,7350
12,15,0,1,1,7350
12,16,-1,0,0,37025
12,16,1,1,1,1000
12,17,0,0,0,43575
12,17,0,1,1,43575
12,18,-1,0,0,219950
12,18,1,1,1,5000
12,19,0,0,0,116825
12,19,0,1,1,121625
12,19,0,1,2,50
12,20,-1,0,0,755325
12,20,1,1,1,14825
12,21,0,0,0,229425
12,21,0,1,1,247625
12,21,0,1,2,200
12,22,-1,0,0,1493225
12,22,1,1,1,19300
12,23,0,0,0,193100
12,23,0,1,1,216650
12,24,-1,0,0,1422575
13,11,0,0,0,50
13,11,0,1,1,50
13,13,0,0,0,725
13,13,0,1,1,725
13,14,-1,0,0,1100
13,14,1,1,1,50
13,15,0,0,0,7375
13,15,0,1,1,7375
13,16,-1,0,0,15650
13,16,1,1,1,2125
13,17,0,0,0,37875
13,17,0,1,1,37875
13,18,-1,0,0,103475
13,18,1,1,1,11900
13,19,0,0,0,128175
13,19,0,1,1,134925
13,19,0,1,2,50
13,20,-1,0,0,377800
13,20,1,1,1,34750
13,21,0,0,0,244825
13,21,0,1,1,273325
13,21,0,1,2,250
13,22,-1,0,0,832700
13,22,1,1,1,64375
13,23,0,0,0,329150
13,23,0,1,1,379850
13,23,0,1,2,300
13,24,-1,0,0,1081000
13,24,1,1,1,49000
13,25,0,0,0,175700
13,25,0,1,1,212150
13,26,-1,0,0,655625
14,11,0,0,0,50
14,11,0,1,1,50
14,13,0,0,0,700
14,13,0,1,1,700
14,14,-1,0,0,350
14,14,1,1,1,200
14,15,0,0,0,6350
14,15,0,1,1,6350
14,16,-1,0,0,5950
14,16,1,1,1,4400
14,17,0,0,0,34250
14,17,0,1,1,34250
14,18,-1,0,0,43750
14,18,1,1,1,21200
14,19,0,0,0,107250
14,19,0,1,1,115050
14,19,0,1,2,50
14,20,-1,0,0,165750
14,20,1,1,1,69400
14,21,0,0,0,236775
14,21,0,1,1,268925
14,21,0,1,2,150
14,22,-1,0,0,375850
14,22,1,1,1,127850
14,23,0,0,0,311100
14,23,0,1,1,374050
14,23,0,1,2,300
14,24,-1,0,0,529350
14,24,1,1,1,150600
14,25,0,0,0,271200
14,25,0,1,1,333600
14,25,0,1,2,150
14,26,-1,0,0,437050
14,26,1,1,1,59200
14,27,0,0,0,86700
14,27,0,1,1,113450
14,28,-1,0,0,165050
15,9,0,0,0,5
15,9,0,1,1,5
15,13,0,0,0,850
15,13,0,1,1,850
15,14,-1,0,0,100
15,14,1,1,1,700
15,15,0,0,0,5125
15,15,0,1,1,5125
15,16,-1,0,0,1850
15,16,1,1,1,7150
15,17,0,0,0,26980
15,17,0,1,1,26975
15,17,0,1,2,5
15,18,-1,0,0,15550
15,18,1,1,1,36150
15,19,0,0,0,84350
15,19,0,1,1,91960
15,20,-1,0,0,59750
15,20,1,1,1,103100
15,21,0,0,0,170175
15,21,0,1,1,197475
15,21,0,1,2,100
15,22,-1,0,0,133050
15,22,1,1,1,209600
15,23,0,0,0,236300
15,23,0,1,1,288300
15,24,-1,0,0,181250
15,24,1,1,1,234850
15,25,0,0,0,197375
15,25,0,1,1,252175
15,25,0,1,2,150
15,26,-1,0,0,155350
15,26,1,1,1,147650
15,27,0,0,0,102125
15,27,0,1,1,132625
15,28,-1,0,0,75100
15,28,1,1,1,28650
15,29,0,0,0,17300
15,29,0,0,1,10
15,29,0,1,1,24720
15,30,-1,0,0,17850
16,11,0,0,0,50
16,11,0,1,1,50
16,12,1,1,1,25
16,13,0,0,0,575
16,13,0,1,1,575
16,14,-1,0,0,25
16,14,1,1,1,1600
16,15,0,0,0,4550
16,15,0,1,1,4550
16,16,-1,0,0,400
16,16,1,1,1,11350
16,17,0,0,0,18675
16,17,0,1,1,18675
16,18,-1,0,0,4000
16,18,1,1,1,49850
16,19,0,0,0,54900
16,19,0,1,1,61000
16,20,-1,0,0,16200
16,20,1,1,1,139325
16,21,0,0,0,99125
16,21,0,1,1,115825
16,22,-1,0,0,32425
16,22,1,1,1,245350
16,23,0,0,0,120825
16,23,0,1,1,150125
16,24,-1,0,0,39825
16,24,1,1,1,261225
16,25,0,0,0,93900
16,25,0,1,1,119900
16,26,-1,0,0,31000
16,26,1,1,1,150825
16,27,0,0,0,43300
16,27,0,1,1,57700
16,28,-1,0,0,14050
16,28,1,1,1,44800
16,29,0,0,0,11500
16,29,0,1,1,15400
16,30,-1,0,0,3350
16,30,1,1,1,2700
16,31,0,0,0,1100
16,31,0,1,1,2050
16,32,-1,0,0,300
17,11,0,0,0,50
17,11,0,1,1,50
17,12,1,1,1,150
17,13,0,0,0,500
17,13,0,1,1,500
17,14,1,1,1,2975
17,15,0,0,0,3250
17,15,0,1,1,3250
17,16,-1,0,0,25
17,16,1,1,1,15800
17,17,0,0,0,11450
17,17,0,1,1,11450
17,18,-1,0,0,700
17,18,1,1,1,63450
17,19,0,0,0,27175
17,19,0,1,1,30925
17,20,-1,0,0,2100
17,20,1,1,1,150675
17,21,0,0,0,40850
17,21,0,1,1,47300
17,22,-1,0,0,5000
17,22,1,1,1,213500
17,23,0,0,0,38625
17,23,0,1,1,48625
17,24,-1,0,0,4225
17,24,1,1,1,178025
17,25,0,0,0,23000
17,25,0,1,1,28500
17,26,-1,0,0,3250
17,26,1,1,1,80550
17,27,0,0,0,8750
17,27,0,1,1,11900
17,28,-1,0,0,600
17,28,1,1,1,17750
17,29,0,0,0,1800
