L,seed,configuration_counter,pair_ordinal,x,y,anchor_x,anchor_y,orientation,shell,shell_lower,shell_upper,relation_mask,carrier_mask,sites,eligible_both,persistent_s2_count,shared_transition_count,kernel_preserving_topological_count,kernel_only_count,joint_count,sum_g16_0,sum_g16_1,sum_abs_g16_0,sum_abs_g16_1,sum_delta_g16,sum_abs_delta_g16,sum_q0,sum_q1,sum_delta_q,sum_abs_delta_q,sum_E0,sum_E1,sum_delta_E,sum_abs_delta_E,sum_q_observable_num32,sum_abs_q_observable_num32,sum_q_kernel_num32,sum_abs_q_kernel_num32,sum_q_product_delta_num16,sum_abs_q_product_delta_num16,sum_E_observable_num32,sum_abs_E_observable_num32,sum_E_kernel_num32,sum_abs_E_kernel_num32,sum_E_product_delta_num16,sum_abs_E_product_delta_num16,q_identity_residual_num32,E_identity_residual_num32,q_identity_max_abs,E_identity_max_abs,sum_shared0,sum_shared1
32,2026083123593201,0,0,0,8,0,0,H,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,0,0,0,8,0,0,H,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,0,0,0,8,0,0,H,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,0,0,0,8,0,0,H,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,0,0,0,8,0,0,H,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,0,0,0,8,0,0,H,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-75,5,5,80,75,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,0,0,0,8,0,0,H,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-238,9,9,247,238,-9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,0,0,0,8,0,0,H,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-625,22,22,647,625,-22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,0,0,0,8,0,0,H,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,0,1,0,256,0,0,V,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,0,1,0,256,0,0,V,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
