n,a,b,orientation,batch,samples,sum_q,sum_e,sum_s,sum_k,sum_kk,sum_edges,sum_chi,sum_e_s,sum_e_k,sum_e_kk,sum_e_edges,sum_e_chi
65,8,1,first,0,10000,40,6282,44630,385840,14656406,458254,8580,29056,242399,9234338,287863,5438
65,7,4,second,0,10000,69,6365,44851,385840,14656406,457798,8682,29502,245562,9352384,291458,5663
65,8,1,first,1,10000,-78,6286,44682,385174,14611940,456668,8964,29021,242321,9227940,287533,5721
65,7,4,second,1,10000,-90,6398,44759,385174,14611940,456479,8769,29604,246211,9359226,291716,5742
65,8,1,first,2,10000,0,6282,44631,385230,14612416,456850,8737,29050,242061,9210850,287125,5666
65,7,4,second,2,10000,4,6356,44614,385230,14612416,456933,8600,29304,244599,9295916,290107,5572
65,8,1,first,3,10000,-80,6226,45080,384910,14587570,455438,9232,28978,239659,9109554,283502,5910
65,7,4,second,3,10000,-44,6250,44847,384910,14587570,455819,8945,28929,240727,9155674,285433,5641
65,8,1,first,4,10000,-9,6257,44436,385516,14633536,457189,8599,28695,241321,9190678,286297,5344
65,7,4,second,4,10000,-24,6206,44738,385516,14633536,457672,8818,28677,239074,9094158,283726,5579
65,8,1,first,5,10000,-191,6159,44707,384707,14571402,455084,9364,28446,236888,8997348,280095,5975
65,7,4,second,5,10000,0,6248,45082,384707,14571402,455359,8936,29070,240103,9108968,284119,5680
65,8,1,first,6,10000,-108,6216,45064,384684,14570910,455172,9126,28923,239236,9092876,283109,5831
65,7,4,second,6,10000,-168,6314,44723,384684,14570910,455226,9177,29299,242731,9214390,287170,6089
65,8,1,first,7,10000,-102,6274,44942,384666,14568848,455211,9268,29124,241119,9150980,285335,6070
65,7,4,second,7,10000,-36,6314,44511,384666,14568848,455853,8891,29071,243031,9236822,288312,5647
65,8,1,first,8,10000,-128,6382,44758,384942,14587356,456109,8910,29477,245414,9315954,290652,5837
65,7,4,second,8,10000,34,6206,44561,384942,14587356,455841,9163,28555,238919,9081236,282890,5685
65,8,1,first,9,10000,-9,6337,44985,385548,14635432,457203,8748,29363,244333,9301754,289931,5634
65,7,4,second,9,10000,-39,6333,44683,385548,14635432,457375,8402,29259,244171,9295906,289893,5428
65,8,1,first,10,10000,-86,6310,44647,385181,14606260,456074,8849,29046,243264,9258192,288409,5558
65,7,4,second,10,10000,-10,6178,44773,385181,14606260,456260,8659,28603,238021,9054158,282057,5387
65,8,1,first,11,10000,177,6227,44437,385155,14603110,456782,8450,28472,240270,9150292,285639,5051
65,7,4,second,11,10000,-122,6254,44756,385155,14603110,455825,9034,28902,240812,9153548,284830,5756
65,8,1,first,12,10000,82,6260,44814,385957,14668374,458258,8540,28935,241617,9210042,287108,5313
65,7,4,second,12,10000,-4,6248,44554,385957,14668374,458426,8546,28803,240883,9171984,285891,5499
65,8,1,first,13,10000,47,6297,44694,385078,14602582,456716,8773,28976,242734,9241426,288318,5377
65,7,4,second,13,10000,-66,6338,44541,385078,14602582,456908,8761,29176,243814,9263570,289045,5788
65,8,1,first,14,10000,31,6307,44853,385507,14631042,457144,8592,29149,243464,9278970,289128,5324
65,7,4,second,14,10000,-12,6206,44626,385507,14631042,457375,8586,28618,239285,9109136,283903,5438
65,8,1,first,15,10000,88,6194,44422,385999,14670360,458433,8468,28424,239248,9126508,284318,5224
65,7,4,second,15,10000,107,6255,44555,385999,14670360,458861,8272,28686,241651,9218644,287755,5077
65,8,1,first,16,10000,-51,6285,44678,384967,14592784,455810,8889,29039,241957,9198568,286495,5708
65,7,4,second,16,10000,-16,6364,44859,384967,14592784,455484,9199,29376,245039,9316112,290270,5866
65,8,1,first,17,10000,89,6297,44678,385312,14616002,456504,8903,28929,242799,9242418,288132,5472
65,7,4,second,17,10000,-44,6232,44540,385312,14616002,456529,9014,28817,240137,9136038,284338,5859
65,8,1,first,18,10000,-44,6248,44554,385560,14633570,457124,8736,28902,240771,9160336,285300,5636
65,7,4,second,18,10000,39,6295,44485,385560,14633570,457313,8770,28928,242811,9245822,288092,5523
65,8,1,first,19,10000,-142,6306,44980,384853,14584730,455333,9422,29221,242395,9201184,286531,6115
65,7,4,second,19,10000,-110,6346,44477,384853,14584730,456154,9031,29201,243918,9258272,288771,6031
65,8,1,first,20,10000,-104,6296,44832,384982,14591896,455983,8976,29267,242160,9197382,286467,5891
65,7,4,second,20,10000,-81,6277,44930,384982,14591896,455653,9123,29095,241328,9161510,285271,5990
65,8,1,first,21,10000,89,6255,44391,385764,14652644,458150,8204,28692,241420,9200906,286943,5199
65,7,4,second,21,10000,35,6375,44803,385764,14652644,458133,8650,29446,246177,9385644,292488,5489
65,8,1,first,22,10000,-54,6248,44520,385847,14658568,457949,8436,28716,240811,9164176,285608,5444
65,7,4,second,22,10000,85,6225,44570,385847,14658568,458462,8239,28600,240067,9142518,285400,5149
65,8,1,first,23,10000,-47,6153,44704,385251,14610402,456057,9043,28438,236986,9012240,280521,5671
65,7,4,second,23,10000,50,6252,44505,385251,14610402,457022,8659,28837,240891,9163410,285693,5583
65,8,1,first,24,10000,15,6235,44346,385699,14646852,457924,8337,28591,240279,9143328,285244,5224
65,7,4,second,24,10000,-23,6283,44642,385699,14646852,457415,8589,28883,242339,9229510,287358,5434
65,8,1,first,25,10000,100,6206,44575,385394,14624558,457319,8723,28588,239252,9109298,283960,5358
65,7,4,second,25,10000,-99,6259,44860,385394,14624558,456810,8923,28990,241177,9177782,286088,5647
65,8,1,first,26,10000,15,6307,44840,385419,14632116,457047,8971,29234,243082,9256664,288437,5571
65,7,4,second,26,10000,-21,6287,45017,385419,14632116,457273,8634,29274,241994,9204130,286892,5653
65,8,1,first,27,10000,77,6263,44606,385410,14622558,456664,8765,28840,241289,9177304,285926,5611
65,7,4,second,27,10000,72,6236,44805,385410,14622558,456807,8663,28897,240011,9119924,284344,5469
65,8,1,first,28,10000,-50,6370,44857,385632,14647062,457606,8859,29485,245683,9359230,291693,5659
65,7,4,second,28,10000,36,6262,44727,385632,14647062,457480,8491,29001,241400,9193912,286548,5539
65,8,1,first,29,10000,-93,6297,44949,385103,14603562,456441,8776,29392,242309,9208878,286953,5783
65,7,4,second,29,10000,46,6166,44638,385103,14603562,456188,8706,28532,237460,9031970,281438,5462
65,8,1,first,30,10000,-147,6289,44764,384850,14584296,455346,9479,29020,241989,9194716,286243,6099
65,7,4,second,30,10000,-8,6264,44674,384850,14584296,455593,9118,28978,240858,9146186,284995,5818
65,8,1,first,31,10000,48,6242,44468,386119,14677984,458817,8154,28478,241166,9199694,286846,5084
65,7,4,second,31,10000,77,6261,44822,386119,14677984,458565,8469,29070,241914,9229522,287641,5243
65,8,1,first,32,10000,66,6306,44811,385981,14671432,458091,8685,29221,243340,9274648,288942,5527
65,7,4,second,32,10000,90,6284,44746,385981,14671432,458560,8452,29067,242510,9244280,288303,5295
65,8,1,first,33,10000,12,6314,44683,385625,14644070,457550,8513,29087,243610,9281480,289092,5497
65,7,4,second,33,10000,-71,6287,45022,385625,14644070,457373,9059,29337,242066,9206144,286705,6076
65,8,1,first,34,10000,67,6247,44789,384843,14584726,455856,8886,29039,240448,9141992,284750,5752
65,7,4,second,34,10000,-7,6233,44698,384843,14584726,455981,8971,28811,239979,9126144,284634,5692
