# schema=matching-one/p537-aggregate-wedge-mc-combined/v1
# L=8
# N=64
# samples=100000000
# shard_index=0
# shard_count=1
# batches=100
# proposal_p=0.59260000000000002
batch	kind	transition	k	count	sum_q0	sum_q1	sum_source16_0	sum_source16_1	signed_count	signed_source_mid16	unsigned_count
0	global	-	0	0	0	0	0	0	0	0	0
0	landing	01	0	0	0	0	0	0	0	0	0
0	landing	12	0	0	0	0	0	0	0	0	0
0	global	-	1	0	0	0	0	0	0	0	0
0	landing	01	1	0	0	0	0	0	0	0	0
0	landing	12	1	0	0	0	0	0	0	0	0
0	global	-	2	0	0	0	0	0	0	0	0
0	landing	01	2	0	0	0	0	0	0	0	0
0	landing	12	2	0	0	0	0	0	0	0	0
0	global	-	3	0	0	0	0	0	0	0	0
0	landing	01	3	0	0	0	0	0	0	0	0
0	landing	12	3	0	0	0	0	0	0	0	0
0	global	-	4	0	0	0	0	0	0	0	0
0	landing	01	4	0	0	0	0	0	0	0	0
0	landing	12	4	0	0	0	0	0	0	0	0
0	global	-	5	0	0	0	0	0	0	0	0
0	landing	01	5	0	0	0	0	0	0	0	0
0	landing	12	5	0	0	0	0	0	0	0	0
0	global	-	6	0	0	0	0	0	0	0	0
0	landing	01	6	0	0	0	0	0	0	0	0
0	landing	12	6	0	0	0	0	0	0	0	0
0	global	-	7	0	0	0	0	0	0	0	0
0	landing	01	7	0	0	0	0	0	0	0	0
0	landing	12	7	0	0	0	0	0	0	0	0
0	global	-	8	0	0	0	0	0	0	0	0
0	landing	01	8	0	0	0	0	0	0	0	0
0	landing	12	8	0	0	0	0	0	0	0	0
0	global	-	9	0	0	0	0	0	0	0	0
0	landing	01	9	0	0	0	0	0	0	0	0
0	landing	12	9	0	0	0	0	0	0	0	0
0	global	-	10	0	0	0	0	0	0	0	0
0	landing	01	10	0	0	0	0	0	0	0	0
0	landing	12	10	0	0	0	0	0	0	0	0
0	global	-	11	0	0	0	0	0	0	0	0
0	landing	01	11	0	0	0	0	0	0	0	0
0	landing	12	11	0	0	0	0	0	0	0	0
0	global	-	12	0	0	0	0	0	0	0	0
0	landing	01	12	0	0	0	0	0	0	0	0
0	landing	12	12	0	0	0	0	0	0	0	0
0	global	-	13	0	0	0	0	0	0	0	0
0	landing	01	13	0	0	0	0	0	0	0	0
0	landing	12	13	0	0	0	0	0	0	0	0
