joint_sector,geometry,tau,alpha,source_component,k_minus,count,sum_q0,sum_q1,sum_e0,sum_e1,sum_a0,sum_a1,sum_q0a0,sum_q1a1,sum_e0a0,sum_e1a1
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,2,253,-253,-253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,4,8855,-8855,-8854,8855,8854,0,8,0,-8,0,8
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,5,33649,-33642,-33623,33642,33623,8,136,-8,-136,8,136
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,6,100947,-100821,-100636,100821,100636,136,1152,-136,-1152,136,1152
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,7,245157,-244028,-242847,244028,242847,1144,6348,-1144,-6348,1144,6348
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,8,490314,-483784,-478372,483784,478380,6236,25012,-6220,-24948,6220,24948
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,9,817190,-790316,-771500,790340,771716,23892,72970,-23652,-72042,23652,72042
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,10,1144066,-1061068,-1009805,1061572,1012337,65976,156988,-64184,-150764,64184,150764
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,11,1352078,-1153615,-1043492,1158251,1060582,131420,240626,-123132,-216126,123132,216238
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,12,1352078,-979802,-796677,1004442,869629,185772,247764,-160864,-189198,160976,190974
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,13,1144066,-597795,-369590,680555,571000,181948,162656,-133816,-81402,135112,90730
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,14,817190,-198120,7579,377618,354097,121568,70536,-63648,-7956,68784,26628
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,15,490314,43621,173642,208983,248460,56092,21964,-13640,6258,21976,9262
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,16,245157,101929,158242,129045,166310,18252,4800,676,2950,5564,3018
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,17,100947,68710,85123,70818,85391,4036,648,1016,544,1304,544
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,18,33649,28809,31930,28849,31930,536,40,216,40,216,40
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,19,8855,8414,8770,8414,8770,32,0,16,0,16,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,21,253,253,253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,axial2,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,2,253,-253,-253,253,253,4,4,-4,-4,4,4
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,3,1771,-1771,-1771,1771,1771,80,80,-80,-80,80,80
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,4,8855,-8855,-8854,8855,8854,760,766,-760,-766,760,766
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,5,33649,-33642,-33623,33642,33623,4574,4656,-4574,-4656,4574,4656
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,6,100947,-100821,-100636,100821,100636,19568,20092,-19568,-20088,19568,20088
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,7,245157,-244028,-242847,244028,242847,63168,65199,-63148,-65119,63148,65119
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,8,490314,-483784,-478372,483784,478380,159182,164175,-158878,-163407,158878,163407
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,9,817190,-790316,-771500,790340,771716,318914,325113,-316634,-320355,316634,320355
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,10,1144066,-1061068,-1009805,1061572,1012337,510792,503419,-499886,-483031,499886,483055
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,11,1352078,-1153615,-1043492,1158251,1060582,648824,592875,-612956,-532723,613020,533243
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,12,1352078,-979802,-796677,1004442,869629,638654,507178,-556702,-389942,557654,394170
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,13,1144066,-597795,-369590,680555,571000,470606,302708,-343410,-159226,349046,175290
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,14,817190,-198120,7579,377618,354097,251694,127813,-122944,-20665,139272,49413
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,15,490314,43621,173642,208983,248460,97538,40629,-15418,8771,38374,16177
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,16,245157,101929,158242,129045,166310,27778,9514,5022,5240,10870,5552
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,17,100947,68710,85123,70818,85391,5562,1550,2628,1282,2940,1282
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,18,33649,28809,31930,28849,31930,690,160,510,160,510,160
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,19,8855,8414,8770,8414,8770,40,8,40,8,40,8
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,21,253,253,253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,2,253,-253,-253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,4,8855,-8855,-8854,8855,8854,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,5,33649,-33642,-33623,33642,33623,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,6,100947,-100821,-100636,100821,100636,4,12,-4,-12,4,12
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,7,245157,-244028,-242847,244028,242847,84,332,-84,-332,84,332
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,8,490314,-483784,-478372,483784,478380,820,3166,-820,-3166,820,3166
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,9,817190,-790316,-771500,790340,771716,4586,15802,-4586,-15770,4586,15770
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,10,1144066,-1061068,-1009805,1061572,1012337,16054,46768,-16038,-46288,16038,46288
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,11,1352078,-1153615,-1043492,1158251,1060582,36312,83530,-36096,-80810,36096,80810
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,12,1352078,-979802,-796677,1004442,869629,52550,84503,-51446,-76757,51446,76757
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,13,1144066,-597795,-369590,680555,571000,46172,43997,-43350,-34093,43350,34261
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,14,817190,-198120,7579,377618,354097,22278,10589,-18926,-5239,18966,5671
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,15,490314,43621,173642,208983,248460,5126,1355,-3540,-99,3604,451
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,16,245157,101929,158242,129045,166310,492,133,-260,47,276,81
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,17,100947,68710,85123,70818,85391,20,8,-16,8,16,8
