sector,full_axis_tilted_rectangle,pooled_four_cell_rectangle,det_lower,det_upper,det_midpoint,det_excludes_zero,p4_01_absent,p4_01_present,p4_12_absent,p4_12_present
00313b9710118c922508,0,1,-468138023459217031857287754559/50000000000000000000000000000000000000000000000000,-936276046918434063714575509117/100000000000000000000000000000000000000000000000000,-9.362760469184341e-21,1,8.105760252125976e-10,6.775872091722121e-10,-1.5933705766291758e-10,-1.4474584621219197e-10
00332cb040046be23914,0,0,0,0,0.0,0,-1.3498666600166882e-09,0.0,0.0,0.0
004336f8f25c0e1794f3,0,0,0,0,0.0,0,-4.658862162431212e-10,0.0,-1.074305077247026e-09,0.0
005ee018d4c68d996fa4,0,0,0,0,0.0,0,3.010039174457888e-09,0.0,0.0,0.0
00a68ae7660d0204d09f,0,1,246754894928047192335630463146647/10000000000000000000000000000000000000000000000000,2467548949280471923356304631466471/100000000000000000000000000000000000000000000000000,2.467548949280472e-17,1,-1.2293411485304605e-10,4.7912858412497375e-09,-5.174411530608202e-09,9.484365730140666e-10
00b85e7de8c834e79e87,0,0,0,0,0.0,0,-1.309150882823494e-09,0.0,-3.772342110321142e-11,0.0
01001f0c97ba265c0b5b,0,0,0,0,0.0,0,-4.523880083014686e-11,0.0,0.0,0.0
0103b97517a0873d10a5,0,0,0,0,0.0,0,-1.7876678160659793e-10,0.0,2.1407551198935973e-11,0.0
0120e2ed5f07cc228423,0,0,0,0,0.0,0,-6.064697843005313e-10,0.0,8.372564393408186e-11,0.0
017ecf9e55b112152412,0,0,0,0,0.0,0,1.8387304805973774e-09,0.0,-8.903075755794199e-10,0.0
017f15d8022c618f9b36,0,0,0,0,0.0,0,-4.929366789158011e-11,0.0,0.0,0.0
01a22820bb20d64219ec,0,0,0,0,0.0,0,-1.628838437647253e-10,0.0,4.4347380848517814e-11,0.0
01bfcfabf4c51e8f7479,0,0,0,0,0.0,0,-7.818576868002221e-11,0.0,0.0,0.0
0243c590f5cfc5251e31,0,0,0,0,0.0,0,2.1852476779373882e-10,1.8279757535447965e-10,0.0,0.0
024d1fb658f7511098cb,0,0,0,0,0.0,0,-1.441981478251015e-10,0.0,0.0,0.0
025217be88354b138e40,0,0,0,0,0.0,0,-1.0294554624909394e-09,0.0,0.0,0.0
02782c08ba9cd78dda5a,0,0,0,0,0.0,0,1.7827667072012632e-09,0.0,-1.2933273388201126e-10,0.0
02932b54d891dee4d522,0,0,0,0,0.0,0,5.214102739512309e-10,0.0,-1.4908497542928275e-09,0.0
02a64e9ca432b293ce60,0,1,-6375850498787271212265538399/50000000000000000000000000000000000000000000000000,-12751700997574542424531076797/100000000000000000000000000000000000000000000000000,-1.2751700997574543e-22,1,-7.66338427787447e-11,-6.826433369935432e-11,8.327049127346523e-11,7.584014324267651e-11
