ordinal,vertex,r2,canonical_dx,canonical_dy
0,120,25,-5,0
1,382,25,-4,-3
2,193,25,-4,3
3,381,25,-3,-4
4,231,25,-3,4
5,135,25,0,-5
6,20,25,0,5
7,206,25,3,-4
8,32,25,3,4
9,244,25,4,-3
10,31,25,4,3
11,15,25,5,0
12,389,26,-5,-1
13,137,26,-5,1
14,385,26,-1,-5
15,280,26,-1,5
16,151,26,1,-5
17,26,26,1,5
18,294,26,5,-1
19,22,26,5,1
20,383,29,-5,-2
21,155,29,-5,2
22,380,29,-2,-5
23,265,29,-2,5
24,168,29,2,-5
25,33,29,2,5
26,278,29,5,-2
27,30,29,5,2
28,375,32,-4,-4
29,213,32,-4,4
30,225,32,4,-4
31,40,32,4,4
32,376,34,-5,-3
33,174,34,-5,3
34,374,34,-3,-5
35,249,34,-3,5
36,186,34,3,-5
37,41,34,3,5
38,261,34,5,-3
39,39,34,5,3
40,105,36,-6,0
41,119,36,0,-6
42,27,36,0,6
43,21,36,6,0
44,384,37,-6,-1
45,121,37,-6,1
46,379,37,-1,-6
47,295,37,-1,6
48,134,37,1,-6
49,34,37,1,6
50,308,37,6,-1
51,29,37,6,1
52,377,40,-6,-2
53,138,40,-6,2
54,373,40,-2,-6
55,281,40,-2,6
56,150,40,2,-6
57,42,40,2,6
58,293,40,6,-2
59,38,40,6,2
60,368,41,-5,-4
61,194,41,-5,4
62,367,41,-4,-5
63,232,41,-4,5
64,205,41,4,-5
65,50,41,4,5
66,243,41,5,-4
67,49,41,5,4
68,369,45,-6,-3
69,156,45,-6,3
70,366,45,-3,-6
71,266,45,-3,6
72,167,45,3,-6
73,51,45,3,6
74,277,45,6,-3
75,48,45,6,3
76,91,49,-7,0
77,104,49,0,-7
78,35,49,0,7
79,28,49,7,0
80,378,50,-7,-1
81,106,50,-7,1
82,359,50,-5,-5
83,214,50,-5,5
84,372,50,-1,-7
85,309,50,-1,7
86,118,50,1,-7
87,43,50,1,7
88,224,50,5,-5
89,60,50,5,5
90,321,50,7,-1
91,37,50,7,1
92,360,52,-6,-4
93,175,52,-6,4
94,358,52,-4,-6
95,250,52,-4,6
96,185,52,4,-6
97,61,52,4,6
98,260,52,6,-4
99,59,52,6,4
100,370,53,-7,-2
101,122,53,-7,2
102,365,53,-2,-7
103,296,53,-2,7
104,133,53,2,-7
105,52,53,2,7
106,307,53,7,-2
107,47,53,7,2
108,361,58,-7,-3
109,139,58,-7,3
110,357,58,-3,-7
111,282,58,-3,7
112,149,58,3,-7
113,62,58,3,7
114,292,58,7,-3
115,58,58,7,3
116,350,61,-6,-5
117,195,61,-6,5
118,349,61,-5,-6
119,233,61,-5,6
120,204,61,5,-6
121,72,61,5,6
122,242,61,6,-5
123,71,61,6,5
124,78,64,-8,0
125,90,64,0,-8
126,44,64,0,8
127,36,64,8,0
