stage,mode,N,a1,b1,a2,b2,t,p,channel,observable,mean,batch_se,z_batch,samples,batches
bond_65,bond,65,8,1,7,4,1,0.5,cross,o1_primal,0.30697,0.000258325579962879,1188.3066324446504,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,o1_matching,0.9999555,4.838170598151816e-06,206680.4962152396,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,o2_primal,0.3091985,0.0003116815809359564,992.0332766264213,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,o2_matching,0.999944,4.9417661449695316e-06,202345.47136915667,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,o1_M,-0.6929855,0.00026057979382017706,-2659.3984508185654,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,o2_M,-0.6907455,0.00031285062435273367,-2207.908331425276,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,o1_S,0.65346275,0.0001280714618566735,5102.329125682183,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,o2_S,0.65457125,0.00015529338744521722,4215.061959614429,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,primal_delta,-0.0022284999999999666,0.0002937993183683114,-7.585109497110148,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,matching_delta,1.1499999999942112e-05,6.377386034385013e-06,1.8032466496363013,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,M_delta,-0.0022399999999999087,0.0002937910105750936,-7.624467459419968,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,cross,S_delta,-0.0011085000000000123,0.00014697301041168847,-7.54220109457495,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,both,o1_primal,0.348067,0.00028127351363696387,1237.4680982200323,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,both,o1_matching,0.999956,4.723959088905871e-06,211677.53174416302,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,both,o2_primal,0.354115,0.00029159046623646647,1214.425850647768,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,both,o2_matching,0.9999445,4.8922602676371675e-06,204393.15271404127,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,both,o1_M,-0.6518889999999999,0.00028367596414143726,-2298.0057615137825,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,both,o2_M,-0.6458295000000001,0.00029281076608765816,-2205.620744855602,2000000,20
bond_65,bond,65,8,1,7,4,1,0.5,both,o1_S,0.6740115,0.00013946519090326438,4832.829580160305,2000000,20
