batch,first_replica,samples,t,o1_primal_cross,o1_primal_both,o1_primal_either,o1_primal_direction_0,o1_primal_direction_1,o1_matching_cross,o1_matching_both,o1_matching_either,o1_matching_direction_0,o1_matching_direction_1,o2_primal_cross,o2_primal_both,o2_primal_either,o2_primal_direction_0,o2_primal_direction_1,o2_matching_cross,o2_matching_both,o2_matching_either,o2_matching_direction_0,o2_matching_direction_1
0,0,10000,1,3129,3519,6845,5224,5140,3155,3545,6871,5250,5166,3075,3487,6736,5110,5113,3264,3676,6925,5299,5302
1,10000,10000,1,3113,3468,6842,5136,5174,3158,3513,6887,5181,5219,3076,3448,6840,5110,5178,3160,3532,6924,5194,5262
2,20000,10000,1,3138,3479,6939,5229,5189,3061,3402,6862,5152,5112,3143,3523,6903,5157,5269,3097,3477,6857,5111,5223
3,30000,10000,1,3126,3513,6911,5271,5153,3089,3476,6874,5234,5116,3232,3616,6896,5237,5275,3104,3488,6768,5109,5147
4,40000,10000,1,3176,3547,6882,5213,5216,3118,3489,6824,5155,5158,3082,3452,6818,5134,5136,3182,3552,6918,5234,5236
5,50000,10000,1,3169,3548,6843,5179,5212,3157,3536,6831,5167,5200,3065,3429,6798,5104,5123,3202,3566,6935,5241,5260
6,60000,10000,1,3183,3566,6911,5209,5268,3089,3472,6817,5115,5174,3175,3541,6898,5210,5229,3102,3468,6825,5137,5156
7,70000,10000,1,3150,3517,6913,5224,5206,3087,3454,6850,5161,5143,3119,3513,6915,5259,5169,3085,3479,6881,5225,5135
8,80000,10000,1,3104,3470,6946,5209,5207,3054,3420,6896,5159,5157,3123,3496,6860,5182,5174,3140,3513,6877,5199,5191
9,90000,10000,1,3092,3471,6880,5104,5247,3120,3499,6908,5132,5275,3108,3483,6812,5142,5153,3188,3563,6892,5222,5233
10,100000,10000,1,3103,3499,6883,5192,5190,3117,3513,6897,5206,5204,3195,3567,6857,5198,5226,3143,3515,6805,5146,5174
11,110000,10000,1,3273,3637,6868,5249,5256,3132,3496,6727,5108,5115,3130,3530,6894,5232,5192,3106,3506,6870,5208,5168
12,120000,10000,1,3175,3562,6936,5231,5267,3064,3451,6825,5120,5156,3158,3557,6988,5312,5233,3012,3411,6842,5166,5087
13,130000,10000,1,3121,3495,6841,5191,5145,3159,3533,6879,5229,5183,3101,3504,6853,5213,5144,3147,3550,6899,5259,5190
14,140000,10000,1,3120,3477,6844,5188,5133,3156,3513,6880,5224,5169,3101,3475,6805,5172,5108,3195,3569,6899,5266,5202
15,150000,10000,1,3139,3542,6839,5131,5250,3161,3564,6861,5153,5272,3129,3498,6917,5164,5251,3083,3452,6871,5118,5205
16,160000,10000,1,3084,3454,6799,5114,5139,3201,3571,6916,5231,5256,3110,3507,6942,5233,5216,3058,3455,6890,5181,5164
17,170000,10000,1,3115,3503,6831,5144,5190,3169,3557,6885,5198,5244,3113,3476,6833,5140,5169,3167,3530,6887,5194,5223
18,180000,10000,1,3098,3512,6895,5151,5256,3105,3519,6902,5158,5263,3099,3450,6833,5207,5076,3167,3518,6901,5275,5144
19,190000,10000,1,3257,3650,6917,5280,5287,3083,3476,6743,5106,5113,3180,3535,6849,5205,5179,3151,3506,6820,5176,5150
