batch,replicas,sum_km1,sum_km2,sum_kp1,sum_kp2,sum_km1km2,sum_kp1kp2,sum_km1kp2,sum_kp1km2,sum_gap1gap2
0,50000,4083768,4083535,4552320,4552234,333506907,414449975,371762464,371750019,4444399
1,50000,4085565,4085254,4551936,4547463,333810787,413977128,371523651,371881826,4382438
2,50000,4083577,4084239,4550000,4551245,333579300,414133604,371642870,371625406,4444628
3,50000,4084586,4084368,4552267,4552609,333637269,414468811,371854829,371834858,4416393
4,50000,4081904,4082378,4548300,4549781,333271926,413839173,371375626,371311500,4423973
5,50000,4085415,4083778,4547193,4551224,333656729,413865247,371820392,371342866,4358718
6,50000,4084592,4083890,4549523,4552239,333602999,414181842,371817354,371554756,4412731
7,50000,4080854,4085879,4547770,4551343,333499684,413948437,371407602,371604950,4435569
8,50000,4085455,4086594,4552931,4552334,333915373,414488861,371908546,372078137,4417551
9,50000,4084804,4087345,4550169,4553757,333906646,414389966,371967220,371927971,4401421
10,50000,4082004,4084072,4551903,4550926,333426836,414289029,371496489,371782552,4436824
11,50000,4085378,4086673,4550485,4550642,333895026,414133032,371765998,371888350,4373710
12,50000,4082473,4083711,4550522,4551209,333409316,414177353,371527072,371611081,4448516
13,50000,4079027,4084194,4546442,4549026,333197099,413613220,371061013,371334149,4415157
14,50000,4085686,4085749,4550865,4553616,333842345,414409080,372030716,371820533,4400176
15,50000,4083203,4084858,4548780,4550866,333568185,413998087,371565623,371579188,4421461
16,50000,4083403,4085637,4551847,4549949,333664745,414195363,371534275,371910937,4414896
17,50000,4083830,4084522,4552230,4551908,333605667,414392907,371714870,371835102,4448602
18,50000,4085179,4087587,4551741,4554479,333937658,414575189,372031724,372074594,4406529
19,50000,4084037,4084704,4551535,4547729,333637614,413945490,371414060,371798105,4370939
20,50000,4085246,4082951,4552196,4552062,333597041,414407640,371845463,371675639,4483579
21,50000,4085937,4081456,4552057,4547925,333530580,414028558,371586475,371551651,4421012
22,50000,4083128,4088634,4548013,4550767,333863742,413903655,371562777,371857105,4347515
23,50000,4079614,4085366,4550535,4550631,333331982,414130078,371228209,371765109,4468742
24,50000,4081342,4085684,4547365,4551935,333493610,413945119,371479017,371539559,4420153
25,50000,4084433,4084047,4550622,4549639,333613529,414028956,371594579,371659723,4388183
26,50000,4080798,4083809,4550564,4551271,333291655,414180895,371392336,371625031,4455183
27,50000,4083239,4082525,4550952,4550894,333388226,414192219,371589290,371543319,4447836
28,50000,4082087,4080576,4550017,4551035,333138842,414115798,371486019,371298314,4470307
29,50000,4081491,4087565,4551707,4553465,333646344,414474011,371630990,372058327,4431038
30,50000,4083256,4087133,4549337,4553135,333779615,414242010,371779603,371835998,4406024
31,50000,4083529,4084384,4549114,4553028,333568673,414234412,371799280,371563804,4440001
32,50000,4081011,4086359,4545987,4552682,333509254,413896744,371526362,371485374,4394262
33,50000,4081981,4084041,4549300,4552847,333414563,414204184,371624009,371548001,4446737
34,50000,4081884,4088195,4551674,4552594,333744226,414400395,371621984,372105590,4417047
35,50000,4083319,4084902,4551060,4552784,333576126,414346407,371738556,371756991,4426986
36,50000,4084287,4083380,4551087,4550467,333532519,414147037,371623719,371643836,4412001
37,50000,4084913,4082354,4551226,4549176,333499895,414050190,371603544,371546772,4399769
38,50000,4082718,4087353,4548899,4551265,333741712,414024276,371567876,371823907,4374205
39,50000,4084527,4085743,4554151,4554693,333761473,414819222,372009036,372095051,4476608
