batch,k,count
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,1
0,56,1
0,57,2
0,58,1
0,59,4
0,60,13
0,61,18
0,62,27
0,63,54
0,64,68
0,65,79
0,66,138
0,67,228
0,68,288
0,69,366
0,70,538
0,71,708
0,72,948
0,73,1206
0,74,1484
0,75,1841
0,76,2147
0,77,2465
0,78,2734
0,79,2902
0,80,3097
0,81,3181
0,82,3146
0,83,3037
0,84,2801
0,85,2712
0,86,2403
0,87,2122
0,88,1821
0,89,1602
0,90,1317
0,91,1051
0,92,844
0,93,673
0,94,491
0,95,379
0,96,301
0,97,227
0,98,156
0,99,117
0,100,82
0,101,72
0,102,31
0,103,25
0,104,20
0,105,12
0,106,5
0,107,6
0,108,5
0,109,1
0,110,1
0,111,1
0,112,0
0,113,0
0,114,0
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,0
0,127,0
0,128,0
0,129,0
0,130,0
0,131,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
1,50,0
1,51,0
1,52,1
1,53,1
1,54,0
1,55,1
1,56,4
1,57,2
1,58,6
1,59,15
1,60,10
1,61,7
1,62,19
1,63,50
1,64,76
1,65,96
1,66,138
1,67,199
1,68,276
1,69,408
1,70,570
1,71,718
1,72,931
1,73,1229
1,74,1512
1,75,1805
1,76,2209
1,77,2401
1,78,2634
1,79,2885
1,80,3054
1,81,3233
1,82,3169
1,83,3070
1,84,2923
1,85,2658
1,86,2436
1,87,2125
1,88,1794
1,89,1517
1,90,1251
1,91,1085
1,92,839
1,93,644
1,94,505
1,95,407
1,96,319
1,97,229
1,98,178
1,99,106
1,100,87
1,101,68
1,102,37
1,103,24
1,104,17
1,105,9
1,106,5
1,107,2
1,108,2
1,109,2
1,110,1
1,111,1
1,112,0
1,113,0
1,114,0
1,115,0
1,116,0
1,117,0
1,118,0
1,119,0
1,120,0
1,121,0
1,122,0
1,123,0
1,124,0
1,125,0
1,126,0
1,127,0
1,128,0
1,129,0
1,130,0
1,131,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,0
2,49,0
2,50,0
2,51,1
2,52,0
2,53,0
2,54,0
2,55,1
2,56,0
2,57,0
2,58,6
2,59,5
2,60,11
2,61,18
2,62,25
2,63,40
2,64,72
2,65,110
2,66,146
2,67,192
2,68,267
2,69,384
2,70,519
2,71,730
2,72,987
2,73,1142
2,74,1497
2,75,1892
2,76,2130
2,77,2438
2,78,2646
2,79,2909
2,80,3175
2,81,3111
2,82,3137
2,83,3082
2,84,2988
2,85,2612
2,86,2358
2,87,2130
2,88,1819
2,89,1543
2,90,1291
2,91,1055
2,92,903
2,93,624
2,94,540
2,95,393
2,96,319
2,97,212
2,98,168
2,99,113
2,100,95
2,101,58
2,102,42
2,103,29
2,104,12
2,105,9
2,106,3
2,107,5
2,108,3
2,109,2
2,110,1
2,111,0
2,112,0
2,113,0
2,114,0
2,115,0
2,116,0
2,117,0
2,118,0
2,119,0
2,120,0
2,121,0
2,122,0
2,123,0
2,124,0
2,125,0
2,126,0
2,127,0
2,128,0
2,129,0
2,130,0
2,131,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0
3,46,0
3,47,0
3,48,0
3,49,0
3,50,0
3,51,0
3,52,0
3,53,0
3,54,0
3,55,1
3,56,1
3,57,1
3,58,5
3,59,4
3,60,5
3,61,12
3,62,34
3,63,36
3,64,55
3,65,86
3,66,163
3,67,195
3,68,270
3,69,397
3,70,533
3,71,684
3,72,1039
3,73,1175
3,74,1522
3,75,1812
3,76,2120
3,77,2457
3,78,2749
3,79,2876
3,80,3098
3,81,3223
3,82,3135
3,83,3016
3,84,2932
3,85,2671
3,86,2377
3,87,2140
3,88,1837
3,89,1594
3,90,1258
3,91,1059
3,92,864
3,93,663
3,94,504
3,95,386
3,96,279
3,97,210
3,98,154
3,99,108
3,100,79
3,101,49
3,102,49
3,103,28
3,104,27
3,105,14
3,106,4
3,107,6
3,108,3
3,109,0
3,110,0
3,111,1
3,112,0
3,113,0
3,114,0
3,115,0
3,116,0
3,117,0
3,118,0
3,119,0
3,120,0
3,121,0
3,122,0
3,123,0
3,124,0
3,125,0
3,126,0
3,127,0
3,128,0
3,129,0
3,130,0
3,131,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,0
4,32,0
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,0
4,50,0
4,51,0
4,52,0
4,53,0
4,54,0
4,55,1
4,56,1
4,57,1
4,58,2
4,59,6
4,60,16
4,61,24
4,62,27
4,63,45
4,64,54
4,65,80
4,66,147
4,67,180
4,68,314
4,69,389
4,70,542
4,71,765
4,72,944
4,73,1238
4,74,1555
4,75,1817
4,76,2089
4,77,2397
4,78,2828
4,79,2908
