kminus,kplus,count
34,71,1
34,77,1
35,72,1
35,75,1
35,78,1
36,71,1
36,75,1
36,80,1
36,82,1
36,83,1
36,87,1
37,64,1
37,71,1
37,72,1
37,73,1
37,77,1
37,78,2
37,79,1
37,84,1
37,88,2
38,69,2
38,74,2
38,75,1
38,76,4
38,77,1
38,78,2
38,79,1
38,80,1
38,82,1
38,83,1
38,84,2
38,85,1
38,86,2
38,87,1
38,88,1
38,91,1
38,94,1
39,58,1
39,65,1
39,66,1
39,67,2
39,72,1
39,73,1
39,74,2
39,75,1
39,76,1
39,79,1
39,80,2
39,81,1
39,82,2
39,83,3
39,86,1
39,87,1
39,89,1
39,99,1
40,56,1
40,65,1
40,67,2
40,68,1
40,70,1
40,71,1
40,73,1
40,74,1
40,75,1
40,76,1
40,77,4
40,78,2
40,79,1
40,80,1
40,81,1
40,82,2
40,83,4
40,85,2
40,86,1
40,88,1
40,89,2
40,90,2
40,91,1
40,93,1
40,94,1
41,56,1
41,57,1
41,59,1
41,60,1
41,62,1
41,64,1
41,65,3
41,66,2
41,67,1
41,68,3
41,69,1
41,70,2
41,71,2
41,72,2
41,73,1
41,74,2
41,75,6
41,76,2
41,77,6
41,78,8
41,79,1
41,80,1
41,81,3
41,82,1
41,83,3
41,84,3
41,85,3
41,86,3
41,87,1
41,88,1
41,89,1
41,91,1
41,92,2
41,95,1
41,96,1
41,98,1
42,61,1
42,63,1
42,64,1
42,65,2
42,66,4
42,67,3
42,68,1
42,69,1
42,70,2
42,71,5
42,72,1
42,73,3
42,74,2
42,75,4
42,76,6
42,77,3
42,78,6
42,79,6
42,80,5
42,81,4
42,82,5
42,83,4
42,84,1
42,85,4
42,86,1
42,87,5
42,88,3
42,90,2
42,93,1
42,96,1
42,98,1
42,101,1
43,61,1
43,63,1
43,64,3
43,65,2
43,67,3
43,69,1
43,70,2
43,71,5
43,72,3
43,73,2
43,74,5
43,75,4
43,76,6
43,77,6
43,78,11
43,79,4
43,80,11
43,81,8
43,82,10
43,83,8
43,84,5
43,85,10
43,86,4
43,87,5
43,88,7
43,90,3
43,91,3
43,92,2
43,93,2
43,95,1
43,106,1
44,59,1
44,60,1
44,62,2
44,63,5
44,64,3
44,65,1
44,66,2
44,67,3
44,68,6
44,69,7
44,70,4
44,71,5
44,72,10
44,73,9
44,74,7
44,75,6
44,76,4
44,77,8
44,78,9
44,79,10
44,80,9
44,81,5
44,82,13
44,83,7
44,84,9
44,85,5
44,86,8
44,87,6
44,88,5
44,89,5
44,90,2
44,91,4
44,92,3
44,94,1
44,96,2
45,55,1
45,57,1
45,58,2
45,59,1
45,61,2
45,62,1
45,63,1
45,64,1
45,65,1
45,66,4
45,67,8
45,68,5
45,69,8
45,70,3
45,71,6
45,72,10
45,73,6
45,74,11
45,75,11
45,76,13
45,77,13
45,78,9
45,79,12
45,80,12
45,81,16
45,82,10
45,83,10
45,84,7
45,85,9
45,86,16
45,87,12
45,88,9
45,89,3
45,90,2
45,91,6
45,92,6
45,93,5
45,96,2
45,97,2
45,99,1
45,101,1
46,50,1
46,53,1
46,54,1
46,56,1
46,57,1
46,58,4
46,59,1
46,61,2
46,62,3
46,63,2
46,64,3
46,65,4
46,66,5
46,67,10
46,68,11
46,69,8
46,70,11
46,71,7
46,72,8
46,73,14
46,74,15
46,75,17
46,76,14
46,77,23
46,78,11
46,79,17
46,80,22
46,81,18
46,82,15
46,83,17
46,84,9
46,85,8
46,86,9
46,87,11
46,88,8
46,89,14
46,90,9
46,91,5
46,92,6
46,93,6
46,94,5
46,95,4
46,96,4
46,98,1
46,99,1
46,101,1
46,103,1
46,109,1
47,53,1
47,55,1
47,56,2
47,57,2
47,59,1
47,60,3
47,61,1
47,62,3
47,63,7
47,64,3
47,65,5
47,66,7
47,67,7
47,68,9
47,69,7
47,70,14
47,71,11
47,72,12
47,73,25
47,74,32
47,75,17
47,76,24
47,77,21
47,78,30
47,79,27
47,80,34
47,81,23
47,82,36
47,83,29
47,84,33
47,85,19
47,86,12
47,87,9
47,88,13
47,89,12
47,90,4
47,91,7
47,92,4
47,93,5
47,94,4
47,95,3
47,96,4
47,97,4
47,98,1
47,99,1
47,100,1
47,101,1
47,104,1
48,51,1
48,52,1
48,56,2
48,58,1
48,59,2
48,60,2
48,61,5
48,62,6
48,63,6
48,64,5
48,65,8
48,66,8
48,67,10
48,68,13
48,69,18
48,70,25
48,71,26
48,72,36
48,73,22
48,74,25
48,75,24
48,76,36
48,77,40
48,78,47
48,79,34
48,80,35
48,81,37
48,82,24
48,83,26
48,84,28
48,85,26
48,86,19
48,87,21
48,88,13
48,89,18
48,90,12
48,91,15
48,92,13
48,93,13
48,94,5
48,95,1
48,96,2
48,97,3
48,98,1
48,101,1
48,102,1
48,104,1
49,50,1
49,51,1
49,52,1
49,55,1
49,56,1
49,57,1
49,58,1
49,59,4
49,60,6
49,61,4
49,62,5
49,63,8
49,64,10
49,65,7
49,66,22
49,67,14
49,68,18
49,69,19
49,70,20
49,71,42
49,72,29
49,73,36
49,74,45
49,75,45
49,76,45
49,77,52
49,78,43
49,79,58
49,80,43
49,81,43
49,82,39
49,83,43
49,84,32
49,85,42
49,86,29
49,87,30
49,88,24
49,89,15
49,90,13
49,91,12
49,92,8
49,93,8
49,94,10
49,95,5
49,96,4
49,97,5
49,98,3
49,99,4
49,100,1
49,102,1
49,103,1
50,51,1
50,52,3
50,53,1
50,54,1
50,55,3
50,56,3
50,57,6
50,58,4
50,59,5
50,60,6
50,61,3
50,62,8
50,63,16
50,64,14
50,65,25
50,66,17
50,67,30
