geom,batch,replicas,n,sum_km,sum_kp,sum_km2,sum_kp2,sum_kmkp,sum_gap,sum_gap2,kminus_le_kplus,kminus_gt_kplus
g_7_4,0,50000,65,1810620,2086322,66400704,87794952,75890230,275702,2415196,50000,0
g_7_4,1,50000,65,1809333,2087069,66301563,87864383,75861674,277736,2442598,50000,0
g_7_4,2,50000,65,1811005,2087970,66432345,87949084,75976537,276965,2428355,50000,0
g_7_4,3,50000,65,1811229,2088318,66449395,87975416,75996241,277089,2432329,50000,0
g_7_4,4,50000,65,1809985,2086523,66350383,87816273,75871075,276538,2424506,50000,0
g_7_4,5,50000,65,1810453,2087357,66386629,87893739,75921225,276904,2437918,50000,0
g_7_4,6,50000,65,1809505,2086362,66330013,87811324,75857722,276857,2425893,50000,0
g_7_4,7,50000,65,1810750,2085556,66395202,87738606,75871419,274806,2390970,50000,0
g_7_4,8,50000,65,1811346,2087998,66449168,87940340,75985039,276652,2419430,50000,0
g_7_4,9,50000,65,1809603,2086888,66329395,87853576,75872649,277285,2437673,50000,0
g_7_4,10,50000,65,1810566,2086332,66398136,87799146,75898175,275766,2400932,50000,0
g_7_4,11,50000,65,1812166,2088604,66508964,87993394,76044449,276438,2413460,50000,0
g_7_4,12,50000,65,1810112,2085907,66355250,87759443,75856948,275795,2400797,50000,0
g_7_4,13,50000,65,1810668,2087107,66405284,87866971,75927085,276439,2418085,50000,0
g_7_4,14,50000,65,1810735,2088432,66408271,87976582,75975247,277697,2434359,50000,0
g_7_4,15,50000,65,1811578,2088273,66457126,87967861,76002338,276695,2420311,50000,0
g_7_4,16,50000,65,1812070,2086899,66492768,87844175,75976351,274829,2384241,50000,0
g_7_4,17,50000,65,1809179,2086979,66292883,87854991,75858536,277800,2430802,50000,0
g_7_4,18,50000,65,1808867,2086359,66275025,87800325,75823971,277492,2427408,50000,0
g_7_4,19,50000,65,1811565,2087449,66457241,87899727,75973424,275884,2410120,50000,0
g_7_4,20,50000,65,1811593,2088489,66471269,87979401,76013291,276896,2424088,50000,0
g_7_4,21,50000,65,1811417,2087663,66449427,87913997,75975576,276246,2412272,50000,0
g_7_4,22,50000,65,1811453,2087099,66442919,87875633,75955175,275646,2408202,50000,0
g_7_4,23,50000,65,1809569,2086779,66332279,87841939,75868078,277210,2438062,50000,0
g_7_4,24,50000,65,1809775,2087284,66342973,87876774,75888215,277509,2443317,50000,0
g_7_4,25,50000,65,1809136,2086383,66283998,87806887,75830490,277247,2429905,50000,0
g_7_4,26,50000,65,1810628,2088384,66396616,87976276,75972708,277756,2427476,50000,0
g_7_4,27,50000,65,1809088,2085497,66276316,87742005,75804158,276409,2410005,50000,0
g_7_4,28,50000,65,1810951,2088257,66427599,87964801,75974060,277306,2444280,50000,0
g_7_4,29,50000,65,1810512,2086661,66379882,87825173,75895640,276149,2413775,50000,0
g_7_4,30,50000,65,1810682,2087943,66406162,87939577,75953374,277261,2438991,50000,0
g_7_4,31,50000,65,1811055,2088324,66434699,87972366,75988526,277269,2430013,50000,0
g_7_4,32,50000,65,1811050,2087126,66437102,87867126,75943163,276076,2417902,50000,0
g_7_4,33,50000,65,1809863,2087510,66352711,87901326,75903515,277647,2447007,50000,0
g_7_4,34,50000,65,1809610,2087122,66327048,87869830,75876632,277512,2443614,50000,0
g_7_4,35,50000,65,1809648,2088036,66335012,87942818,75916979,278388,2443872,50000,0
g_7_4,36,50000,65,1810607,2088905,66393909,88025235,75986735,278298,2445674,50000,0
g_7_4,37,50000,65,1810846,2088839,66415846,88012581,75994763,277993,2438901,50000,0
g_7_4,38,50000,65,1808605,2085737,66249803,87750363,75782253,277132,2435660,50000,0
g_7_4,39,50000,65,1808632,2086828,66263360,87849106,75832286,278196,2447894,50000,0
