k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,2
32,1
33,7
34,19
35,37
36,91
37,233
38,457
39,958
40,1810
41,3179
42,5728
43,9654
44,15845
45,24852
46,36955
47,53257
48,72797
49,95561
50,118935
51,140947
52,158747
53,169494
54,171825
55,165464
56,153023
57,135388
58,114306
59,93089
60,72823
61,56001
62,41236
63,29656
64,20337
65,14088
66,9121
67,5850
68,3599
69,2151
70,1199
71,685
72,328
73,149
74,68
75,29
76,16
77,2
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
