batch,k,count
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,2
0,49,0
0,50,4
0,51,5
0,52,4
0,53,9
0,54,16
0,55,18
0,56,16
0,57,41
0,58,33
0,59,59
0,60,76
0,61,95
0,62,129
0,63,169
0,64,199
0,65,267
0,66,306
0,67,396
0,68,459
0,69,601
0,70,695
0,71,798
0,72,1006
0,73,1196
0,74,1397
0,75,1622
0,76,1797
0,77,1979
0,78,2295
0,79,2488
0,80,2505
0,81,2749
0,82,2824
0,83,2729
0,84,2817
0,85,2621
0,86,2638
0,87,2256
0,88,2054
0,89,1787
0,90,1514
0,91,1260
0,92,1060
0,93,846
0,94,617
0,95,480
0,96,328
0,97,217
0,98,188
0,99,104
0,100,88
0,101,53
0,102,33
0,103,24
0,104,15
0,105,3
0,106,5
0,107,5
0,108,1
0,109,1
0,110,0
0,111,1
0,112,0
0,113,0
0,114,0
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,0
0,127,0
0,128,0
0,129,0
0,130,0
0,131,0
0,132,0
0,133,0
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,0
0,140,0
0,141,0
0,142,0
0,143,0
0,144,0
0,145,0
0,146,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,1
1,44,1
1,45,1
1,46,1
1,47,1
1,48,3
1,49,5
1,50,1
1,51,4
1,52,6
1,53,14
1,54,10
1,55,17
1,56,20
1,57,23
1,58,35
1,59,50
1,60,75
1,61,93
1,62,110
1,63,158
1,64,197
1,65,228
1,66,284
1,67,362
1,68,470
1,69,618
1,70,700
1,71,872
1,72,998
1,73,1169
1,74,1368
1,75,1588
1,76,1867
1,77,2060
1,78,2164
1,79,2423
1,80,2658
1,81,2684
1,82,2805
1,83,2876
1,84,2761
1,85,2702
1,86,2492
1,87,2316
1,88,2059
1,89,1828
1,90,1489
1,91,1291
1,92,1060
1,93,788
1,94,624
1,95,477
1,96,354
1,97,235
1,98,180
1,99,105
1,100,81
1,101,65
1,102,36
1,103,18
1,104,11
1,105,0
1,106,5
1,107,2
1,108,0
1,109,0
1,110,1
1,111,0
1,112,0
1,113,0
1,114,0
1,115,0
1,116,0
1,117,0
1,118,0
1,119,0
1,120,0
1,121,0
1,122,0
1,123,0
1,124,0
1,125,0
1,126,0
1,127,0
1,128,0
1,129,0
1,130,0
1,131,0
1,132,0
1,133,0
1,134,0
1,135,0
1,136,0
1,137,0
1,138,0
1,139,0
1,140,0
1,141,0
1,142,0
1,143,0
1,144,0
1,145,0
1,146,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,2
2,46,1
2,47,0
2,48,3
2,49,0
2,50,2
2,51,5
2,52,6
2,53,9
2,54,8
2,55,21
2,56,17
2,57,36
2,58,42
2,59,61
2,60,61
2,61,78
2,62,115
2,63,158
2,64,209
2,65,243
2,66,330
2,67,374
2,68,490
2,69,588
2,70,679
2,71,837
2,72,1022
2,73,1233
2,74,1354
2,75,1530
2,76,1823
2,77,2080
2,78,2186
2,79,2457
2,80,2629
2,81,2743
2,82,2806
2,83,2764
2,84,2678
2,85,2722
2,86,2449
2,87,2312
2,88,2090
2,89,1849
2,90,1583
2,91,1326
2,92,1095
2,93,817
2,94,601
2,95,478
2,96,353
2,97,216
2,98,150
2,99,100
2,100,62
2,101,42
2,102,28
2,103,20
2,104,12
2,105,4
2,106,5
2,107,2
2,108,4
2,109,0
2,110,0
2,111,0
2,112,0
2,113,0
2,114,0
2,115,0
2,116,0
2,117,0
2,118,0
2,119,0
2,120,0
2,121,0
2,122,0
2,123,0
2,124,0
2,125,0
2,126,0
2,127,0
2,128,0
2,129,0
2,130,0
2,131,0
2,132,0
2,133,0
2,134,0
2,135,0
2,136,0
2,137,0
2,138,0
2,139,0
2,140,0
2,141,0
2,142,0
2,143,0
2,144,0
2,145,0
2,146,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,1
3,46,1
3,47,2
3,48,1
3,49,2
3,50,6
3,51,4
3,52,6
3,53,9
3,54,13
3,55,16
3,56,22
3,57,24
3,58,34
3,59,48
3,60,63
3,61,90
3,62,121
3,63,160
3,64,182
3,65,242
3,66,299
3,67,399
3,68,506
3,69,581
3,70,744
3,71,842
3,72,1015
3,73,1195
3,74,1419
3,75,1597
3,76,1777
3,77,2015
3,78,2204
3,79,2373
3,80,2714
3,81,2697
3,82,2719
3,83,2723
3,84,2938
3,85,2661
3,86,2471
3,87,2334
3,88,2043
3,89,1843
3,90,1552
3,91,1271
3,92,1029
3,93,792
3,94,611
3,95,477
3,96,365
3,97,257
3,98,193
3,99,117
3,100,82
3,101,40
3,102,21
3,103,12
3,104,14
3,105,6
3,106,0
3,107,3
3,108,1
3,109,0
3,110,0
3,111,1
3,112,0
3,113,0
3,114,0
3,115,0
3,116,0
3,117,0
3,118,0
3,119,0
3,120,0
3,121,0
3,122,0
3,123,0
3,124,0
3,125,0
3,126,0
3,127,0
3,128,0
3,129,0
3,130,0
3,131,0
3,132,0
3,133,0
3,134,0
3,135,0
3,136,0
3,137,0
3,138,0
3,139,0
3,140,0
3,141,0
3,142,0
3,143,0
3,144,0
3,145,0
3,146,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
