k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,2
40,1
41,3
42,6
43,14
44,9
45,20
46,19
47,42
48,63
49,92
50,122
51,223
52,272
53,350
54,514
55,695
56,864
57,1229
58,1606
59,2101
60,2777
61,3711
62,4758
63,6047
64,7955
65,9656
66,12246
67,15141
68,18788
69,23138
70,27803
71,33817
72,40126
73,47523
74,55287
75,63717
76,72235
77,81132
78,89902
79,97096
80,104341
81,109018
82,111304
83,112600
84,111233
85,107027
86,100960
87,92637
88,83308
89,72983
90,61772
91,51524
92,41496
93,32585
94,24995
95,18749
96,13716
97,9651
98,6729
99,4452
100,3046
101,1934
102,1219
103,670
104,399
105,257
106,138
107,74
108,36
109,21
110,7
111,8
112,5
113,3
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
