n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
65,0,1000000,0.59274605078999998,cross,8,1,7,4,314162,312515,313176,314020
65,0,1000000,0.59274605078999998,both,8,1,7,4,351118,349471,350430,351274
65,0,1000000,0.59274605078999998,either,8,1,7,4,687485,685838,685980,686824
65,0,1000000,0.59274605078999998,direction_0,8,1,7,4,519051,517404,518025,518869
65,0,1000000,0.59274605078999998,direction_1,8,1,7,4,519552,517905,518385,519229
65,1,1000000,0.59274605078999998,cross,8,1,7,4,313159,312322,313762,314043
65,1,1000000,0.59274605078999998,both,8,1,7,4,350271,349434,350959,351240
65,1,1000000,0.59274605078999998,either,8,1,7,4,687678,686841,685957,686238
65,1,1000000,0.59274605078999998,direction_0,8,1,7,4,518988,518151,518622,518903
65,1,1000000,0.59274605078999998,direction_1,8,1,7,4,518961,518124,518294,518575
65,2,1000000,0.59274605078999998,cross,8,1,7,4,314475,312873,313640,313673
65,2,1000000,0.59274605078999998,both,8,1,7,4,351499,349897,350605,350638
65,2,1000000,0.59274605078999998,either,8,1,7,4,687127,685525,686327,686360
65,2,1000000,0.59274605078999998,direction_0,8,1,7,4,518772,517170,518138,518171
65,2,1000000,0.59274605078999998,direction_1,8,1,7,4,519854,518252,518794,518827
65,3,1000000,0.59274605078999998,cross,8,1,7,4,313729,313035,314122,313024
65,3,1000000,0.59274605078999998,both,8,1,7,4,350881,350187,351167,350069
65,3,1000000,0.59274605078999998,either,8,1,7,4,686965,686271,686976,685878
65,3,1000000,0.59274605078999998,direction_0,8,1,7,4,518835,518141,519227,518129
65,3,1000000,0.59274605078999998,direction_1,8,1,7,4,519011,518317,518916,517818
65,4,1000000,0.59274605078999998,cross,8,1,7,4,312982,313408,312401,313716
65,4,1000000,0.59274605078999998,both,8,1,7,4,349956,350382,349880,351195
65,4,1000000,0.59274605078999998,either,8,1,7,4,686592,687018,686284,687599
65,4,1000000,0.59274605078999998,direction_0,8,1,7,4,518874,519300,518000,519315
65,4,1000000,0.59274605078999998,direction_1,8,1,7,4,517674,518100,518164,519479
65,5,1000000,0.59274605078999998,cross,8,1,7,4,313902,312463,314042,312787
65,5,1000000,0.59274605078999998,both,8,1,7,4,350704,349265,351329,350074
65,5,1000000,0.59274605078999998,either,8,1,7,4,687537,686098,687213,685958
65,5,1000000,0.59274605078999998,direction_0,8,1,7,4,519171,517732,519338,518083
65,5,1000000,0.59274605078999998,direction_1,8,1,7,4,519070,517631,519204,517949
65,6,1000000,0.59274605078999998,cross,8,1,7,4,312811,312681,313106,314126
65,6,1000000,0.59274605078999998,both,8,1,7,4,350054,349924,350395,351415
65,6,1000000,0.59274605078999998,either,8,1,7,4,687319,687189,685874,686894
65,6,1000000,0.59274605078999998,direction_0,8,1,7,4,519102,518972,518486,519506
65,6,1000000,0.59274605078999998,direction_1,8,1,7,4,518271,518141,517783,518803
65,7,1000000,0.59274605078999998,cross,8,1,7,4,313398,312447,313691,313555
65,7,1000000,0.59274605078999998,both,8,1,7,4,350396,349445,351024,350888
65,7,1000000,0.59274605078999998,either,8,1,7,4,687553,686602,686445,686309
65,7,1000000,0.59274605078999998,direction_0,8,1,7,4,519131,518180,518897,518761
65,7,1000000,0.59274605078999998,direction_1,8,1,7,4,518818,517867,518572,518436
65,8,1000000,0.59274605078999998,cross,8,1,7,4,313614,313211,314035,312607
65,8,1000000,0.59274605078999998,both,8,1,7,4,350629,350226,351431,350003
65,8,1000000,0.59274605078999998,either,8,1,7,4,686789,686386,687393,685965
65,8,1000000,0.59274605078999998,direction_0,8,1,7,4,518613,518210,518771,517343
65,8,1000000,0.59274605078999998,direction_1,8,1,7,4,518805,518402,520053,518625
65,9,1000000,0.59274605078999998,cross,8,1,7,4,314606,312979,314144,313079
65,9,1000000,0.59274605078999998,both,8,1,7,4,351466,349839,351470,350405
65,9,1000000,0.59274605078999998,either,8,1,7,4,687021,685394,686921,685856
65,9,1000000,0.59274605078999998,direction_0,8,1,7,4,519400,517773,519146,518081
65,9,1000000,0.59274605078999998,direction_1,8,1,7,4,519087,517460,519245,518180
65,10,1000000,0.59274605078999998,cross,8,1,7,4,313499,313538,313444,313273
65,10,1000000,0.59274605078999998,both,8,1,7,4,350615,350654,350941,350770
65,10,1000000,0.59274605078999998,either,8,1,7,4,686462,686501,686727,686556
65,10,1000000,0.59274605078999998,direction_0,8,1,7,4,518720,518759,518780,518609
65,10,1000000,0.59274605078999998,direction_1,8,1,7,4,518357,518396,518888,518717
65,11,1000000,0.59274605078999998,cross,8,1,7,4,313814,312803,313060,314014
65,11,1000000,0.59274605078999998,both,8,1,7,4,350310,349299,350278,351232
65,11,1000000,0.59274605078999998,either,8,1,7,4,687197,686186,685986,686940
65,11,1000000,0.59274605078999998,direction_0,8,1,7,4,518364,517353,518437,519391
65,11,1000000,0.59274605078999998,direction_1,8,1,7,4,519143,518132,517827,518781
65,12,1000000,0.59274605078999998,cross,8,1,7,4,314172,312582,313832,313471
65,12,1000000,0.59274605078999998,both,8,1,7,4,351298,349708,351154,350793
65,12,1000000,0.59274605078999998,either,8,1,7,4,687418,685828,686529,686168
65,12,1000000,0.59274605078999998,direction_0,8,1,7,4,518844,517254,518793,518432
65,12,1000000,0.59274605078999998,direction_1,8,1,7,4,519872,518282,518890,518529
65,13,1000000,0.59274605078999998,cross,8,1,7,4,313848,312860,313432,314173
65,13,1000000,0.59274605078999998,both,8,1,7,4,350986,349998,350774,351515
65,13,1000000,0.59274605078999998,either,8,1,7,4,687140,686152,685827,686568
65,13,1000000,0.59274605078999998,direction_0,8,1,7,4,519209,518221,518583,519324
65,13,1000000,0.59274605078999998,direction_1,8,1,7,4,518917,517929,518018,518759
65,14,1000000,0.59274605078999998,cross,8,1,7,4,313174,313060,312545,314030
65,14,1000000,0.59274605078999998,both,8,1,7,4,350324,350210,349939,351424
65,14,1000000,0.59274605078999998,either,8,1,7,4,686940,686826,685970,687455
65,14,1000000,0.59274605078999998,direction_0,8,1,7,4,518825,518711,517553,519038
65,14,1000000,0.59274605078999998,direction_1,8,1,7,4,518439,518325,518356,519841
65,15,1000000,0.59274605078999998,cross,8,1,7,4,314042,312638,313969,313398
65,15,1000000,0.59274605078999998,both,8,1,7,4,351010,349606,351262,350691
65,15,1000000,0.59274605078999998,either,8,1,7,4,687362,685958,686602,686031
65,15,1000000,0.59274605078999998,direction_0,8,1,7,4,519371,517967,519045,518474
65,15,1000000,0.59274605078999998,direction_1,8,1,7,4,519001,517597,518819,518248
65,16,1000000,0.59274605078999998,cross,8,1,7,4,313623,312857,313101,314036
65,16,1000000,0.59274605078999998,both,8,1,7,4,350578,349812,350261,351196
65,16,1000000,0.59274605078999998,either,8,1,7,4,687143,686377,685964,686899
65,16,1000000,0.59274605078999998,direction_0,8,1,7,4,518567,517801,517995,518930
65,16,1000000,0.59274605078999998,direction_1,8,1,7,4,519154,518388,518230,519165
65,17,1000000,0.59274605078999998,cross,8,1,7,4,314208,312483,313158,313301
65,17,1000000,0.59274605078999998,both,8,1,7,4,351371,349646,350380,350523
65,17,1000000,0.59274605078999998,either,8,1,7,4,687517,685792,686699,686842
65,17,1000000,0.59274605078999998,direction_0,8,1,7,4,519864,518139,518088,518231
65,17,1000000,0.59274605078999998,direction_1,8,1,7,4,519024,517299,518991,519134
65,18,1000000,0.59274605078999998,cross,8,1,7,4,312597,313930,313340,314558
65,18,1000000,0.59274605078999998,both,8,1,7,4,349436,350769,350725,351943
65,18,1000000,0.59274605078999998,either,8,1,7,4,686070,687403,685442,686660
65,18,1000000,0.59274605078999998,direction_0,8,1,7,4,517705,519038,517762,518980
65,18,1000000,0.59274605078999998,direction_1,8,1,7,4,517801,519134,518405,519623
65,19,1000000,0.59274605078999998,cross,8,1,7,4,314687,312127,314291,312420
65,19,1000000,0.59274605078999998,both,8,1,7,4,351494,348934,351470,349599
65,19,1000000,0.59274605078999998,either,8,1,7,4,687873,685313,687580,685709
65,19,1000000,0.59274605078999998,direction_0,8,1,7,4,519848,517288,519804,517933
65,19,1000000,0.59274605078999998,direction_1,8,1,7,4,519519,516959,519246,517375
65,20,1000000,0.59274605078999998,cross,8,1,7,4,314183,312687,313788,313594
65,20,1000000,0.59274605078999998,both,8,1,7,4,351239,349743,350976,350782
65,20,1000000,0.59274605078999998,either,8,1,7,4,687313,685817,686406,686212
65,20,1000000,0.59274605078999998,direction_0,8,1,7,4,519083,517587,518747,518553
65,20,1000000,0.59274605078999998,direction_1,8,1,7,4,519469,517973,518635,518441
65,21,1000000,0.59274605078999998,cross,8,1,7,4,313956,313135,313499,314093
65,21,1000000,0.59274605078999998,both,8,1,7,4,350900,350079,351059,351653
65,21,1000000,0.59274605078999998,either,8,1,7,4,686865,686044,685907,686501
65,21,1000000,0.59274605078999998,direction_0,8,1,7,4,519099,518278,518253,518847
65,21,1000000,0.59274605078999998,direction_1,8,1,7,4,518666,517845,518713,519307
65,22,1000000,0.59274605078999998,cross,8,1,7,4,313633,313044,312187,314082
65,22,1000000,0.59274605078999998,both,8,1,7,4,350628,350039,349222,351117
65,22,1000000,0.59274605078999998,either,8,1,7,4,686956,686367,685918,687813
65,22,1000000,0.59274605078999998,direction_0,8,1,7,4,518878,518289,517713,519608
65,22,1000000,0.59274605078999998,direction_1,8,1,7,4,518706,518117,517427,519322
