metric,N_i,N_j,covariance_of_means,correlation
delta_M,65,65,4.119146800127247e-08,1.0
delta_M,65,85,5.876353602264557e-09,0.14312892203238006
delta_M,65,130,1.018386615659038e-08,0.2124895684216962
delta_M,65,145,3.4029682688840476e-09,0.08011986732564044
delta_M,65,170,-6.730410891680027e-09,-0.16377147700181593
delta_M,85,85,4.092170981715827e-08,1.0
delta_M,85,130,-1.8439831301180519e-09,-0.038601894932351666
delta_M,85,145,1.3325537703834474e-09,0.03147703475557263
delta_M,85,170,1.710880217075913e-09,0.04176793851433608
delta_M,130,130,5.576258099449926e-08,1.0
delta_M,130,145,1.0892075145509168e-08,0.22040688271331427
delta_M,130,170,-1.0204513470939285e-09,-0.021341315772203193
delta_M,145,145,4.379535855677735e-08,1.0
delta_M,145,170,-2.265603996983366e-09,-0.05346508739209135
delta_M,170,170,4.1001463250944075e-08,1.0
root_gap,65,65,5.866450874249777e-10,1.0
root_gap,65,85,7.580867808560285e-11,0.1432390601366808
root_gap,65,130,1.1210414393960396e-10,0.21250054410776986
root_gap,65,145,3.5920607812670105e-11,0.08002190043765224
root_gap,65,170,-6.701991764532355e-11,-0.16372744447652507
root_gap,85,85,4.774627374873381e-10,1.0
root_gap,85,130,-1.8353403167581545e-11,-0.03856319086211097
root_gap,85,145,1.2756972455857678e-11,0.0315014670373158
root_gap,85,170,1.544662847724428e-11,0.041828209223038676
root_gap,130,130,4.744034101676469e-10,1.0
root_gap,130,145,8.895634018751953e-11,0.22037174442119933
root_gap,130,170,-7.845799368825672e-12,-0.021314179045131408
root_gap,145,145,3.4347425708577105e-10,1.0
root_gap,145,170,-1.675753607452283e-11,-0.053501798216857945
root_gap,170,170,2.8562049992285786e-10,1.0
mean_M_prime,65,65,4.3223467586572026e-07,1.0
mean_M_prime,65,85,7.308692929736823e-08,0.117470070889827
mean_M_prime,65,130,-2.2209450146739506e-08,-0.03259339351983675
mean_M_prime,65,145,-3.4533332030693737e-08,-0.048174533202652
mean_M_prime,65,170,1.9061217132940608e-07,0.2567874456606357
mean_M_prime,85,85,8.955820171414193e-07,1.0
mean_M_prime,85,130,6.343662674655e-10,0.0006467537791250562
mean_M_prime,85,145,-1.820711762031836e-07,-0.1764523102750015
mean_M_prime,85,170,2.461292586217648e-08,0.023035281425302045
mean_M_prime,130,130,1.0742289389169762e-06,1.0
mean_M_prime,130,145,2.1414638065900325e-08,0.01894964804591949
mean_M_prime,130,170,9.568959083996497e-08,0.08177098606952435
mean_M_prime,145,145,1.18883705509762e-06,1.0
mean_M_prime,145,170,-4.947247780868908e-08,-0.04018698797727118
mean_M_prime,170,170,1.2747765844286785e-06,1.0
A_M,65,65,0.01728160755688808,1.0
A_M,65,85,0.003259773929264314,0.1431289220323801
A_M,65,130,0.013178418486786072,0.21248956842169622
A_M,65,145,0.0037383918273593015,0.08011986732564046
A_M,65,170,-0.011515820391408348,-0.16377147700181596
A_M,85,85,0.030014839449758086,1.0
A_M,85,130,-0.003155079069165989,-0.03860189493235168
A_M,85,145,0.001935594385621231,0.031477034755572654
A_M,85,170,0.003870576012504736,0.04176793851433606
A_M,130,130,0.2225703054315265,1.0
A_M,130,145,0.03690721637305419,0.22040688271331424
A_M,130,170,-0.005385417165347191,-0.021341315772203162
A_M,145,145,0.12598100124823863,1.0
A_M,145,170,-0.010150498151240545,-0.05346508739209133
A_M,170,170,0.28610740292451986,1.0
B,65,65,1.8881417162932415e-08,1.0
B,65,85,2.8871218250520156e-09,0.11747007088981634
B,65,130,-7.481118616376599e-10,-0.032593393519838365
B,65,145,-1.1165623376312953e-09,-0.04817453320263986
B,65,170,5.80617035893371e-09,0.2567874456606353
B,85,85,3.1991983731822336e-08,1.0
B,85,130,1.9323207920819662e-11,0.0006467537791200348
B,85,145,-5.323485798523715e-09,-0.17645231027500244
B,85,170,6.77973627979215e-10,0.02303528142529086
B,130,130,2.790225693373704e-08,1.0
B,130,145,5.339111378626571e-10,0.018949648045913748
B,130,170,2.2475926072517833e-09,0.08177098606953026
B,145,145,2.845092111949515e-08,1.0
B,145,170,-1.1154043041218853e-09,-0.040186987977262396
B,170,170,2.7076803083503395e-08,1.0
A_p,65,65,0.0056342657128826785,1.0
A_p,65,85,0.0010645672231885722,0.1432390601366808
A_p,65,130,0.004306689328932628,0.21250054410776983
A_p,65,145,0.001220467180721915,0.08002190043765225
A_p,65,170,-0.0037645931535935195,-0.1637274444765251
A_p,85,85,0.00980360785774987,1.0
A_p,85,130,-0.0010309337632353867,-0.03856319086211096
A_p,85,145,0.0006337563547654923,0.031501467037315795
A_p,85,170,0.0012686450809725927,0.04182820922303868
A_p,130,130,0.0729003596969253,1.0
A_p,130,145,0.01208980586099178,0.2203717444211993
A_p,130,170,-0.0017628337142792916,-0.02131417904513141
A_p,145,145,0.04128546342386022,1.0
A_p,145,170,-0.0033300048312213146,-0.05350179821685795
A_p,170,170,0.0938330439644809,1.0
