n,a,b,orientation,batch,samples,kind,k,count
65,8,1,first,0,10000,minus,15,1
65,8,1,first,0,10000,minus,16,2
65,8,1,first,0,10000,minus,17,1
65,8,1,first,0,10000,minus,18,1
65,8,1,first,0,10000,minus,19,3
65,8,1,first,0,10000,minus,20,6
65,8,1,first,0,10000,minus,21,4
65,8,1,first,0,10000,minus,22,5
65,8,1,first,0,10000,minus,23,15
65,8,1,first,0,10000,minus,24,25
65,8,1,first,0,10000,plus,24,1
65,8,1,first,0,10000,minus,25,38
65,8,1,first,0,10000,minus,26,74
65,8,1,first,0,10000,minus,27,110
65,8,1,first,0,10000,plus,27,2
65,8,1,first,0,10000,minus,28,139
65,8,1,first,0,10000,plus,28,4
65,8,1,first,0,10000,minus,29,201
65,8,1,first,0,10000,plus,29,9
65,8,1,first,0,10000,minus,30,291
65,8,1,first,0,10000,plus,30,7
65,8,1,first,0,10000,minus,31,356
65,8,1,first,0,10000,plus,31,23
65,8,1,first,0,10000,minus,32,480
65,8,1,first,0,10000,plus,32,42
65,8,1,first,0,10000,minus,33,607
65,8,1,first,0,10000,plus,33,66
65,8,1,first,0,10000,minus,34,795
65,8,1,first,0,10000,plus,34,117
65,8,1,first,0,10000,minus,35,901
65,8,1,first,0,10000,plus,35,210
65,8,1,first,0,10000,minus,36,921
65,8,1,first,0,10000,plus,36,354
65,8,1,first,0,10000,minus,37,1021
65,8,1,first,0,10000,plus,37,453
65,8,1,first,0,10000,minus,38,995
65,8,1,first,0,10000,plus,38,653
65,8,1,first,0,10000,minus,39,866
65,8,1,first,0,10000,plus,39,869
65,8,1,first,0,10000,minus,40,700
65,8,1,first,0,10000,plus,40,923
65,8,1,first,0,10000,minus,41,551
65,8,1,first,0,10000,plus,41,1051
65,8,1,first,0,10000,minus,42,392
65,8,1,first,0,10000,plus,42,1016
65,8,1,first,0,10000,minus,43,228
65,8,1,first,0,10000,plus,43,1006
65,8,1,first,0,10000,minus,44,138
65,8,1,first,0,10000,plus,44,868
65,8,1,first,0,10000,minus,45,80
65,8,1,first,0,10000,plus,45,676
65,8,1,first,0,10000,minus,46,30
65,8,1,first,0,10000,plus,46,558
65,8,1,first,0,10000,minus,47,15
65,8,1,first,0,10000,plus,47,388
65,8,1,first,0,10000,minus,48,6
65,8,1,first,0,10000,plus,48,266
65,8,1,first,0,10000,minus,49,2
65,8,1,first,0,10000,plus,49,185
65,8,1,first,0,10000,plus,50,119
65,8,1,first,0,10000,plus,51,63
65,8,1,first,0,10000,plus,52,39
65,8,1,first,0,10000,plus,53,17
65,8,1,first,0,10000,plus,54,12
65,8,1,first,0,10000,plus,55,3
65,7,4,second,0,10000,minus,14,1
65,7,4,second,0,10000,minus,17,1
65,7,4,second,0,10000,minus,19,1
65,7,4,second,0,10000,minus,20,3
65,7,4,second,0,10000,minus,21,4
65,7,4,second,0,10000,minus,22,10
65,7,4,second,0,10000,minus,23,12
65,7,4,second,0,10000,minus,24,19
65,7,4,second,0,10000,minus,25,37
