n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
65,8,1,first,0,10000,362204,417629,13291668,17590853,15197243,55425,488035
65,7,4,second,0,10000,362151,417376,13279949,17570886,15184919,55225,480997
65,8,1,first,1,10000,361819,416927,13263161,17528339,15154191,55108,483118
65,7,4,second,1,10000,361894,417203,13262544,17556865,15167375,55309,484659
65,8,1,first,2,10000,361265,416878,13224661,17524698,15131329,55613,486701
65,7,4,second,2,10000,362332,417772,13294322,17600190,15205634,55440,483244
65,8,1,first,3,10000,361791,416610,13260209,17506894,15143756,54819,479591
65,7,4,second,3,10000,361809,417151,13258135,17552079,15162676,55342,484862
65,8,1,first,4,10000,361389,417668,13231629,17590050,15162128,56279,497423
65,7,4,second,4,10000,361260,417383,13221106,17570057,15145228,56123,500707
65,8,1,first,5,10000,361906,417038,13267414,17539544,15162115,55132,482728
65,7,4,second,5,10000,362513,417771,13304853,17601837,15213082,55258,480526
65,8,1,first,6,10000,361875,417379,13262991,17568751,15170845,55504,490052
65,7,4,second,6,10000,361559,417137,13239699,17550371,15152203,55578,485664
65,8,1,first,7,10000,361224,417293,13221652,17561915,15142336,56069,498895
65,7,4,second,7,10000,362096,418057,13278664,17625837,15205382,55961,493737
65,8,1,first,8,10000,361068,416635,13206280,17506383,15112449,55567,487765
65,7,4,second,8,10000,361632,417522,13247318,17581746,15166548,55890,495968
65,8,1,first,9,10000,362305,417961,13300215,17615195,15210850,55656,493710
65,7,4,second,9,10000,362182,417418,13279624,17574086,15186066,55236,481578
65,8,1,first,10,10000,361833,416857,13262821,17526807,15154461,55024,480706
65,7,4,second,10,10000,361923,417603,13264801,17589621,15181806,55680,490810
65,8,1,first,11,10000,361282,416840,13224074,17519978,15126295,55558,491462
65,7,4,second,11,10000,361857,417882,13265045,17615114,15191769,56025,496621
65,8,1,first,12,10000,361117,416921,13215647,17529841,15126856,55804,491776
65,7,4,second,12,10000,362142,417626,13279514,17592328,15192903,55484,486036
65,8,1,first,13,10000,361790,417120,13259790,17543378,15159458,55330,484252
65,7,4,second,13,10000,361683,416879,13247967,17528957,15146949,55196,483026
65,8,1,first,14,10000,362243,417161,13290439,17548931,15180531,54918,478308
65,7,4,second,14,10000,362581,417891,13308811,17611229,15221217,55310,477606
65,8,1,first,15,10000,361583,417053,13250817,17543645,15151403,55470,491656
65,7,4,second,15,10000,361781,417875,13256461,17612875,15185695,56094,497946
65,8,1,first,16,10000,361433,417411,13234837,17571051,15154527,55978,496834
65,7,4,second,16,10000,362113,417737,13279315,17601417,15195275,55624,490182
65,8,1,first,17,10000,361800,417354,13261316,17568178,15168603,55554,492288
65,7,4,second,17,10000,362088,417670,13275384,17592850,15191014,55582,486206
65,8,1,first,18,10000,361931,417809,13271345,17607427,15194279,55878,490214
65,7,4,second,18,10000,361729,417727,13255523,17601439,15180883,55998,495196
65,8,1,first,19,10000,361857,417504,13266127,17579720,15179278,55647,487291
65,7,4,second,19,10000,362159,417214,13280681,17554644,15178107,55055,479111
65,8,1,first,20,10000,361454,417260,13239976,17559282,15153386,55806,492486
65,7,4,second,20,10000,362354,417670,13296340,17594324,15202808,55316,485048
65,8,1,first,21,10000,362143,417066,13280773,17540628,15173140,54923,475121
65,7,4,second,21,10000,362404,417523,13301290,17582647,15203975,55119,475987
65,8,1,first,22,10000,361553,416929,13242529,17528273,15142919,55376,484964
65,7,4,second,22,10000,362323,417557,13293759,17585283,15197554,55234,483934
65,8,1,first,23,10000,361637,417501,13250553,17576781,15166507,55864,494320
65,7,4,second,23,10000,362093,417770,13278427,17605072,15196401,55677,490697
65,8,1,first,24,10000,361068,417437,13206756,17574127,15140784,56369,499315
65,7,4,second,24,10000,361888,417762,13261048,17601370,15185387,55874,491644
65,8,1,first,25,10000,361762,417243,13256264,17556775,15163092,55481,486855
65,7,4,second,25,10000,361571,417346,13242213,17569692,15159151,55775,493603
65,8,1,first,26,10000,361761,417177,13259103,17551925,15163313,55416,484402
65,7,4,second,26,10000,362799,417484,13329225,17580128,15217379,54685,474595
65,8,1,first,27,10000,361969,417404,13274565,17570638,15178896,55435,487411
65,7,4,second,27,10000,362455,417305,13302651,17566183,15195623,54850,477588
65,8,1,first,28,10000,361950,417595,13272656,17585075,15183755,55645,490221
65,7,4,second,28,10000,362370,417586,13297248,17585892,15199336,55216,484468
65,8,1,first,29,10000,360884,417179,13203850,17553549,15128218,56295,500963
65,7,4,second,29,10000,362488,417605,13311324,17590123,15209835,55117,481777
65,8,1,first,30,10000,362702,417946,13325274,17615668,15228925,55244,483092
65,7,4,second,30,10000,362071,417615,13274583,17588047,15188768,55544,485094
65,8,1,first,31,10000,361330,417612,13230262,17585288,15154994,56282,505562
65,7,4,second,31,10000,361999,417000,13267739,17536114,15163050,55001,477753
65,8,1,first,32,10000,361903,417426,13270189,17566918,15174190,55523,488727
65,7,4,second,32,10000,362202,417967,13284882,17616035,15204685,55765,491547
65,8,1,first,33,10000,361986,417301,13273632,17561923,15175930,55315,483695
65,7,4,second,33,10000,362071,417913,13281171,17617285,15203064,55842,492328
65,8,1,first,34,10000,362315,417520,13299529,17576366,15196738,55205,482419
65,7,4,second,34,10000,362739,418108,13326859,17633122,15236936,55369,486109
65,8,1,first,35,10000,361390,416756,13235460,17519812,15131625,55366,492022
65,7,4,second,35,10000,361909,417130,13264951,17549062,15164566,55221,484881
65,8,1,first,36,10000,361977,417160,13271855,17549984,15168251,55183,485337
