N,metric,p,first,second,difference_first_minus_second,difference_batch_se
65,root,,0.5926677594121379,0.5927532943957823,-8.553498364436135e-05,2.4218227436330837e-05
65,M,0.59174605079,-0.007718528373567322,-0.008441095945731064,0.0007225675721637419,0.00020306154344378486
65,M_prime,0.59174605079,8.37176722049029,8.378024950940524,-0.006257730450234115,0.001284615163731662
65,M,0.59274605079,0.0006558147138933425,-6.0720179684030236e-05,0.0007165348935773727,0.0002029568131432706
65,M_prime,0.59274605079,8.37676822923187,8.382575485438046,-0.005807256206176922,0.0012867362203430113
65,M,0.59374605079,0.009034706142372697,0.00832375238379711,0.000710953758575587,0.00020283463392230694
65,M_prime,0.59374605079,8.380863419874135,8.38621810542292,-0.005354685548784832,0.0012889711122342808
85,root,,0.5927296349038695,0.5928085053127877,-7.887040891822935e-05,2.185168323592177e-05
85,M,0.59174605079,-0.009100929533188829,-0.00983632894994957,0.0007353994167607424,0.00020237738082279428
85,M_prime,0.59174605079,9.24999125633204,9.255317842861169,-0.0053265865291287785,0.0014066718752058862
85,M,0.59274605079,0.00015193715950166358,-0.000578362993591948,0.0007303001530936116,0.00020229115110938063
85,M_prime,0.59274605079,9.255535943131672,9.260407439064773,-0.00487149593310003,0.0014088950665550053
85,M,0.59374605079,0.009409729317800179,0.008684072056735116,0.0007256572610650631,0.000202181668154922
85,M_prime,0.59374605079,9.259841540497506,9.264255437407488,-0.004413896909981045,0.0014114831733763782
130,root,,0.5927252292415365,0.5927667075496846,-4.1478308148125924e-05,2.178432011644554e-05
130,M,0.59174605079,-0.010612369933114131,-0.01106293360920662,0.0004505636760924889,0.00023640229758830134
130,M_prime,0.59174605079,10.834602708954744,10.835643173828887,-0.0010404648741433426,0.001897421901727589
130,M,0.59274605079,0.00022573061911384314,-0.00022396099282197455,0.00044969161193581767,0.00023614101929673138
130,M_prime,0.59274605079,10.841261231575933,10.841964877564301,-0.0007036459883674943,0.0019018408349268773
130,M,0.59374605079,0.011069477117669764,0.010620320757391168,0.00044915636027859486,0.00023584276948244266
130,M_prime,0.59374605079,10.84589355542938,10.846260454060138,-0.0003668986307600964,0.0019067549877885494
145,root,,0.5927168726338098,0.5927735553102556,-5.668267644583162e-05,1.8537019927307036e-05
145,M,0.59174605079,-0.01095678508214984,-0.011602438559413964,0.0006456534772641253,0.00020925069363765487
145,M_prime,0.59174605079,11.282449759671941,11.288212107688135,-0.005762348016193703,0.0019189203227659303
145,M,0.59274605079,0.000329405704879233,-0.0003106643840235057,0.0006400700889027388,0.00020927340623399179
145,M_prime,0.59274605079,11.2895498450939,11.294953475729756,-0.005403630635856029,0.0019204300637138292
145,M,0.59374605079,0.011621549428612155,0.010986701678206987,0.0006348477504051688,0.00020926435443961486
145,M_prime,0.59374605079,11.294354439674064,11.299394749959507,-0.005040310285443929,0.0019222986841985047
170,root,,0.5927298241665037,0.5927784638408428,-4.863967433909071e-05,1.6899587147474637e-05
170,M,0.59174605079,-0.011782203987832524,-0.012367615440478359,0.0005854114526458363,0.0002026143121497642
170,M_prime,0.59174605079,11.972534241769912,11.975251346575797,-0.002717104805884524,0.0021364188360668375
170,M,0.59274605079,0.00019439752856495937,-0.00038839972830916834,0.0005827972568741277,0.00020248818052159012
170,M_prime,0.59274605079,11.980210170244883,11.982720970879422,-0.002510800634539671,0.0021433173164576184
170,M,0.59374605079,0.012177297615156155,0.011596906829418293,0.0005803907857378622,0.00020232714088784688
170,M_prime,0.59374605079,11.985129951098425,11.987431644709558,-0.002301693611130679,0.0021506209610416874
