n,a,b,orientation,batch,samples,kind,k,count
65,8,1,first,0,100000,minus,14,1
65,8,1,first,0,100000,minus,15,1
65,8,1,first,0,100000,minus,17,11
65,8,1,first,0,100000,minus,18,13
65,8,1,first,0,100000,minus,19,17
65,8,1,first,0,100000,minus,20,29
65,8,1,first,0,100000,minus,21,60
65,8,1,first,0,100000,minus,22,109
65,8,1,first,0,100000,minus,23,178
65,8,1,first,0,100000,minus,24,300
65,8,1,first,0,100000,plus,24,1
65,8,1,first,0,100000,minus,25,413
65,8,1,first,0,100000,minus,26,670
65,8,1,first,0,100000,minus,27,1026
65,8,1,first,0,100000,plus,27,7
65,8,1,first,0,100000,minus,28,1472
65,8,1,first,0,100000,plus,28,17
65,8,1,first,0,100000,minus,29,1988
65,8,1,first,0,100000,plus,29,33
65,8,1,first,0,100000,minus,30,2759
65,8,1,first,0,100000,plus,30,90
65,8,1,first,0,100000,minus,31,3909
65,8,1,first,0,100000,plus,31,179
65,8,1,first,0,100000,minus,32,5002
65,8,1,first,0,100000,plus,32,375
65,8,1,first,0,100000,minus,33,6237
65,8,1,first,0,100000,plus,33,737
65,8,1,first,0,100000,minus,34,7722
65,8,1,first,0,100000,plus,34,1281
65,8,1,first,0,100000,minus,35,8730
65,8,1,first,0,100000,plus,35,2180
65,8,1,first,0,100000,minus,36,9668
65,8,1,first,0,100000,plus,36,3372
65,8,1,first,0,100000,minus,37,9974
65,8,1,first,0,100000,plus,37,4818
65,8,1,first,0,100000,minus,38,9749
65,8,1,first,0,100000,plus,38,6583
65,8,1,first,0,100000,minus,39,8748
65,8,1,first,0,100000,plus,39,8349
65,8,1,first,0,100000,minus,40,7231
65,8,1,first,0,100000,plus,40,9749
65,8,1,first,0,100000,minus,41,5459
65,8,1,first,0,100000,plus,41,10265
65,8,1,first,0,100000,minus,42,3614
65,8,1,first,0,100000,plus,42,10631
65,8,1,first,0,100000,minus,43,2358
65,8,1,first,0,100000,plus,43,9784
65,8,1,first,0,100000,minus,44,1367
65,8,1,first,0,100000,plus,44,8549
65,8,1,first,0,100000,minus,45,663
65,8,1,first,0,100000,plus,45,6910
65,8,1,first,0,100000,minus,46,307
65,8,1,first,0,100000,plus,46,5364
65,8,1,first,0,100000,minus,47,149
65,8,1,first,0,100000,plus,47,3896
65,8,1,first,0,100000,minus,48,38
65,8,1,first,0,100000,plus,48,2777
65,8,1,first,0,100000,minus,49,21
65,8,1,first,0,100000,plus,49,1740
65,8,1,first,0,100000,minus,50,4
65,8,1,first,0,100000,plus,50,1054
65,8,1,first,0,100000,minus,51,2
65,8,1,first,0,100000,plus,51,596
65,8,1,first,0,100000,minus,52,1
65,8,1,first,0,100000,plus,52,362
65,8,1,first,0,100000,plus,53,172
65,8,1,first,0,100000,plus,54,81
65,8,1,first,0,100000,plus,55,33
65,8,1,first,0,100000,plus,56,12
65,8,1,first,0,100000,plus,57,3
65,7,4,second,0,100000,minus,16,1
65,7,4,second,0,100000,minus,17,1
65,7,4,second,0,100000,minus,18,4
65,7,4,second,0,100000,minus,19,13
65,7,4,second,0,100000,minus,20,30
65,7,4,second,0,100000,minus,21,49
65,7,4,second,0,100000,minus,22,88
65,7,4,second,0,100000,minus,23,131
65,7,4,second,0,100000,minus,24,236
65,7,4,second,0,100000,plus,24,1
65,7,4,second,0,100000,minus,25,378
65,7,4,second,0,100000,plus,25,1
65,7,4,second,0,100000,minus,26,620
65,7,4,second,0,100000,plus,26,1
65,7,4,second,0,100000,minus,27,876
65,7,4,second,0,100000,plus,27,7
65,7,4,second,0,100000,minus,28,1427
65,7,4,second,0,100000,plus,28,15
65,7,4,second,0,100000,minus,29,2030
65,7,4,second,0,100000,plus,29,44
65,7,4,second,0,100000,minus,30,2847
65,7,4,second,0,100000,plus,30,109
65,7,4,second,0,100000,minus,31,3796
65,7,4,second,0,100000,plus,31,204
65,7,4,second,0,100000,minus,32,5015
65,7,4,second,0,100000,plus,32,408
65,7,4,second,0,100000,minus,33,6434
65,7,4,second,0,100000,plus,33,725
65,7,4,second,0,100000,minus,34,7675
65,7,4,second,0,100000,plus,34,1321
65,7,4,second,0,100000,minus,35,8834
65,7,4,second,0,100000,plus,35,2155
65,7,4,second,0,100000,minus,36,9717
65,7,4,second,0,100000,plus,36,3369
65,7,4,second,0,100000,minus,37,10071
65,7,4,second,0,100000,plus,37,4941
65,7,4,second,0,100000,minus,38,9870
65,7,4,second,0,100000,plus,38,6607
65,7,4,second,0,100000,minus,39,8640
65,7,4,second,0,100000,plus,39,8127
65,7,4,second,0,100000,minus,40,7111
65,7,4,second,0,100000,plus,40,9696
65,7,4,second,0,100000,minus,41,5413
65,7,4,second,0,100000,plus,41,10483
65,7,4,second,0,100000,minus,42,3868
65,7,4,second,0,100000,plus,42,10352
65,7,4,second,0,100000,minus,43,2277
65,7,4,second,0,100000,plus,43,9597
65,7,4,second,0,100000,minus,44,1286
65,7,4,second,0,100000,plus,44,8372
65,7,4,second,0,100000,minus,45,702
65,7,4,second,0,100000,plus,45,6924
65,7,4,second,0,100000,minus,46,349
65,7,4,second,0,100000,plus,46,5320
65,7,4,second,0,100000,minus,47,138
65,7,4,second,0,100000,plus,47,3986
65,7,4,second,0,100000,minus,48,51
65,7,4,second,0,100000,plus,48,2874
65,7,4,second,0,100000,minus,49,15
65,7,4,second,0,100000,plus,49,1792
65,7,4,second,0,100000,minus,50,6
65,7,4,second,0,100000,plus,50,1144
65,7,4,second,0,100000,minus,51,1
65,7,4,second,0,100000,plus,51,662
65,7,4,second,0,100000,plus,52,377
65,7,4,second,0,100000,plus,53,226
65,7,4,second,0,100000,plus,54,95
65,7,4,second,0,100000,plus,55,35
65,7,4,second,0,100000,plus,56,17
65,7,4,second,0,100000,plus,57,10
65,7,4,second,0,100000,plus,58,3
65,8,1,first,1,100000,minus,14,2
65,8,1,first,1,100000,minus,15,1
65,8,1,first,1,100000,minus,16,4
65,8,1,first,1,100000,minus,17,5
65,8,1,first,1,100000,minus,18,16
65,8,1,first,1,100000,minus,19,17
65,8,1,first,1,100000,minus,20,32
65,8,1,first,1,100000,minus,21,62
65,8,1,first,1,100000,minus,22,107
65,8,1,first,1,100000,minus,23,187
65,8,1,first,1,100000,minus,24,298
65,8,1,first,1,100000,minus,25,441
65,8,1,first,1,100000,minus,26,665
65,8,1,first,1,100000,plus,26,2
65,8,1,first,1,100000,minus,27,942
65,8,1,first,1,100000,plus,27,6
65,8,1,first,1,100000,minus,28,1435
65,8,1,first,1,100000,plus,28,21
65,8,1,first,1,100000,minus,29,2077
65,8,1,first,1,100000,plus,29,31
65,8,1,first,1,100000,minus,30,2791
65,8,1,first,1,100000,plus,30,88
65,8,1,first,1,100000,minus,31,3879
65,8,1,first,1,100000,plus,31,205
65,8,1,first,1,100000,minus,32,5105
65,8,1,first,1,100000,plus,32,385
65,8,1,first,1,100000,minus,33,6392
65,8,1,first,1,100000,plus,33,763
65,8,1,first,1,100000,minus,34,7581
65,8,1,first,1,100000,plus,34,1297
65,8,1,first,1,100000,minus,35,8752
65,8,1,first,1,100000,plus,35,2056
65,8,1,first,1,100000,minus,36,9596
65,8,1,first,1,100000,plus,36,3236
65,8,1,first,1,100000,minus,37,10013
65,8,1,first,1,100000,plus,37,4920
65,8,1,first,1,100000,minus,38,9638
65,8,1,first,1,100000,plus,38,6595
65,8,1,first,1,100000,minus,39,8727
65,8,1,first,1,100000,plus,39,8279
65,8,1,first,1,100000,minus,40,7184
65,8,1,first,1,100000,plus,40,9671
65,8,1,first,1,100000,minus,41,5499
65,8,1,first,1,100000,plus,41,10411
65,8,1,first,1,100000,minus,42,3667
65,8,1,first,1,100000,plus,42,10480
65,8,1,first,1,100000,minus,43,2353
65,8,1,first,1,100000,plus,43,9929
65,8,1,first,1,100000,minus,44,1284
65,8,1,first,1,100000,plus,44,8458
65,8,1,first,1,100000,minus,45,716
65,8,1,first,1,100000,plus,45,6999
65,8,1,first,1,100000,minus,46,307
65,8,1,first,1,100000,plus,46,5326
65,8,1,first,1,100000,minus,47,148
65,8,1,first,1,100000,plus,47,3932
