n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
65,0,20000,0.59274605078999998,cross,8,1,7,4,6204,6390,6163,6341
65,0,20000,0.59274605078999998,both,8,1,7,4,6921,7107,6889,7067
65,0,20000,0.59274605078999998,either,8,1,7,4,13610,13796,13659,13837
65,0,20000,0.59274605078999998,direction_0,8,1,7,4,10280,10466,10176,10354
65,0,20000,0.59274605078999998,direction_1,8,1,7,4,10251,10437,10372,10550
65,1,20000,0.59274605078999998,cross,8,1,7,4,6324,6297,6311,6356
65,1,20000,0.59274605078999998,both,8,1,7,4,7052,7025,7051,7096
65,1,20000,0.59274605078999998,either,8,1,7,4,13703,13676,13644,13689
65,1,20000,0.59274605078999998,direction_0,8,1,7,4,10342,10315,10378,10423
65,1,20000,0.59274605078999998,direction_1,8,1,7,4,10413,10386,10317,10362
65,2,20000,0.59274605078999998,cross,8,1,7,4,6201,6256,6227,6211
65,2,20000,0.59274605078999998,both,8,1,7,4,6936,6991,7006,6990
65,2,20000,0.59274605078999998,either,8,1,7,4,13744,13799,13789,13773
65,2,20000,0.59274605078999998,direction_0,8,1,7,4,10347,10402,10361,10345
65,2,20000,0.59274605078999998,direction_1,8,1,7,4,10333,10388,10434,10418
65,3,20000,0.59274605078999998,cross,8,1,7,4,6213,6282,6255,6292
65,3,20000,0.59274605078999998,both,8,1,7,4,6923,6992,6986,7023
65,3,20000,0.59274605078999998,either,8,1,7,4,13718,13787,13708,13745
65,3,20000,0.59274605078999998,direction_0,8,1,7,4,10334,10403,10307,10344
65,3,20000,0.59274605078999998,direction_1,8,1,7,4,10307,10376,10387,10424
65,4,20000,0.59274605078999998,cross,8,1,7,4,6303,6314,6252,6188
65,4,20000,0.59274605078999998,both,8,1,7,4,7045,7056,7005,6941
65,4,20000,0.59274605078999998,either,8,1,7,4,13686,13697,13812,13748
65,4,20000,0.59274605078999998,direction_0,8,1,7,4,10408,10419,10368,10304
65,4,20000,0.59274605078999998,direction_1,8,1,7,4,10323,10334,10449,10385
65,5,20000,0.59274605078999998,cross,8,1,7,4,6388,6285,6248,6297
65,5,20000,0.59274605078999998,both,8,1,7,4,7105,7002,6983,7032
65,5,20000,0.59274605078999998,either,8,1,7,4,13715,13612,13703,13752
65,5,20000,0.59274605078999998,direction_0,8,1,7,4,10451,10348,10312,10361
65,5,20000,0.59274605078999998,direction_1,8,1,7,4,10369,10266,10374,10423
65,6,20000,0.59274605078999998,cross,8,1,7,4,6192,6230,6214,6258
65,6,20000,0.59274605078999998,both,8,1,7,4,6938,6976,6956,7000
65,6,20000,0.59274605078999998,either,8,1,7,4,13770,13808,13742,13786
65,6,20000,0.59274605078999998,direction_0,8,1,7,4,10282,10320,10309,10353
65,6,20000,0.59274605078999998,direction_1,8,1,7,4,10426,10464,10389,10433
65,7,20000,0.59274605078999998,cross,8,1,7,4,6307,6202,6101,6385
65,7,20000,0.59274605078999998,both,8,1,7,4,7044,6939,6839,7123
65,7,20000,0.59274605078999998,either,8,1,7,4,13798,13693,13615,13899
65,7,20000,0.59274605078999998,direction_0,8,1,7,4,10421,10316,10244,10528
65,7,20000,0.59274605078999998,direction_1,8,1,7,4,10421,10316,10210,10494
65,8,20000,0.59274605078999998,cross,8,1,7,4,6214,6244,6205,6317
65,8,20000,0.59274605078999998,both,8,1,7,4,6968,6998,6921,7033
