n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
170,0,1000000,0.59274605078999998,cross,13,1,11,7,311494,311218,310846,312043
170,0,1000000,0.59274605078999998,both,13,1,11,7,351536,351260,350891,352088
170,0,1000000,0.59274605078999998,either,13,1,11,7,688782,688506,687957,689154
170,0,1000000,0.59274605078999998,direction_0,13,1,11,7,520281,520005,518928,520125
170,0,1000000,0.59274605078999998,direction_1,13,1,11,7,520037,519761,519920,521117
170,1,1000000,0.59274605078999998,cross,13,1,11,7,311172,311195,311048,311184
170,1,1000000,0.59274605078999998,both,13,1,11,7,350946,350969,351375,351511
170,1,1000000,0.59274605078999998,either,13,1,11,7,688805,688828,688816,688952
170,1,1000000,0.59274605078999998,direction_0,13,1,11,7,519348,519371,519895,520031
170,1,1000000,0.59274605078999998,direction_1,13,1,11,7,520403,520426,520296,520432
170,2,1000000,0.59274605078999998,cross,13,1,11,7,311313,310835,311380,311088
170,2,1000000,0.59274605078999998,both,13,1,11,7,351324,350846,351356,351064
170,2,1000000,0.59274605078999998,either,13,1,11,7,689165,688687,688912,688620
170,2,1000000,0.59274605078999998,direction_0,13,1,11,7,521194,520716,520422,520130
170,2,1000000,0.59274605078999998,direction_1,13,1,11,7,519295,518817,519846,519554
170,3,1000000,0.59274605078999998,cross,13,1,11,7,312095,311174,310783,311693
170,3,1000000,0.59274605078999998,both,13,1,11,7,352293,351372,350918,351828
170,3,1000000,0.59274605078999998,either,13,1,11,7,688826,687905,688307,689217
170,3,1000000,0.59274605078999998,direction_0,13,1,11,7,520782,519861,519311,520221
170,3,1000000,0.59274605078999998,direction_1,13,1,11,7,520337,519416,519914,520824
170,4,1000000,0.59274605078999998,cross,13,1,11,7,310925,310979,309941,311710
170,4,1000000,0.59274605078999998,both,13,1,11,7,350789,350843,349918,351687
170,4,1000000,0.59274605078999998,either,13,1,11,7,689021,689075,688290,690059
170,4,1000000,0.59274605078999998,direction_0,13,1,11,7,520045,520099,518918,520687
170,4,1000000,0.59274605078999998,direction_1,13,1,11,7,519765,519819,519290,521059
170,5,1000000,0.59274605078999998,cross,13,1,11,7,311352,310546,311478,310682
170,5,1000000,0.59274605078999998,both,13,1,11,7,351320,350514,351676,350880
170,5,1000000,0.59274605078999998,either,13,1,11,7,689454,688648,689318,688522
170,5,1000000,0.59274605078999998,direction_0,13,1,11,7,520208,519402,520747,519951
170,5,1000000,0.59274605078999998,direction_1,13,1,11,7,520566,519760,520247,519451
170,6,1000000,0.59274605078999998,cross,13,1,11,7,311115,310931,311307,311323
170,6,1000000,0.59274605078999998,both,13,1,11,7,351121,350937,351651,351667
170,6,1000000,0.59274605078999998,either,13,1,11,7,689069,688885,688677,688693
170,6,1000000,0.59274605078999998,direction_0,13,1,11,7,520520,520336,520310,520326
170,6,1000000,0.59274605078999998,direction_1,13,1,11,7,519670,519486,520018,520034
170,7,1000000,0.59274605078999998,cross,13,1,11,7,310433,311274,310462,312214
170,7,1000000,0.59274605078999998,both,13,1,11,7,350663,351504,350723,352475
170,7,1000000,0.59274605078999998,either,13,1,11,7,688726,689567,687786,689538
170,7,1000000,0.59274605078999998,direction_0,13,1,11,7,519456,520297,518965,520717
170,7,1000000,0.59274605078999998,direction_1,13,1,11,7,519933,520774,519544,521296
