n,a,b,orientation,batch,samples,kind,k,count
265,16,3,first,0,5000000,minus,73,1
265,16,3,first,0,5000000,minus,74,1
265,16,3,first,0,5000000,minus,76,1
265,16,3,first,0,5000000,minus,78,1
265,16,3,first,0,5000000,minus,80,2
265,16,3,first,0,5000000,minus,81,2
265,16,3,first,0,5000000,minus,82,1
265,16,3,first,0,5000000,minus,83,3
265,16,3,first,0,5000000,minus,84,4
265,16,3,first,0,5000000,minus,85,3
265,16,3,first,0,5000000,minus,86,6
265,16,3,first,0,5000000,minus,87,7
265,16,3,first,0,5000000,minus,88,13
265,16,3,first,0,5000000,minus,89,18
265,16,3,first,0,5000000,minus,90,19
265,16,3,first,0,5000000,minus,91,25
265,16,3,first,0,5000000,minus,92,16
265,16,3,first,0,5000000,minus,93,35
265,16,3,first,0,5000000,minus,94,59
265,16,3,first,0,5000000,minus,95,59
265,16,3,first,0,5000000,minus,96,70
265,16,3,first,0,5000000,minus,97,96
265,16,3,first,0,5000000,minus,98,113
265,16,3,first,0,5000000,minus,99,134
265,16,3,first,0,5000000,minus,100,161
265,16,3,first,0,5000000,minus,101,232
265,16,3,first,0,5000000,minus,102,255
265,16,3,first,0,5000000,minus,103,332
265,16,3,first,0,5000000,minus,104,359
265,16,3,first,0,5000000,minus,105,416
265,16,3,first,0,5000000,minus,106,560
265,16,3,first,0,5000000,minus,107,682
265,16,3,first,0,5000000,minus,108,888
265,16,3,first,0,5000000,plus,108,2
265,16,3,first,0,5000000,minus,109,1040
265,16,3,first,0,5000000,minus,110,1296
265,16,3,first,0,5000000,minus,111,1552
265,16,3,first,0,5000000,plus,111,3
265,16,3,first,0,5000000,minus,112,1814
265,16,3,first,0,5000000,plus,112,7
265,16,3,first,0,5000000,minus,113,2070
265,16,3,first,0,5000000,plus,113,5
265,16,3,first,0,5000000,minus,114,2519
265,16,3,first,0,5000000,plus,114,4
265,16,3,first,0,5000000,minus,115,3058
265,16,3,first,0,5000000,plus,115,11
265,16,3,first,0,5000000,minus,116,3614
265,16,3,first,0,5000000,plus,116,13
265,16,3,first,0,5000000,minus,117,4160
265,16,3,first,0,5000000,plus,117,21
265,16,3,first,0,5000000,minus,118,5083
265,16,3,first,0,5000000,plus,118,20
265,16,3,first,0,5000000,minus,119,6169
265,16,3,first,0,5000000,plus,119,36
265,16,3,first,0,5000000,minus,120,7180
265,16,3,first,0,5000000,plus,120,42
265,16,3,first,0,5000000,minus,121,8418
265,16,3,first,0,5000000,plus,121,85
265,16,3,first,0,5000000,minus,122,9800
265,16,3,first,0,5000000,plus,122,96
265,16,3,first,0,5000000,minus,123,11544
265,16,3,first,0,5000000,plus,123,131
265,16,3,first,0,5000000,minus,124,13693
265,16,3,first,0,5000000,plus,124,180
265,16,3,first,0,5000000,minus,125,15660
265,16,3,first,0,5000000,plus,125,225
265,16,3,first,0,5000000,minus,126,18122
265,16,3,first,0,5000000,plus,126,347
265,16,3,first,0,5000000,minus,127,21262
265,16,3,first,0,5000000,plus,127,407
265,16,3,first,0,5000000,minus,128,24308
265,16,3,first,0,5000000,plus,128,589
265,16,3,first,0,5000000,minus,129,27985
265,16,3,first,0,5000000,plus,129,803
265,16,3,first,0,5000000,minus,130,32229
265,16,3,first,0,5000000,plus,130,1039
265,16,3,first,0,5000000,minus,131,36481
265,16,3,first,0,5000000,plus,131,1441
265,16,3,first,0,5000000,minus,132,41684
265,16,3,first,0,5000000,plus,132,1803
265,16,3,first,0,5000000,minus,133,47258
265,16,3,first,0,5000000,plus,133,2467
265,16,3,first,0,5000000,minus,134,53297
265,16,3,first,0,5000000,plus,134,3125
265,16,3,first,0,5000000,minus,135,60161
265,16,3,first,0,5000000,plus,135,4098
265,16,3,first,0,5000000,minus,136,67352
265,16,3,first,0,5000000,plus,136,5283
265,16,3,first,0,5000000,minus,137,75509
265,16,3,first,0,5000000,plus,137,6652
265,16,3,first,0,5000000,minus,138,83801
265,16,3,first,0,5000000,plus,138,8438
265,16,3,first,0,5000000,minus,139,92198
265,16,3,first,0,5000000,plus,139,10740
265,16,3,first,0,5000000,minus,140,100785
265,16,3,first,0,5000000,plus,140,13016
265,16,3,first,0,5000000,minus,141,111102
265,16,3,first,0,5000000,plus,141,16258
265,16,3,first,0,5000000,minus,142,120265
265,16,3,first,0,5000000,plus,142,20028
265,16,3,first,0,5000000,minus,143,129327
265,16,3,first,0,5000000,plus,143,24653
265,16,3,first,0,5000000,minus,144,139115
265,16,3,first,0,5000000,plus,144,29633
265,16,3,first,0,5000000,minus,145,147728
265,16,3,first,0,5000000,plus,145,35552
265,16,3,first,0,5000000,minus,146,156502
265,16,3,first,0,5000000,plus,146,42018
265,16,3,first,0,5000000,minus,147,163179
265,16,3,first,0,5000000,plus,147,49584
265,16,3,first,0,5000000,minus,148,170152
265,16,3,first,0,5000000,plus,148,58070
265,16,3,first,0,5000000,minus,149,176439
