n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
65,8,1,first,0,1000000,36169919,41723712,1325454855,1755522994,1516055921,5553793,48866007
65,7,4,second,0,1000000,36199184,41744206,1327042622,1757546510,1517997146,5545022,48594840
65,8,1,first,1,1000000,36169854,41722929,1325414236,1755449691,1516001891,5553075,48860145
65,7,4,second,1,1000000,36208284,41745981,1327678114,1757716943,1518433378,5537697,48528301
65,8,1,first,2,1000000,36162231,41723310,1324885083,1755465922,1515700636,5561079,48949733
65,7,4,second,2,1000000,36212968,41750102,1328016640,1758068968,1518783938,5537134,48517732
65,8,1,first,3,1000000,36164549,41723784,1325044015,1755541574,1515804670,5559235,48976249
65,7,4,second,3,1000000,36213848,41747024,1328032962,1757772966,1518673420,5533176,48459088
65,8,1,first,4,1000000,36165634,41724020,1325163434,1755544504,1515873904,5558386,48960130
65,7,4,second,4,1000000,36209999,41757799,1327784557,1758703591,1518918558,5547800,48651032
65,8,1,first,5,1000000,36168584,41720176,1325297152,1755228288,1515854407,5551592,48816626
65,7,4,second,5,1000000,36204962,41748741,1327436148,1757928133,1518385311,5543779,48593659
65,8,1,first,6,1000000,36167723,41723572,1325264507,1755546804,1515952492,5555849,48906327
65,7,4,second,6,1000000,36215517,41753220,1328214965,1758332304,1518998010,5537703,48551249
65,8,1,first,7,1000000,36170841,41718921,1325511625,1755136799,1515937122,5548080,48774180
65,7,4,second,7,1000000,36211999,41750433,1327890545,1758056267,1518706917,5538434,48532978
65,8,1,first,8,1000000,36166610,41717680,1325166936,1755021078,1515693471,5551070,48801072
65,7,4,second,8,1000000,36213541,41748534,1328016731,1757900744,1518744364,5534993,48428747
65,8,1,first,9,1000000,36165308,41721339,1325080668,1755360317,1515776338,5556031,48888309
65,7,4,second,9,1000000,36203749,41739995,1327356697,1757184693,1518046947,5536246,48447496
65,8,1,first,10,1000000,36171950,41724990,1325549378,1755657064,1516181601,5553040,48843240
65,7,4,second,10,1000000,36209002,41748373,1327713244,1757900053,1518541176,5539371,48530945
