n,a,b,orientation,batch,samples,kind,k,count
65,8,1,first,0,100,minus,27,1
65,8,1,first,0,100,minus,28,1
65,8,1,first,0,100,minus,29,1
65,8,1,first,0,100,minus,30,2
65,8,1,first,0,100,minus,31,4
65,8,1,first,0,100,minus,32,7
65,8,1,first,0,100,minus,33,2
65,8,1,first,0,100,plus,33,1
65,8,1,first,0,100,minus,34,9
65,8,1,first,0,100,minus,35,13
65,8,1,first,0,100,plus,35,1
65,8,1,first,0,100,minus,36,12
65,8,1,first,0,100,plus,36,6
65,8,1,first,0,100,minus,37,11
65,8,1,first,0,100,plus,37,5
65,8,1,first,0,100,minus,38,8
65,8,1,first,0,100,plus,38,4
65,8,1,first,0,100,minus,39,9
65,8,1,first,0,100,plus,39,8
65,8,1,first,0,100,minus,40,2
65,8,1,first,0,100,plus,40,13
65,8,1,first,0,100,minus,41,8
65,8,1,first,0,100,plus,41,13
65,8,1,first,0,100,minus,42,4
65,8,1,first,0,100,plus,42,11
65,8,1,first,0,100,minus,43,3
65,8,1,first,0,100,plus,43,10
65,8,1,first,0,100,minus,44,2
65,8,1,first,0,100,plus,44,11
65,8,1,first,0,100,plus,45,8
65,8,1,first,0,100,plus,46,3
65,8,1,first,0,100,minus,47,1
65,8,1,first,0,100,plus,47,2
65,8,1,first,0,100,plus,48,4
65,7,4,second,0,100,minus,23,1
65,7,4,second,0,100,minus,25,1
65,7,4,second,0,100,minus,26,1
65,7,4,second,0,100,minus,27,1
65,7,4,second,0,100,minus,29,3
65,7,4,second,0,100,minus,30,2
65,7,4,second,0,100,minus,31,4
65,7,4,second,0,100,minus,32,6
65,7,4,second,0,100,plus,32,1
65,7,4,second,0,100,minus,33,7
65,7,4,second,0,100,plus,33,1
65,7,4,second,0,100,minus,34,9
65,7,4,second,0,100,plus,34,5
65,7,4,second,0,100,minus,35,4
65,7,4,second,0,100,plus,35,4
65,7,4,second,0,100,minus,36,11
65,7,4,second,0,100,plus,36,3
65,7,4,second,0,100,minus,37,8
65,7,4,second,0,100,plus,37,3
65,7,4,second,0,100,minus,38,6
65,7,4,second,0,100,plus,38,3
65,7,4,second,0,100,minus,39,9
65,7,4,second,0,100,plus,39,7
65,7,4,second,0,100,minus,40,10
65,7,4,second,0,100,plus,40,9
65,7,4,second,0,100,minus,41,5
65,7,4,second,0,100,plus,41,15
65,7,4,second,0,100,minus,42,3
65,7,4,second,0,100,plus,42,13
65,7,4,second,0,100,minus,43,7
65,7,4,second,0,100,plus,43,6
65,7,4,second,0,100,minus,44,1
65,7,4,second,0,100,plus,44,10
65,7,4,second,0,100,minus,45,1
65,7,4,second,0,100,plus,45,6
65,7,4,second,0,100,plus,46,7
65,7,4,second,0,100,plus,47,3
65,7,4,second,0,100,plus,48,2
65,7,4,second,0,100,plus,49,1
65,7,4,second,0,100,plus,50,1
65,8,1,first,1,100,minus,26,1
65,8,1,first,1,100,minus,27,2
65,8,1,first,1,100,minus,29,3
65,8,1,first,1,100,minus,30,4
65,8,1,first,1,100,minus,31,4
65,8,1,first,1,100,minus,32,4
65,8,1,first,1,100,plus,32,1
65,8,1,first,1,100,minus,33,7
65,8,1,first,1,100,plus,33,2
65,8,1,first,1,100,minus,34,6
65,8,1,first,1,100,plus,34,1
65,8,1,first,1,100,minus,35,2
65,8,1,first,1,100,plus,35,1
65,8,1,first,1,100,minus,36,9
65,8,1,first,1,100,plus,36,2
65,8,1,first,1,100,minus,37,7
65,8,1,first,1,100,plus,37,7
65,8,1,first,1,100,minus,38,8
65,8,1,first,1,100,plus,38,6
65,8,1,first,1,100,minus,39,8
65,8,1,first,1,100,plus,39,5
65,8,1,first,1,100,minus,40,15
65,8,1,first,1,100,plus,40,10
65,8,1,first,1,100,minus,41,7
65,8,1,first,1,100,plus,41,13
65,8,1,first,1,100,minus,42,2
65,8,1,first,1,100,plus,42,13
65,8,1,first,1,100,minus,43,8
65,8,1,first,1,100,plus,43,3
65,8,1,first,1,100,minus,44,1
65,8,1,first,1,100,plus,44,8
65,8,1,first,1,100,minus,45,2
65,8,1,first,1,100,plus,45,11
