metric_i,N_i,metric_j,N_j,covariance,correlation
P4_S,65,P4_S,65,7.312289610679288e-06,1.0
P4_S,65,P4_S,85,1.0008622037573942e-06,0.10894470129932889
P4_S,65,P4_S,130,1.8078432914397195e-06,0.10688565918923877
P4_S,65,P4_S,145,5.583265238861044e-07,0.04008124548811364
P4_S,65,P4_S,170,5.941514614013473e-06,0.3213413443657725
P4_S,65,P4_D,65,-1.2859893746381541e-05,-0.07234832085111235
P4_S,65,P4_D,85,3.557998362433003e-05,0.15189457288212457
P4_S,65,P4_D,130,1.4316856918796556e-05,0.022444873884397403
P4_S,65,P4_D,145,-3.6199251677963596e-05,-0.0754346245242595
P4_S,65,P4_D,170,-4.562205349973399e-06,-0.006308369671532066
P4_S,65,P4_S_prime,65,-2.0652288102808667e-05,-0.08017635600986665
P4_S,65,P4_S_prime,85,2.4128334077764937e-05,0.07571967782205358
P4_S,65,P4_S_prime,130,-4.3308387394517404e-05,-0.05046003682498804
P4_S,65,P4_S_prime,145,3.0773509014052836e-05,0.04315482763330232
P4_S,65,P4_S_prime,170,-7.3404571328743745e-06,-0.006171706586919824
P4_S,65,P4_D_prime,65,3.716382691608141e-06,0.21439867226101889
P4_S,65,P4_D_prime,85,2.4735742298207486e-06,0.12885091693444875
P4_S,65,P4_D_prime,130,4.1571437649192e-06,0.10520702549460505
P4_S,65,P4_D_prime,145,-1.5051999514697077e-06,-0.049552584570155295
P4_S,65,P4_D_prime,170,2.2936823989346056e-06,0.05093895610353438
P4_S,85,P4_S,85,1.1542050477146211e-05,1.0
P4_S,85,P4_S,130,-4.847129800762907e-07,-0.02281016963292635
P4_S,85,P4_S,145,2.249316602053604e-06,0.12852533496491367
P4_S,85,P4_S,170,1.518228716022765e-06,0.06535696030058206
P4_S,85,P4_D,65,1.693317442735084e-05,0.07582539212441286
P4_S,85,P4_D,85,6.580097589490361e-06,0.02235908644680103
P4_S,85,P4_D,130,0.00014267993084712352,0.17803999860274
P4_S,85,P4_D,145,8.268352963906592e-05,0.1371435399225641
P4_S,85,P4_D,170,8.183331586547236e-05,0.09006533359162629
P4_S,85,P4_S_prime,65,3.9144207923221124e-05,0.12095695792354706
P4_S,85,P4_S_prime,85,-8.634311573984455e-06,-0.02156722869819171
P4_S,85,P4_S_prime,130,0.00019288241611434737,0.1788765438026934
P4_S,85,P4_S_prime,145,6.903508644768316e-05,0.07705617481035665
P4_S,85,P4_S_prime,170,0.0001751664090228732,0.11722444846991198
P4_S,85,P4_D_prime,65,3.6339685220697813e-06,0.16686606746666977
P4_S,85,P4_D_prime,85,8.710559927186903e-06,0.3611551780681794
P4_S,85,P4_D_prime,130,-3.736294562132737e-06,-0.07526204475670448
