lineage,family,channel,value,se,z
65->130,P49_X_even,u=0.0,-2.671546312867849e-05,8.174288546931658e-05,-0.32682309873568804
65->130,P49_X_even,u=0.025,-2.6903725284770173e-05,8.169142418177189e-05,-0.32933353230452433
65->130,P49_X_even,u=0.05,-2.7468625000375945e-05,8.1537105677401e-05,-0.33688496509864724
65->130,P49_slope,center,-0.023931231350616144,0.00042560001894335886,-56.22939446767516
65->130,P49_root_raw,center,2.538771340043766e-06,7.538232104426668e-06,0.3367860401317341
65->130,P49_root_finite_slope,center,2.463929617873897e-06,7.539123143660235e-06,0.32681912351383374
65->130,P48_normalized_positive,P4_S,3.7635478072085284e-06,1.6188712644908507e-05,0.23247974621330977
65->130,P48_artifact_negative,P4_S,-0.00013737835352278254,1.490932412853727e-05,-9.214257624182492
65->130,P48_normalized_positive,P4_D,9.79798886446758e-06,2.9979487075303087e-05,0.32682309873603876
65->130,P48_artifact_negative,P4_D,0.0002800682081939191,2.997523745948172e-05,9.343319083710156
65->130,P48_normalized_positive,P4_S_prime,0.0009690111176618469,0.0002405691234140991,4.0279945485516775
65->130,P48_artifact_negative,P4_S_prime,0.010107066551828279,0.0002338161934252802,43.22654647552526
65->130,P48_normalized_positive,P4_D_prime,0.0004154484625777901,0.00023432623084855732,1.7729490252684952
65->130,P48_artifact_negative,P4_D_prime,-0.0020948313134831064,0.00025974921203691486,-8.06482259197535
85->170,P49_X_even,u=0.0,-0.000158662609085692,7.550059193646064e-05,-2.101475035046326
85->170,P49_X_even,u=0.025,-0.0001587651200832044,7.545545185982105e-05,-2.104090773694572
85->170,P49_X_even,u=0.05,-0.00015907265362857765,7.532009711645865e-05,-2.1119549724241886
85->170,P49_slope,center,-0.022790101512292438,0.0004226750297138335,-53.91873167365049
85->170,P49_root_raw,center,1.32833878637717e-05,6.300327479662044e-06,2.108364669400365
85->170,P49_root_finite_slope,center,1.3241942021205982e-05,6.3013087406961155e-06,2.1014590089332974
85->170,P48_normalized_positive,P4_S,1.0782954963741066e-06,1.4952981659374094e-05,0.07211240680537571
85->170,P48_artifact_negative,P4_S,-0.00010761465618316217,1.3486076188088927e-05,-7.979686209856118
85->170,P48_normalized_positive,P4_D,4.975422528837347e-05,2.3675858365483875e-05,2.1014750350470184
85->170,P48_artifact_negative,P4_D,0.00021380953433765233,2.2991584280427792e-05,9.299469394097539
85->170,P48_normalized_positive,P4_S_prime,0.0011577074075354256,0.00022946250861631795,5.045300927443519
85->170,P48_artifact_negative,P4_S_prime,0.00802840497228597,0.0002151673870927087,37.31236913160445
85->170,P48_normalized_positive,P4_D_prime,0.0002984445685312257,0.00024510804562347663,1.217604129526136
85->170,P48_artifact_negative,P4_D_prime,-0.0014120412283240194,0.00020887879629479482,-6.7600984560020985
