n,a,b,orientation,batch,samples,kind,k,count
130,11,3,first,0,1000000,minus,30,1
130,11,3,first,0,1000000,minus,32,1
130,11,3,first,0,1000000,minus,33,2
130,11,3,first,0,1000000,minus,34,2
130,11,3,first,0,1000000,minus,35,2
130,11,3,first,0,1000000,minus,36,3
130,11,3,first,0,1000000,minus,37,7
130,11,3,first,0,1000000,minus,38,9
130,11,3,first,0,1000000,minus,39,18
130,11,3,first,0,1000000,minus,40,20
130,11,3,first,0,1000000,minus,41,26
130,11,3,first,0,1000000,minus,42,46
130,11,3,first,0,1000000,minus,43,68
130,11,3,first,0,1000000,minus,44,103
130,11,3,first,0,1000000,minus,45,142
130,11,3,first,0,1000000,minus,46,200
130,11,3,first,0,1000000,minus,47,238
130,11,3,first,0,1000000,minus,48,366
130,11,3,first,0,1000000,plus,48,1
130,11,3,first,0,1000000,minus,49,497
130,11,3,first,0,1000000,plus,49,1
130,11,3,first,0,1000000,minus,50,638
130,11,3,first,0,1000000,plus,50,1
130,11,3,first,0,1000000,minus,51,913
130,11,3,first,0,1000000,plus,51,3
130,11,3,first,0,1000000,minus,52,1155
130,11,3,first,0,1000000,plus,52,4
130,11,3,first,0,1000000,minus,53,1655
130,11,3,first,0,1000000,plus,53,5
130,11,3,first,0,1000000,minus,54,2105
130,11,3,first,0,1000000,plus,54,15
130,11,3,first,0,1000000,minus,55,2719
130,11,3,first,0,1000000,plus,55,23
130,11,3,first,0,1000000,minus,56,3506
130,11,3,first,0,1000000,plus,56,21
130,11,3,first,0,1000000,minus,57,4631
130,11,3,first,0,1000000,plus,57,39
130,11,3,first,0,1000000,minus,58,5733
130,11,3,first,0,1000000,plus,58,67
130,11,3,first,0,1000000,minus,59,7265
130,11,3,first,0,1000000,plus,59,111
130,11,3,first,0,1000000,minus,60,9347
130,11,3,first,0,1000000,plus,60,209
130,11,3,first,0,1000000,minus,61,11579
130,11,3,first,0,1000000,plus,61,320
130,11,3,first,0,1000000,minus,62,14101
130,11,3,first,0,1000000,plus,62,479
130,11,3,first,0,1000000,minus,63,17179
130,11,3,first,0,1000000,plus,63,838
130,11,3,first,0,1000000,minus,64,21222
130,11,3,first,0,1000000,plus,64,1257
130,11,3,first,0,1000000,minus,65,25194
