n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
130,11,3,first,0,1000000,73108016,81809503,5391420852,6734938571,6001560968,8701487,123237487
130,9,7,second,0,1000000,73122365,81822897,5392931775,6737557139,6003701157,8700532,123086600
130,11,3,first,1,1000000,73095491,81804260,5389697123,6734127556,6000193492,8708769,123437695
130,9,7,second,1,1000000,73127604,81828041,5393688260,6738443465,6004497019,8700437,123137687
130,11,3,first,2,1000000,73111567,81813074,5391872427,6735540184,6002135523,8701507,123141565
130,9,7,second,2,1000000,73131028,81813261,5394128558,6735953803,6003696624,8682233,122689113
130,11,3,first,3,1000000,73088773,81797115,5388639451,6732957295,5999066726,8708342,123463294
130,9,7,second,3,1000000,73114280,81824724,5391959658,6737918568,6003216242,8710444,123445742
130,11,3,first,4,1000000,73087885,81798642,5388488829,6733310138,5999195912,8710757,123407143
130,9,7,second,4,1000000,73137058,81827344,5395074210,6738154074,6005181776,8690286,122864732
130,11,3,first,5,1000000,73108252,81802172,5391441892,6733647386,6001028598,8693920,123032082
130,9,7,second,5,1000000,73142840,81845868,5395977688,6741317140,6007063969,8703028,123166890
130,11,3,first,6,1000000,73111717,81800025,5391875695,6733406915,6001182360,8688308,122917890
130,9,7,second,6,1000000,73128511,81818360,5393843803,6736673354,6003842548,8689849,122832061
130,11,3,first,7,1000000,73094032,81805589,5389411628,6734293779,6000070124,8711557,123565159
130,9,7,second,7,1000000,73140431,81845246,5395739987,6741112138,6006813634,8704815,123224857
130,11,3,first,8,1000000,73105141,81811119,5390956629,6735190069,6001433542,8705978,123279614
130,9,7,second,8,1000000,73131694,81822567,5394310300,6737479081,6004479222,8690873,122830937
130,11,3,first,9,1000000,73104260,81813300,5390848082,6735511390,6001487509,8709040,123384454
130,9,7,second,9,1000000,73134106,81837151,5394758258,6739879289,6005707423,8703045,123222701
130,11,3,first,10,1000000,73095109,81791813,5389545411,6732144397,5999328178,8696704,123033452
130,9,7,second,10,1000000,73138080,81826754,5395216316,6738187556,6005325084,8688674,122753704
130,11,3,first,11,1000000,73116709,81815549,5392731423,6735936123,6002767887,8698840,123131772
130,9,7,second,11,1000000,73126350,81818731,5393572094,6736829699,6003765786,8692381,122870221
130,11,3,first,12,1000000,73098995,81798809,5390084671,6733197555,6000084769,8699814,123112688
130,9,7,second,12,1000000,73144672,81842088,5396130842,6740631178,6006910691,8697416,122940638
130,11,3,first,13,1000000,73107108,81807105,5391260168,6734560567,6001316456,8699997,123187823
130,9,7,second,13,1000000,73146335,81824180,5396415395,6737715580,6005745671,8677845,122639633
130,11,3,first,14,1000000,73102170,81800121,5390517800,6733454377,6000452865,8697951,123066447
130,9,7,second,14,1000000,73132828,81826265,5394464540,6738081029,6004805612,8693437,122934345
130,11,3,first,15,1000000,73098973,81809512,5390139527,6734984058,6000797387,8710539,123528811
130,9,7,second,15,1000000,73130864,81821891,5394077156,6737316287,6004346418,8691027,122700607
130,11,3,first,16,1000000,73113054,81814873,5392192798,6735731109,6002380207,8701819,123163493
130,9,7,second,16,1000000,73131255,81829157,5394285835,6738600179,6004945467,8697902,122995080
130,11,3,first,17,1000000,73110287,81806226,5391720933,6734387938,6001523007,8695939,123062857
130,9,7,second,17,1000000,73140641,81833517,5395509051,6739283533,6005989839,8692876,122812906
130,11,3,first,18,1000000,73098458,81803880,5390094798,6734051474,6000331663,8705422,123482946
130,9,7,second,18,1000000,73129336,81833250,5393937112,6739256538,6004999907,8703914,123193836
130,11,3,first,19,1000000,73113645,81810974,5392291027,6735272486,6002258384,8697329,123046745
130,9,7,second,19,1000000,73150421,81842311,5397031845,6740649195,6007397604,8691890,122885832
130,11,3,first,20,1000000,73097823,81805359,5389944357,6734288955,6000419178,8707536,123394956
130,9,7,second,20,1000000,73126551,81826723,5393571391,6738257235,6004376656,8700172,123075314
130,11,3,first,21,1000000,73100494,81807066,5390314072,6734567464,6000722870,8706572,123435796
130,9,7,second,21,1000000,73123125,81821575,5393071293,6737225571,6003604678,8698450,123087508
130,11,3,first,22,1000000,73114854,81811584,5392444466,6735349298,6002416364,8696730,122961036
130,9,7,second,22,1000000,73123550,81822477,5393113806,6737505283,6003803990,8698927,123011109
130,11,3,first,23,1000000,73097711,81813467,5389823609,6735546003,6000929742,8715756,123510128
130,9,7,second,23,1000000,73136635,81818565,5395104403,6736719159,6004598027,8681930,122627508
130,11,3,first,24,1000000,73100082,81812472,5390152082,6735377436,6000999426,8712390,123530666
130,9,7,second,24,1000000,73113828,81806554,5391807888,6734850882,6001828417,8692726,123001936
130,11,3,first,25,1000000,73106930,81806334,5391189286,6734405492,6001250134,8699404,123094510
130,9,7,second,25,1000000,73136413,81823081,5394914165,6737548029,6004860621,8686668,122740952
130,11,3,first,26,1000000,73095202,81798262,5389561468,6732982494,5999654674,8703060,123234614
130,9,7,second,26,1000000,73131578,81820669,5394335620,6737173387,6004357396,8689091,122794215
130,11,3,first,27,1000000,73098010,81805693,5389990896,6734272743,6000502169,8707683,123259301
130,9,7,second,27,1000000,73124818,81809848,5393288020,6735314502,6003032600,8685030,122537322
130,11,3,first,28,1000000,73096195,81795641,5389614889,6732648563,5999594145,8699446,123075162
130,9,7,second,28,1000000,73128485,81831261,5393957647,6738896621,6004823384,8702776,123207500
130,11,3,first,29,1000000,73104602,81801718,5390724616,6733688314,6000696379,8697116,123020172
130,9,7,second,29,1000000,73134304,81821369,5394667888,6737201145,6004533480,8687065,122802073
130,11,3,first,30,1000000,73100426,81793659,5390298442,6732367739,5999934302,8693233,122797577
130,9,7,second,30,1000000,73129233,81816476,5394055175,6736520318,6003895023,8687243,122785447
130,11,3,first,31,1000000,73102345,81804812,5390538717,6734204536,6000773202,8702467,123196849
130,9,7,second,31,1000000,73126583,81816083,5393659353,6736386119,6003600756,8689500,122843960
130,11,3,first,32,1000000,73105620,81803758,5390958774,6733901018,6000896865,8698138,123066062
130,9,7,second,32,1000000,73128834,81821713,5393857328,6737355235,6004113906,8692879,122984751
130,11,3,first,33,1000000,73103539,81810235,5390723545,6735124477,6001268740,8706696,123310542
130,9,7,second,33,1000000,73116768,81830821,5392187126,6738808563,6003816080,8714053,123363529
130,11,3,first,34,1000000,73105802,81804261,5391041764,6734075281,6000947920,8698459,123221205
130,9,7,second,34,1000000,73130939,81835769,5394232971,6739670491,6005336023,8704830,123231416
130,11,3,first,35,1000000,73109075,81808984,5391529059,6734821936,6001577379,8699909,123196237
130,9,7,second,35,1000000,73128879,81826058,5393963777,6738119086,6004568524,8697179,122945815
130,11,3,first,36,1000000,73112062,81812667,5391906414,6735385649,6002088471,8700605,123115121
130,9,7,second,36,1000000,73123509,81820094,5393217817,6737018056,6003669072,8696585,122897729
130,11,3,first,37,1000000,73100886,81808090,5390336724,6734633298,6000816910,8707204,123336202
130,9,7,second,37,1000000,73131375,81827192,5394291429,6738278650,6004787893,8695817,122994293
130,11,3,first,38,1000000,73104912,81803013,5390889670,6733952761,6000794595,8698101,123253241
