n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
290,0,10000,0.59274605078999998,cross,13,11,17,1,3057,3124,3068,3107
290,0,10000,0.59274605078999998,both,13,11,17,1,3494,3561,3475,3514
290,0,10000,0.59274605078999998,either,13,11,17,1,6876,6943,6893,6932
290,0,10000,0.59274605078999998,direction_0,13,11,17,1,5181,5248,5181,5220
290,0,10000,0.59274605078999998,direction_1,13,11,17,1,5189,5256,5187,5226
290,1,10000,0.59274605078999998,cross,13,11,17,1,3120,3082,3075,3079
290,1,10000,0.59274605078999998,both,13,11,17,1,3507,3469,3488,3492
290,1,10000,0.59274605078999998,either,13,11,17,1,6918,6880,6921,6925
290,1,10000,0.59274605078999998,direction_0,13,11,17,1,5204,5166,5169,5173
290,1,10000,0.59274605078999998,direction_1,13,11,17,1,5221,5183,5240,5244
290,2,10000,0.59274605078999998,cross,13,11,17,1,3046,3191,3046,3159
290,2,10000,0.59274605078999998,both,13,11,17,1,3429,3574,3487,3600
290,2,10000,0.59274605078999998,either,13,11,17,1,6809,6954,6841,6954
290,2,10000,0.59274605078999998,direction_0,13,11,17,1,5156,5301,5121,5234
290,2,10000,0.59274605078999998,direction_1,13,11,17,1,5082,5227,5207,5320
290,3,10000,0.59274605078999998,cross,13,11,17,1,3058,3020,3151,3055
290,3,10000,0.59274605078999998,both,13,11,17,1,3477,3439,3580,3484
290,3,10000,0.59274605078999998,either,13,11,17,1,6980,6942,6945,6849
290,3,10000,0.59274605078999998,direction_0,13,11,17,1,5224,5186,5233,5137
290,3,10000,0.59274605078999998,direction_1,13,11,17,1,5233,5195,5292,5196
290,4,10000,0.59274605078999998,cross,13,11,17,1,3084,3119,3035,3173
290,4,10000,0.59274605078999998,both,13,11,17,1,3512,3547,3476,3614
290,4,10000,0.59274605078999998,either,13,11,17,1,6881,6916,6827,6965
290,4,10000,0.59274605078999998,direction_0,13,11,17,1,5197,5232,5180,5318
