model,left_out_N,split,kind,true_deltaM,pred_deltaM,signed_residual,se,z,cond
fixed_13_8_cos4,65,train,frozen_train_prediction,0.0002187865930674445,0.0009771259234826841,-0.0007583393304152397,0.0004037915835338863,-1.878046401508514,
fixed_13_8_cos4,85,train,frozen_train_prediction,0.0016437669366669231,0.0007390057936703596,0.0009047611429965635,0.0003703881413845772,2.4427378792809193,
fixed_13_8_cos4,130,train,frozen_train_prediction,9.675944485883976e-05,0.0003167938868618102,-0.0002200344420029704,0.00046018390033165517,-0.47814458924875747,
fixed_13_8_cos4,145,holdout,frozen_train_prediction,0.00022633245872396725,0.0003731646405352606,-0.00014683218181129338,0.0005291200283756784,-0.27750259664531474,
fixed_13_8_cos4,170,holdout,frozen_train_prediction,0.0009140497274162477,0.00023959298608699627,0.0006744567413292514,0.0004568335456656452,1.4763730635115921,
fixed_13_8_cos4,65,train,loso_refit_other_train,0.0002187865930674445,0.0019739562551642654,-0.001755169662096821,0.0004037915835338863,-4.346721758626073,1.0
fixed_13_8_cos4,85,train,loso_refit_other_train,0.0016437669366669231,0.00016998024846017555,0.0014737866882067476,0.0003703881413845772,3.9790331372313084,1.0
fixed_13_8_cos4,130,train,loso_refit_other_train,9.675944485883976e-05,0.0003273945171657903,-0.00023063507230695052,0.00046018390033165517,-0.501180228471121,1.0
fixed_13_8_cos4_power,65,train,frozen_train_prediction,0.0002187865930674445,0.0003750447729325458,-0.00015625817986510132,0.0004037915835338863,-0.38697730769316074,
fixed_13_8_cos4_power,85,train,frozen_train_prediction,0.0016437669366669231,0.001254315591613625,0.0003894513450532981,0.0003703881413845772,1.051468180372782,
fixed_13_8_cos4_power,130,train,frozen_train_prediction,9.675944485883976e-05,0.0008731765469646578,-0.0007764171021058181,0.00046018390033165517,-1.687188755508946,
fixed_13_8_cos4_power,145,holdout,frozen_train_prediction,0.00022633245872396725,0.001086449348371371,-0.0008601168896474038,0.0005291200283756784,-1.6255610136094027,
fixed_13_8_cos4_power,170,holdout,frozen_train_prediction,0.0009140497274162477,0.0007390632705443869,0.00017498645687186079,0.0004568335456656452,0.38304204787958535,
fixed_13_8_cos4_power,65,train,loso_refit_other_train,0.0002187865930674445,0.004498959855004289,-0.004280173261936845,0.0004037915835338863,-10.599956602556704,1675454589.0076277
fixed_13_8_cos4_power,85,train,loso_refit_other_train,0.0016437669366669231,0.00019882457024658217,0.001444942366420341,0.0003703881413845772,3.901157205030614,458164131.32499856
fixed_13_8_cos4_power,130,train,loso_refit_other_train,9.675944485883976e-05,0.0012155720078311488,-0.001118812562972309,0.00046018390033165517,-2.431229258924485,429752102.94446605
fixed_13_8_cos4_log_amplitude,65,train,frozen_train_prediction,0.0002187865930674445,0.0005377118327319873,-0.0003189252396645428,0.0004037915835338863,-0.7898263675369016,
fixed_13_8_cos4_log_amplitude,85,train,frozen_train_prediction,0.0016437669366669231,0.0010649421599807397,0.0005788247766861834,0.0003703881413845772,1.5627519134992625,
fixed_13_8_cos4_log_amplitude,130,train,frozen_train_prediction,9.675944485883976e-05,0.0009034440540371808,-0.000806684609178341,0.00046018390033165517,-1.7529613891250049,
fixed_13_8_cos4_log_amplitude,145,holdout,frozen_train_prediction,0.00022633245872396725,0.0011995087933143068,-0.0009731763345903396,0.0005291200283756784,-1.8392354898714558,
fixed_13_8_cos4_log_amplitude,170,holdout,frozen_train_prediction,0.0009140497274162477,0.0008966966811732348,1.73530462430129e-05,0.0004568335456656452,0.037985490355634983,
fixed_13_8_cos4_log_amplitude,65,train,loso_refit_other_train,0.0002187865930674445,0.0033572400219418833,-0.003138453428874439,0.0004037915835338863,-7.772458755597265,26083.19656227012
fixed_13_8_cos4_log_amplitude,85,train,loso_refit_other_train,0.0016437669366669231,0.00018878671935377474,0.0014549802173131484,0.0003703881413845772,3.9282581020930416,10726.064744438296
fixed_13_8_cos4_log_amplitude,130,train,loso_refit_other_train,9.675944485883976e-05,0.0017083292604936004,-0.0016115698156347607,0.00046018390033165517,-3.5020125964278632,21618.383835390414
fixed_13_8_cos4_plus_cos8,65,train,frozen_train_prediction,0.0002187865930674445,0.0002360474497226328,-1.726085665518831e-05,0.0004037915835338863,-0.04274694510501052,
fixed_13_8_cos4_plus_cos8,85,train,frozen_train_prediction,0.0016437669366669231,0.0014598617154583395,0.00018390522120858362,0.0003703881413845772,0.4965202733573299,
