a1,b1,a2,b2,N,channel,sector,cos4_first,cos4_second,delta_cos4_first_minus_second,first_estimate,first_batch_se,second_estimate,second_batch_se,difference_first_minus_second,difference_batch_se,difference_z,normalized_by_delta_cos4,normalized_batch_se,hypothesis_N_exponent,hypothesis_scaled_amplitude,hypothesis_scaled_batch_se
8,1,7,4,65,either,primal,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.687458,0.00039078277787944917,0.6859759999999999,0.0002897763947845979,0.0014820000000000221,0.0004000703784239824,3.704348234523486,0.001087057291666683,0.00029345440084050793,1.0,0.07065872395833439,0.019074536054633016
8,1,7,4,65,either,matching,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.6861200000000001,0.000368790121676481,0.686311,0.00031076411204212893,-0.00019100000000000228,0.00036352755335913823,-0.5254072166884926,-0.00014009982638889056,0.0002666499848858262,1.0,-0.009106488715277887,0.017332249017578703
8,1,7,4,65,either,even,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.686789,0.00016285702397013878,0.6861435,0.0001343080796393528,0.0006454999999999988,0.00021751950988242123,2.967549900921162,0.00047347873263888803,0.00015955207105090792,1.0,0.03077611762152772,0.010370884618309015
8,1,7,4,65,either,odd,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.0006690000000000085,0.0003432728599966158,-0.00016750000000000375,0.0002687632525056868,0.0008365000000000123,0.0003143080617679208,2.661401668461397,0.0006135785590277868,0.0002305471460016433,1.625,0.541819186277136,0.20358414616549453
8,1,7,4,65,either,matching_function,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.001338000000000017,0.0006865457199932316,-0.0003350000000000075,0.0005375265050113736,0.0016730000000000245,0.0006286161235358416,2.661401668461397,0.0012271571180555736,0.0004610942920032866,1.625,1.083638372554272,0.40716829233098906
8,1,7,4,65,cross,primal,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.31388,0.0003687901216764809,0.313689,0.0003107641120421299,0.00019100000000000228,0.0003635275533591398,0.5254072166884903,0.00014009982638889056,0.0002666499848858274,1.0,0.009106488715277887,0.01733224901757878
8,1,7,4,65,cross,matching,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.312542,0.0003907827778794505,0.31402399999999997,0.00028977639478459716,-0.001481999999999996,0.0004000703784239816,-3.7043482345234278,-0.0010870572916666637,0.00029345440084050734,1.0,-0.07065872395833314,0.01907453605463298
8,1,7,4,65,cross,even,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.313211,0.0001628570239701386,0.3138565,0.00013430807963935073,-0.0006454999999999988,0.00021751950988241754,-2.9675499009212123,-0.00047347873263888803,0.00015955207105090524,1.0,-0.03077611762152772,0.01037088461830884
8,1,7,4,65,cross,odd,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.000668999999999998,0.00034327285999661623,-0.00016750000000000098,0.00026876325250568735,0.000836499999999999,0.00031430806176792195,2.661401668461345,0.000613578559027777,0.00023054714600164415,1.625,0.5418191862771274,0.20358414616549528
8,1,7,4,65,cross,matching_function,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.001337999999999996,0.0006865457199932325,-0.00033500000000000196,0.0005375265050113747,0.001672999999999998,0.0006286161235358439,2.661401668461345,0.001227157118055554,0.0004610942920032883,1.625,1.0836383725542549,0.40716829233099056
9,2,7,6,85,either,primal,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.68739,0.0003012316597247253,0.686804,0.00036917940882101705,0.0005859999999999948,0.00030412733500531636,1.9268244993162194,0.00036752170138888566,0.0001907395829351919,1.0,0.03123934461805528,0.01621286454949131
9,2,7,6,85,either,matching,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.687862,0.00038248298101906613,0.6877625,0.00030435403431715595,9.949999999999126e-05,0.0003883723348963222,0.25619744523397436,6.240342881943896e-05,0.00024357553121752846,1.0,0.005304291449652312,0.02070392015348992
9,2,7,6,85,either,even,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.6876260000000001,0.00015331164841088195,0.68728325,0.00017285995053799996,0.00034274999999998055,0.00020658145084526274,1.6591518676897723,0.00021496256510415446,0.00012956171721849162,1.0,0.01827181803385313,0.011012745963571787
9,2,7,6,85,either,odd,0.6412456747404844,-0.9532179930795848,1.5944636678200692,-0.0002360000000000001,0.0003082408315853213,-0.0004792500000000019,0.00029082957991112643,0.0002432500000000018,0.0002810468953249534,0.8655139197277028,0.00015255913628472333,0.00017626422037524204,1.625,0.20832624002559372,0.24069657954332468
9,2,7,6,85,either,matching_function,0.6412456747404844,-0.9532179930795848,1.5944636678200692,-0.0004720000000000002,0.0006164816631706426,-0.0009585000000000038,0.0005816591598222529,0.0004865000000000036,0.0005620937906499068,0.8655139197277028,0.00030511827256944667,0.0003525284407504841,1.625,0.41665248005118743,0.48139315908664937
9,2,7,6,85,cross,primal,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.31213799999999997,0.0003824829810190655,0.3122375,0.00030435403431715476,-9.94999999999982e-05,0.0003883723348963211,-0.25619744523399296,-6.240342881944331e-05,0.00024357553121752778,1.0,-0.0053042914496526814,0.02070392015348986
9,2,7,6,85,cross,matching,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.31261,0.00030123165972472564,0.313196,0.00036917940882101754,-0.0005860000000000032,0.00030412733500531685,-1.9268244993162438,-0.00036752170138889086,0.00019073958293519221,1.0,-0.031239344618055723,0.01621286454949134
9,2,7,6,85,cross,even,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.31237400000000004,0.0001533116484108808,0.31271675,0.00017285995053800115,-0.00034275000000000137,0.00020658145084526087,-1.659151867689888,-0.00021496256510416753,0.00012956171721849042,1.0,-0.01827181803385424,0.011012745963571687
9,2,7,6,85,cross,odd,0.6412456747404844,-0.9532179930795848,1.5944636678200692,-0.00023599999999999872,0.00030824083158532126,-0.0004792500000000012,0.0002908295799111258,0.0002432500000000025,0.00028104689532495276,0.8655139197277072,0.0001525591362847238,0.00017626422037524163,1.625,0.20832624002559436,0.24069657954332413
9,2,7,6,85,cross,matching_function,0.6412456747404844,-0.9532179930795848,1.5944636678200692,-0.00047199999999999743,0.0006164816631706425,-0.0009585000000000024,0.0005816591598222516,0.000486500000000005,0.0005620937906499055,0.8655139197277072,0.0003051182725694476,0.00035252844075048327,1.625,0.4166524800511887,0.48139315908664826
12,1,9,8,145,either,primal,0.9452080856123662,-0.9725089179548156,1.9177170035671818,0.6883545,0.00028764292991173204,0.688347,0.00028852991668198503,7.499999999993623e-06,0.00036903317028314804,0.020323376335626142,3.9109002976157225e-06,0.0001924335913988886,1.0,0.0005670805431542798,0.027902870752838847
12,1,9,8,145,either,matching,0.9452080856123662,-0.9725089179548156,1.9177170035671818,0.689012,0.0003588027098774261,0.6886265,0.0003222878053652953,0.0003854999999999942,0.00040845172799556747,0.943807979199387,0.00020102027529761603,0.00021298853127745055,1.0,0.029147939918154325,0.03088333703523033
12,1,9,8,145,either,even,0.9452080856123662,-0.9725089179548156,1.9177170035671818,0.68868325,0.0001926759560465713,0.68848675,0.0001624742139304204,0.000196500000000005,0.00023785460706608869,0.8261349335369688,0.00010246558779762165,0.00012403008714197706,1.0,0.01485751023065514,0.017984362635586674
12,1,9,8,145,either,odd,0.9452080856123662,-0.9725089179548156,1.9177170035671818,-0.00032875000000000406,0.00026194445180864926,-0.00013975000000000375,0.0002591555535996445,-0.00018900000000000028,0.00030811415633387186,-0.6134090112860646,-9.855468750000016e-05,0.0001606671660942375,1.625,-0.32055332706135475,0.5225768144313485
12,1,9,8,145,either,matching_function,0.9452080856123662,-0.9725089179548156,1.9177170035671818,-0.0006575000000000081,0.0005238889036172985,-0.0002795000000000075,0.000518311107199289,-0.00037800000000000057,0.0006162283126677437,-0.6134090112860646,-0.00019710937500000032,0.000321334332188475,1.625,-0.6411066541227095,1.045153628862697
12,1,9,8,145,cross,primal,0.9452080856123662,-0.9725089179548156,1.9177170035671818,0.310988,0.00035880270987742645,0.3113735,0.0003222878053652964,-0.00038549999999999837,0.00040845172799556514,-0.9438079791994025,-0.00020102027529761822,0.00021298853127744934,1.0,-0.029147939918154644,0.030883337035230152
12,1,9,8,145,cross,matching,0.9452080856123662,-0.9725089179548156,1.9177170035671818,0.31164549999999996,0.00028764292991173177,0.311653,0.00028852991668198465,-7.500000000006113e-06,0.0003690331702831487,-0.020323376335659952,-3.910900297622235e-06,0.00019243359139888895,1.0,-0.0005670805431552241,0.0279028707528389
12,1,9,8,145,cross,even,0.9452080856123662,-0.9725089179548156,1.9177170035671818,0.31131675,0.000192675956046575,0.31151325,0.00016247421393041935,-0.00019650000000000085,0.0002378546070660899,-0.8261349335369471,-0.0001024655877976195,0.0001240300871419777,1.0,-0.014857510230654828,0.017984362635586768
12,1,9,8,145,cross,odd,0.9452080856123662,-0.9725089179548156,1.9177170035671818,-0.0003287499999999964,0.00026194445180864856,-0.00013975000000000028,0.00025915555359964525,-0.0001889999999999961,0.00030811415633387137,-0.6134090112860521,-9.855468749999798e-05,0.00016066716609423727,1.625,-0.32055332706134765,0.5225768144313476
12,1,9,8,145,cross,matching_function,0.9452080856123662,-0.9725089179548156,1.9177170035671818,-0.0006574999999999928,0.0005238889036172971,-0.00027950000000000056,0.0005183111071992905,-0.0003779999999999922,0.0006162283126677427,-0.6134090112860521,-0.00019710937499999595,0.00032133433218847453,1.625,-0.6411066541226953,1.0451536288626952
