n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
65,0,500000,0.59274605000000002,either,8,1,7,4,343981,342767,343415,342916
65,0,500000,0.59274605000000002,cross,8,1,7,4,157233,156019,157084,156585
65,1,500000,0.59274605000000002,either,8,1,7,4,343275,343419,342534,343568
65,1,500000,0.59274605000000002,cross,8,1,7,4,156581,156725,156432,157466
65,2,500000,0.59274605000000002,either,8,1,7,4,343260,343232,342970,343097
65,2,500000,0.59274605000000002,cross,8,1,7,4,156768,156740,156903,157030
65,3,500000,0.59274605000000002,either,8,1,7,4,344325,342950,343667,343180
65,3,500000,0.59274605000000002,cross,8,1,7,4,157050,155675,156820,156333
65,4,500000,0.59274605000000002,either,8,1,7,4,343674,343700,343025,343312
65,4,500000,0.59274605000000002,cross,8,1,7,4,156300,156326,156688,156975
65,5,500000,0.59274605000000002,either,8,1,7,4,343507,343179,343078,343496
65,5,500000,0.59274605000000002,cross,8,1,7,4,156821,156493,156504,156922
65,6,500000,0.59274605000000002,either,8,1,7,4,343300,343276,343064,343502
65,6,500000,0.59274605000000002,cross,8,1,7,4,156724,156700,156498,156936
65,7,500000,0.59274605000000002,either,8,1,7,4,343939,342363,343725,342957
65,7,500000,0.59274605000000002,cross,8,1,7,4,157637,156061,157043,156275
65,8,500000,0.59274605000000002,either,8,1,7,4,343638,342762,343375,342687
65,8,500000,0.59274605000000002,cross,8,1,7,4,157238,156362,157313,156625
65,9,500000,0.59274605000000002,either,8,1,7,4,342654,343842,343219,343319
65,9,500000,0.59274605000000002,cross,8,1,7,4,156158,157346,156681,156781
65,10,500000,0.59274605000000002,either,8,1,7,4,343738,342828,343394,342923
65,10,500000,0.59274605000000002,cross,8,1,7,4,157172,156262,157077,156606
65,11,500000,0.59274605000000002,either,8,1,7,4,343264,343329,343243,343261
65,11,500000,0.59274605000000002,cross,8,1,7,4,156671,156736,156739,156757
65,12,500000,0.59274605000000002,either,8,1,7,4,343521,343761,343386,343687
65,12,500000,0.59274605000000002,cross,8,1,7,4,156239,156479,156313,156614
65,13,500000,0.59274605000000002,either,8,1,7,4,343628,343061,342898,343338
65,13,500000,0.59274605000000002,cross,8,1,7,4,156939,156372,156662,157102
65,14,500000,0.59274605000000002,either,8,1,7,4,343165,343829,342675,343342
65,14,500000,0.59274605000000002,cross,8,1,7,4,156171,156835,156658,157325
65,15,500000,0.59274605000000002,either,8,1,7,4,344200,342583,343490,343332
65,15,500000,0.59274605000000002,cross,8,1,7,4,157417,155800,156668,156510
65,16,500000,0.59274605000000002,either,8,1,7,4,343389,342798,343155,343471
65,16,500000,0.59274605000000002,cross,8,1,7,4,157202,156611,156529,156845
65,17,500000,0.59274605000000002,either,8,1,7,4,343378,343144,342693,343721
65,17,500000,0.59274605000000002,cross,8,1,7,4,156856,156622,156279,157307
65,18,500000,0.59274605000000002,either,8,1,7,4,344030,342754,343206,343339
65,18,500000,0.59274605000000002,cross,8,1,7,4,157246,155970,156661,156794
65,19,500000,0.59274605000000002,either,8,1,7,4,343544,343336,342822,343655
65,19,500000,0.59274605000000002,cross,8,1,7,4,156664,156456,156345,157178
65,20,500000,0.59274605000000002,either,8,1,7,4,343438,342714,343088,343089
65,20,500000,0.59274605000000002,cross,8,1,7,4,157286,156562,156911,156912
65,21,500000,0.59274605000000002,either,8,1,7,4,343664,342552,344185,342473
65,21,500000,0.59274605000000002,cross,8,1,7,4,157448,156336,157527,155815
65,22,500000,0.59274605000000002,either,8,1,7,4,343230,342664,343152,343525
65,22,500000,0.59274605000000002,cross,8,1,7,4,157336,156770,156475,156848
65,23,500000,0.59274605000000002,either,8,1,7,4,343023,343417,343612,343158
65,23,500000,0.59274605000000002,cross,8,1,7,4,156583,156977,156842,156388
65,24,500000,0.59274605000000002,either,8,1,7,4,343278,343028,343534,343006
65,24,500000,0.59274605000000002,cross,8,1,7,4,156972,156722,156994,156466
65,25,500000,0.59274605000000002,either,8,1,7,4,343741,343092,343464,342845
65,25,500000,0.59274605000000002,cross,8,1,7,4,156908,156259,157155,156536
65,26,500000,0.59274605000000002,either,8,1,7,4,343303,343318,342917,342924
65,26,500000,0.59274605000000002,cross,8,1,7,4,156682,156697,157076,157083
65,27,500000,0.59274605000000002,either,8,1,7,4,343468,343204,343248,343238
65,27,500000,0.59274605000000002,cross,8,1,7,4,156796,156532,156762,156752
65,28,500000,0.59274605000000002,either,8,1,7,4,342967,343745,342635,343870
65,28,500000,0.59274605000000002,cross,8,1,7,4,156255,157033,156130,157365
65,29,500000,0.59274605000000002,either,8,1,7,4,343809,343160,343166,342807
65,29,500000,0.59274605000000002,cross,8,1,7,4,156840,156191,157193,156834
65,30,500000,0.59274605000000002,either,8,1,7,4,344115,343162,343416,343316
65,30,500000,0.59274605000000002,cross,8,1,7,4,156838,155885,156684,156584
65,31,500000,0.59274605000000002,either,8,1,7,4,343482,342627,343145,342756
65,31,500000,0.59274605000000002,cross,8,1,7,4,157373,156518,157244,156855
65,32,500000,0.59274605000000002,either,8,1,7,4,343668,343159,343259,343313
65,32,500000,0.59274605000000002,cross,8,1,7,4,156841,156332,156687,156741
65,33,500000,0.59274605000000002,either,8,1,7,4,343111,343525,343254,343308
65,33,500000,0.59274605000000002,cross,8,1,7,4,156475,156889,156692,156746
65,34,500000,0.59274605000000002,either,8,1,7,4,343322,343199,343025,343179
65,34,500000,0.59274605000000002,cross,8,1,7,4,156801,156678,156821,156975
65,35,500000,0.59274605000000002,either,8,1,7,4,343422,342749,343775,342827
65,35,500000,0.59274605000000002,cross,8,1,7,4,157251,156578,157173,156225
65,36,500000,0.59274605000000002,either,8,1,7,4,343792,342865,343164,343327
65,36,500000,0.59274605000000002,cross,8,1,7,4,157135,156208,156673,156836
65,37,500000,0.59274605000000002,either,8,1,7,4,343567,342373,343160,342876
65,37,500000,0.59274605000000002,cross,8,1,7,4,157627,156433,157124,156840
65,38,500000,0.59274605000000002,either,8,1,7,4,343467,342509,342916,343593
65,38,500000,0.59274605000000002,cross,8,1,7,4,157491,156533,156407,157084
65,39,500000,0.59274605000000002,either,8,1,7,4,343860,342980,343337,343744
65,39,500000,0.59274605000000002,cross,8,1,7,4,157020,156140,156256,156663
65,40,500000,0.59274605000000002,either,8,1,7,4,343967,342952,343561,342961
65,40,500000,0.59274605000000002,cross,8,1,7,4,157048,156033,157039,156439
65,41,500000,0.59274605000000002,either,8,1,7,4,343697,343719,342748,343937
65,41,500000,0.59274605000000002,cross,8,1,7,4,156281,156303,156063,157252
65,42,500000,0.59274605000000002,either,8,1,7,4,343238,343386,343338,343053
65,42,500000,0.59274605000000002,cross,8,1,7,4,156614,156762,156947,156662
65,43,500000,0.59274605000000002,either,8,1,7,4,343238,343645,343149,343561
65,43,500000,0.59274605000000002,cross,8,1,7,4,156355,156762,156439,156851
65,44,500000,0.59274605000000002,either,8,1,7,4,343925,343378,343256,342946
65,44,500000,0.59274605000000002,cross,8,1,7,4,156622,156075,157054,156744
65,45,500000,0.59274605000000002,either,8,1,7,4,343599,342908,342679,343552
65,45,500000,0.59274605000000002,cross,8,1,7,4,157092,156401,156448,157321
65,46,500000,0.59274605000000002,either,8,1,7,4,344015,342817,343179,343157
65,46,500000,0.59274605000000002,cross,8,1,7,4,157183,155985,156843,156821
65,47,500000,0.59274605000000002,either,8,1,7,4,343452,342827,342765,344147
65,47,500000,0.59274605000000002,cross,8,1,7,4,157173,156548,155853,157235
65,48,500000,0.59274605000000002,either,8,1,7,4,343743,343102,343546,343274
65,48,500000,0.59274605000000002,cross,8,1,7,4,156898,156257,156726,156454
65,49,500000,0.59274605000000002,either,8,1,7,4,343205,343514,342922,343189
65,49,500000,0.59274605000000002,cross,8,1,7,4,156486,156795,156811,157078
65,50,500000,0.59274605000000002,either,8,1,7,4,343827,343036,343500,343172
65,50,500000,0.59274605000000002,cross,8,1,7,4,156964,156173,156828,156500
65,51,500000,0.59274605000000002,either,8,1,7,4,343016,343607,343392,343317
65,51,500000,0.59274605000000002,cross,8,1,7,4,156393,156984,156683,156608
65,52,500000,0.59274605000000002,either,8,1,7,4,343750,343049,342916,343061
65,52,500000,0.59274605000000002,cross,8,1,7,4,156951,156250,156939,157084
65,53,500000,0.59274605000000002,either,8,1,7,4,344217,342671,343587,342767
65,53,500000,0.59274605000000002,cross,8,1,7,4,157329,155783,157233,156413
65,54,500000,0.59274605000000002,either,8,1,7,4,343172,343199,342926,343471
65,54,500000,0.59274605000000002,cross,8,1,7,4,156801,156828,156529,157074
65,55,500000,0.59274605000000002,either,8,1,7,4,343790,343422,343015,343004
65,55,500000,0.59274605000000002,cross,8,1,7,4,156578,156210,156996,156985
65,56,500000,0.59274605000000002,either,8,1,7,4,343581,343400,342964,343392
65,56,500000,0.59274605000000002,cross,8,1,7,4,156600,156419,156608,157036
65,57,500000,0.59274605000000002,either,8,1,7,4,343992,343109,342989,343421
65,57,500000,0.59274605000000002,cross,8,1,7,4,156891,156008,156579,157011
65,58,500000,0.59274605000000002,either,8,1,7,4,343902,342549,343287,343043
65,58,500000,0.59274605000000002,cross,8,1,7,4,157451,156098,156957,156713
65,59,500000,0.59274605000000002,either,8,1,7,4,342746,343733,342914,343299
65,59,500000,0.59274605000000002,cross,8,1,7,4,156267,157254,156701,157086
85,0,500000,0.59274605000000002,either,9,2,7,6,344411,343471,343585,343771
85,0,500000,0.59274605000000002,cross,9,2,7,6,156529,155589,156229,156415
85,1,500000,0.59274605000000002,either,9,2,7,6,343574,343668,344113,343681
85,1,500000,0.59274605000000002,cross,9,2,7,6,156332,156426,156319,155887
85,2,500000,0.59274605000000002,either,9,2,7,6,344427,343345,343732,343064
85,2,500000,0.59274605000000002,cross,9,2,7,6,156655,155573,156936,156268
85,3,500000,0.59274605000000002,either,9,2,7,6,343417,344063,343342,343705
85,3,500000,0.59274605000000002,cross,9,2,7,6,155937,156583,156295,156658
85,4,500000,0.59274605000000002,either,9,2,7,6,343426,343763,343925,343581
85,4,500000,0.59274605000000002,cross,9,2,7,6,156237,156574,156419,156075
85,5,500000,0.59274605000000002,either,9,2,7,6,343916,343190,343295,343367
85,5,500000,0.59274605000000002,cross,9,2,7,6,156810,156084,156633,156705
85,6,500000,0.59274605000000002,either,9,2,7,6,344171,343340,344001,343790
85,6,500000,0.59274605000000002,cross,9,2,7,6,156660,155829,156210,155999
85,7,500000,0.59274605000000002,either,9,2,7,6,343503,343810,343716,343815
85,7,500000,0.59274605000000002,cross,9,2,7,6,156190,156497,156185,156284
85,8,500000,0.59274605000000002,either,9,2,7,6,344096,343151,343745,343728
85,8,500000,0.59274605000000002,cross,9,2,7,6,156849,155904,156272,156255
85,9,500000,0.59274605000000002,either,9,2,7,6,343427,344304,343624,343737
85,9,500000,0.59274605000000002,cross,9,2,7,6,155696,156573,156263,156376
85,10,500000,0.59274605000000002,either,9,2,7,6,343839,343771,342954,343887
85,10,500000,0.59274605000000002,cross,9,2,7,6,156229,156161,156113,157046
85,11,500000,0.59274605000000002,either,9,2,7,6,343294,343914,343286,343844
85,11,500000,0.59274605000000002,cross,9,2,7,6,156086,156706,156156,156714
85,12,500000,0.59274605000000002,either,9,2,7,6,344286,343180,343578,343336
85,12,500000,0.59274605000000002,cross,9,2,7,6,156820,155714,156664,156422
85,13,500000,0.59274605000000002,either,9,2,7,6,343752,343756,343466,343617
85,13,500000,0.59274605000000002,cross,9,2,7,6,156244,156248,156383,156534
85,14,500000,0.59274605000000002,either,9,2,7,6,343808,343812,342862,343903
85,14,500000,0.59274605000000002,cross,9,2,7,6,156188,156192,156097,157138
85,15,500000,0.59274605000000002,either,9,2,7,6,344280,343472,343523,343960
85,15,500000,0.59274605000000002,cross,9,2,7,6,156528,155720,156040,156477
85,16,500000,0.59274605000000002,either,9,2,7,6,344340,343420,343836,343911
85,16,500000,0.59274605000000002,cross,9,2,7,6,156580,155660,156089,156164
85,17,500000,0.59274605000000002,either,9,2,7,6,344086,343304,343575,343856
85,17,500000,0.59274605000000002,cross,9,2,7,6,156696,155914,156144,156425
85,18,500000,0.59274605000000002,either,9,2,7,6,343782,343455,343823,343778
85,18,500000,0.59274605000000002,cross,9,2,7,6,156545,156218,156222,156177
85,19,500000,0.59274605000000002,either,9,2,7,6,344111,343763,344300,343561
85,19,500000,0.59274605000000002,cross,9,2,7,6,156237,155889,156439,155700
85,20,500000,0.59274605000000002,either,9,2,7,6,343262,344005,343184,343893
85,20,500000,0.59274605000000002,cross,9,2,7,6,155995,156738,156107,156816
85,21,500000,0.59274605000000002,either,9,2,7,6,343979,343651,343454,344098
