batch,first_replica,samples,p,axis_sum,diamond_sum,paired_difference_sum,axis_mean,diamond_mean,paired_difference_mean
0,0,10000,0.59174605000000002,-302,-303,-1,-0.030200000000000001,-0.030300000000000001,-0.0001
0,0,10000,0.59274605000000002,-52,-28,24,-0.0051999999999999998,-0.0028,0.0023999999999999998
0,0,10000,0.59374605000000003,245,258,13,0.024500000000000001,0.0258,0.0012999999999999999
1,10000,10000,0.59174605000000002,-235,-381,-146,-0.0235,-0.038100000000000002,-0.0146
1,10000,10000,0.59274605000000002,44,-94,-138,0.0044000000000000003,-0.0094000000000000004,-0.0138
1,10000,10000,0.59374605000000003,326,155,-171,0.032599999999999997,0.0155,-0.017100000000000001
2,20000,10000,0.59174605000000002,-263,-144,119,-0.0263,-0.0144,0.011900000000000001
2,20000,10000,0.59274605000000002,19,134,115,0.0019,0.0134,0.0115
2,20000,10000,0.59374605000000003,277,430,153,0.027699999999999999,0.042999999999999997,0.015299999999999999
3,30000,10000,0.59174605000000002,-346,-326,20,-0.034599999999999999,-0.032599999999999997,0.002
3,30000,10000,0.59274605000000002,-48,-52,-4,-0.0047999999999999996,-0.0051999999999999998,-0.00040000000000000002
3,30000,10000,0.59374605000000003,238,228,-10,0.023800000000000002,0.022800000000000001,-0.001
4,40000,10000,0.59174605000000002,-313,-173,140,-0.031300000000000001,-0.017299999999999999,0.014
4,40000,10000,0.59274605000000002,-29,125,154,-0.0028999999999999998,0.012500000000000001,0.0154
4,40000,10000,0.59374605000000003,259,387,128,0.025899999999999999,0.038699999999999998,0.012800000000000001
5,50000,10000,0.59174605000000002,-287,-245,42,-0.0287,-0.024500000000000001,0.0041999999999999997
5,50000,10000,0.59274605000000002,19,49,30,0.0019,0.0048999999999999998,0.0030000000000000001
5,50000,10000,0.59374605000000003,290,331,41,0.029000000000000001,0.033099999999999997,0.0041000000000000003
6,60000,10000,0.59174605000000002,-294,-340,-46,-0.029399999999999999,-0.034000000000000002,-0.0045999999999999999
6,60000,10000,0.59274605000000002,-31,-49,-18,-0.0030999999999999999,-0.0048999999999999998,-0.0018
6,60000,10000,0.59374605000000003,216,235,19,0.021600000000000001,0.0235,0.0019
7,70000,10000,0.59174605000000002,-290,-238,52,-0.029000000000000001,-0.023800000000000002,0.0051999999999999998
7,70000,10000,0.59274605000000002,10,44,34,0.001,0.0044000000000000003,0.0033999999999999998
