n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
520,22,6,first,0,1000000,298020842,319068073,89134778826,102105255789,95248049181,21047231,743936253
520,18,14,second,0,1000000,298040681,319097934,89145036905,102124942804,95262400225,21057253,745179259
520,22,6,first,1,1000000,298043340,319074642,89148279376,102109742276,95257140811,21031302,743740030
520,18,14,second,1,1000000,298046546,319101551,89148998928,102127427889,95265743271,21055005,744940275
520,22,6,first,2,1000000,298033160,319080063,89141368288,102112431507,95254734762,21046903,744330271
520,18,14,second,2,1000000,298028764,319087588,89139286028,102117933548,95256154681,21058824,744910214
520,22,6,first,3,1000000,298042094,319070175,89147210416,102106012699,95254842237,21028081,743538641
520,18,14,second,3,1000000,298053316,319092702,89153108144,102121357630,95265165104,21039386,744135566
520,22,6,first,4,1000000,298018087,319052188,89133042659,102095607592,95242587084,21034101,743476083
520,18,14,second,4,1000000,298021117,319100381,89134146515,102126637647,95257003344,21079264,746777474
520,22,6,first,5,1000000,297990470,319072396,89116323218,102107703772,95238526725,21081926,746973540
520,18,14,second,5,1000000,298058108,319084564,89155416404,102115696490,95264486365,21026456,742140164
520,22,6,first,6,1000000,297998596,319036851,89121917580,102085301621,95231513454,21038255,744192293
520,18,14,second,6,1000000,298040084,319090976,89145788482,102121065336,95260976643,21050892,744900532
520,22,6,first,7,1000000,298034299,319085444,89142822151,102116615810,95257535322,21051145,744367317
520,18,14,second,7,1000000,298003467,319090338,89123733645,102119402154,95247607806,21086871,747920187
520,22,6,first,8,1000000,298008601,319044653,89126940665,102090369647,95236885492,21036052,743539328
520,18,14,second,8,1000000,298000005,319105515,89122757999,102129831965,95252010703,21105510,748568558
520,22,6,first,9,1000000,298009392,319064481,89127363762,102103596471,95242986831,21055089,744986571
520,18,14,second,9,1000000,298069735,319101138,89163164181,102127262938,95273902636,21031403,742621847
520,22,6,first,10,1000000,298007138,319078575,89126481366,102113049133,95246597085,21071437,746336329
520,18,14,second,10,1000000,298028818,319086687,89138792610,102117969045,95255973104,21057869,744815447
520,22,6,first,11,1000000,298041469,319072308,89146236141,102108597684,95255157374,21030839,744519077
520,18,14,second,11,1000000,298005254,319052856,89125005760,102096311730,95238731944,21047602,743853602
520,22,6,first,12,1000000,298010574,319112715,89128103536,102134560017,95257429627,21102141,747804299
520,18,14,second,12,1000000,298035013,319050126,89141347535,102094159364,95246914404,21015113,741678091
520,22,6,first,13,1000000,298026789,319075372,89137266399,102110466908,95251507974,21048583,744717359
520,18,14,second,13,1000000,298053514,319091522,89153279588,102120525142,95264848850,21038008,744107030
520,22,6,first,14,1000000,298036416,319083855,89144441834,102115848205,95257664244,21047439,744961551
520,18,14,second,14,1000000,298045511,319084530,89147970047,102115723004,95259882450,21039019,743928151
520,22,6,first,15,1000000,298035667,319089691,89143264739,102119946079,95259305049,21054024,744600720
520,18,14,second,15,1000000,298016026,319090870,89131092630,102120672102,95252822677,21074844,746119378
520,22,6,first,16,1000000,298031884,319099911,89140894910,102125124319,95259932043,21068027,746155143
520,18,14,second,16,1000000,298066268,319086253,89160113374,102117690805,95267622563,21019985,742559053
