n,a,b,orientation,batch,samples,kind,k,count
260,16,2,first,0,10000000,minus,71,1
260,16,2,first,0,10000000,minus,76,2
260,16,2,first,0,10000000,minus,77,5
260,16,2,first,0,10000000,minus,79,6
260,16,2,first,0,10000000,minus,80,2
260,16,2,first,0,10000000,minus,81,6
260,16,2,first,0,10000000,minus,82,6
260,16,2,first,0,10000000,minus,83,9
260,16,2,first,0,10000000,minus,84,19
260,16,2,first,0,10000000,minus,85,16
260,16,2,first,0,10000000,minus,86,29
260,16,2,first,0,10000000,minus,87,32
260,16,2,first,0,10000000,minus,88,42
260,16,2,first,0,10000000,minus,89,47
260,16,2,first,0,10000000,minus,90,62
260,16,2,first,0,10000000,minus,91,70
260,16,2,first,0,10000000,minus,92,73
260,16,2,first,0,10000000,minus,93,146
260,16,2,first,0,10000000,minus,94,154
260,16,2,first,0,10000000,minus,95,194
260,16,2,first,0,10000000,minus,96,240
260,16,2,first,0,10000000,minus,97,314
260,16,2,first,0,10000000,minus,98,339
260,16,2,first,0,10000000,minus,99,409
260,16,2,first,0,10000000,minus,100,541
260,16,2,first,0,10000000,minus,101,658
260,16,2,first,0,10000000,minus,102,831
260,16,2,first,0,10000000,plus,102,1
260,16,2,first,0,10000000,minus,103,1057
260,16,2,first,0,10000000,minus,104,1274
260,16,2,first,0,10000000,plus,104,1
260,16,2,first,0,10000000,minus,105,1536
260,16,2,first,0,10000000,minus,106,1742
260,16,2,first,0,10000000,minus,107,2190
260,16,2,first,0,10000000,minus,108,2761
260,16,2,first,0,10000000,plus,108,2
260,16,2,first,0,10000000,minus,109,3205
260,16,2,first,0,10000000,plus,109,5
260,16,2,first,0,10000000,minus,110,3960
260,16,2,first,0,10000000,plus,110,6
260,16,2,first,0,10000000,minus,111,4679
260,16,2,first,0,10000000,plus,111,11
260,16,2,first,0,10000000,minus,112,5751
260,16,2,first,0,10000000,plus,112,12
260,16,2,first,0,10000000,minus,113,6752
260,16,2,first,0,10000000,plus,113,28
260,16,2,first,0,10000000,minus,114,8043
260,16,2,first,0,10000000,plus,114,27
260,16,2,first,0,10000000,minus,115,9566
260,16,2,first,0,10000000,plus,115,31
260,16,2,first,0,10000000,minus,116,11285
260,16,2,first,0,10000000,plus,116,55
260,16,2,first,0,10000000,minus,117,13223
260,16,2,first,0,10000000,plus,117,79
260,16,2,first,0,10000000,minus,118,15686
260,16,2,first,0,10000000,plus,118,113
260,16,2,first,0,10000000,minus,119,18503
260,16,2,first,0,10000000,plus,119,148
260,16,2,first,0,10000000,minus,120,21631
260,16,2,first,0,10000000,plus,120,197
260,16,2,first,0,10000000,minus,121,25351
260,16,2,first,0,10000000,plus,121,305
260,16,2,first,0,10000000,minus,122,29541
260,16,2,first,0,10000000,plus,122,389
260,16,2,first,0,10000000,minus,123,34486
260,16,2,first,0,10000000,plus,123,584
260,16,2,first,0,10000000,minus,124,40341
260,16,2,first,0,10000000,plus,124,822
260,16,2,first,0,10000000,minus,125,46545
260,16,2,first,0,10000000,plus,125,1059
260,16,2,first,0,10000000,minus,126,53816
260,16,2,first,0,10000000,plus,126,1485
260,16,2,first,0,10000000,minus,127,61719
260,16,2,first,0,10000000,plus,127,1868
260,16,2,first,0,10000000,minus,128,70897
260,16,2,first,0,10000000,plus,128,2577
260,16,2,first,0,10000000,minus,129,80613
