n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
340,18,4,first,0,10000000,1938336668,2099206339,377499822298,442337084583,407760226051,160869671,4316454779
340,14,12,second,0,10000000,1938597866,2099370268,377595143920,442411488630,407848450036,160772402,4309732478
340,18,4,first,1,10000000,1938429934,2099260713,377536148022,442361297781,407790412234,160830779,4316621335
340,14,12,second,1,10000000,1938593627,2099314243,377591643825,442386422901,407835509128,160720616,4307048470
340,18,4,first,2,10000000,1938364072,2099216185,377511550522,442342676569,407769580948,160852113,4315065195
340,14,12,second,2,10000000,1938604060,2099335801,377597918906,442397742899,407843414127,160731741,4308833551
340,18,4,first,3,10000000,1938371232,2099225357,377513973644,442345950095,407771728075,160854125,4316467589
340,14,12,second,3,10000000,1938561402,2099358053,377581481962,442406319295,407837926884,160796651,4311947489
340,18,4,first,4,10000000,1938367470,2099173379,377511068834,442323004107,407760461041,160805909,4313150859
340,14,12,second,4,10000000,1938524402,2099269947,377565669850,442367680775,407811529297,160745545,4310292031
340,18,4,first,5,10000000,1938434829,2099269542,377539528679,442363443538,407793805301,160834713,4315361615
340,14,12,second,5,10000000,1938561522,2099338687,377579210540,442397799523,407833339834,160777165,4310330395
340,18,4,first,6,10000000,1938436917,2099270558,377538976159,442365614850,407794662232,160833641,4315266545
340,14,12,second,6,10000000,1938578524,2099356748,377586348040,442404866240,407839880574,160778224,4311453132
340,18,4,first,7,10000000,1938351365,2099267480,377506608205,442365586284,407775889358,160916115,4320415773
340,14,12,second,7,10000000,1938558676,2099383518,377580303100,442418294094,407841904263,160824842,4314788668
340,18,4,first,8,10000000,1938396213,2099242102,377523379351,442351565458,407779984192,160845889,4314976425
340,14,12,second,8,10000000,1938587691,2099415332,377591272805,442429555466,407853681889,160827641,4313464493
340,18,4,first,9,10000000,1938446766,2099250235,377543185464,442356522479,407792727064,160803469,4314253815
340,14,12,second,9,10000000,1938603790,2099406371,377597746000,442427470859,407856335279,160802581,4312546301
340,18,4,first,10,10000000,1938383489,2099238053,377519405327,442349641821,407776373412,160854564,4316300324
340,14,12,second,10,10000000,1938620950,2099362873,377603605530,442409161825,407851725263,160741923,4309316829
340,18,4,first,11,10000000,1938396203,2099195636,377523068171,442332777372,407771311257,160799433,4313223029
340,14,12,second,11,10000000,1938643398,2099370873,377609551616,442412165499,407856797279,160727475,4308122557
340,18,4,first,12,10000000,1938273306,2099167211,377476016150,442319985907,407738562255,160893905,4318877547
340,14,12,second,12,10000000,1938516364,2099321898,377562844864,442391632222,407820222306,160805534,4314032474
340,18,4,first,13,10000000,1938350390,2099222137,377505780508,442343951469,407766286052,160871747,4317159873
340,14,12,second,13,10000000,1938603552,2099362816,377598583618,442407778326,407847921166,160759264,4310519612
340,18,4,first,14,10000000,1938378576,2099279550,377517525296,442368571196,407783572762,160900974,4318950968
340,14,12,second,14,10000000,1938544243,2099318700,377573049063,442388720776,407825738451,160774457,4310292937
340,18,4,first,15,10000000,1938333811,2099233711,377500950061,442349583139,407765975402,160899900,4318582396
340,14,12,second,15,10000000,1938591275,2099350062,377592294151,442401338636,407841471704,160758787,4310689379
340,18,4,first,16,10000000,1938363172,2099182950,377511632356,442328501502,407761872036,160819778,4316389786
340,14,12,second,16,10000000,1938529674,2099293662,377569862738,442379620502,407819089379,160763988,4311304482
340,18,4,first,17,10000000,1938327358,2099212234,377498622974,442340835698,407760881509,160884876,4317695654
340,14,12,second,17,10000000,1938548248,2099358988,377574882666,442408093424,407835354561,160810740,4312266968
340,18,4,first,18,10000000,1938382555,2099255810,377518598991,442358578188,407780224396,160873255,4316728387
