n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
65,8,1,first,0,19000000,687196905,792753150,25180933359,33355375960,28803493194,105556245,929322931
65,7,4,second,0,19000000,687967412,793223668,25226933854,33400424664,28852448693,105256256,922461132
65,8,1,first,1,19000000,687182453,792743462,25179717051,33354593132,28802505438,105561009,929299307
65,7,4,second,1,19000000,687932455,793215976,25224367975,33399891016,28850760187,105283521,922738617
65,8,1,first,2,19000000,687196460,792779326,25180895944,33357598548,28804471583,105582866,929551326
65,7,4,second,2,19000000,687994375,793280481,25228837787,33405282745,28855723102,105286106,922674328
65,8,1,first,3,19000000,687186614,792737972,25180089652,33354157020,28802604895,105551358,929036882
65,7,4,second,3,19000000,687999540,793264874,25229018148,33404054030,28855397761,105265334,922276656
65,8,1,first,4,19000000,687192101,792752909,25180518789,33355479557,28803376260,105560808,929245826
65,7,4,second,4,19000000,687990481,793237314,25228414255,33401570038,28853937375,105246833,922109543
65,8,1,first,5,19000000,687164459,792716895,25178467939,33352198605,28800775512,105552436,929115520
65,7,4,second,5,19000000,687957815,793242073,25226193729,33402061547,28852750626,105284258,922754024
65,8,1,first,6,19000000,687176382,792729293,25179456310,33353435687,28801900759,105552911,929090479
65,7,4,second,6,19000000,687958985,793259978,25226268877,33403664452,28853454184,105300993,923024961
65,8,1,first,7,19000000,687206730,792732790,25181396306,33353687138,28803292419,105526060,928498606
65,7,4,second,7,19000000,687961153,793230511,25226355657,33401229985,28852549908,105269358,922485826
65,8,1,first,8,19000000,687178781,792753744,25179732503,33355342472,28802801508,105574963,929471959
65,7,4,second,8,19000000,687977278,793225160,25227490472,33400617562,28853005251,105247882,922097532
65,8,1,first,9,19000000,687191605,792759686,25180379687,33356051498,28803603052,105568081,929225081
65,7,4,second,9,19000000,687955991,793222046,25226049147,33400380054,28852059795,105266055,922309611
65,8,1,first,10,19000000,687188401,792752766,25180108759,33355479092,28803282908,105564365,929022035
65,7,4,second,10,19000000,687956625,793224785,25226126633,33400524053,28852084739,105268160,922481208
65,8,1,first,11,19000000,687178292,792746057,25179550666,33354880697,28802587885,105567765,929255593
65,7,4,second,11,19000000,687977220,793198692,25227512628,33398259104,28852022911,105221472,921725910
65,8,1,first,12,19000000,687175715,792749776,25179380539,33354958496,28802381943,105574061,929575149
65,7,4,second,12,19000000,687980175,793212832,25227904841,33399525284,28852787238,105232657,921855649
65,8,1,first,13,19000000,687181573,792758254,25179851675,33355902218,28803048257,105576681,929657379
65,7,4,second,13,19000000,688001350,793266302,25229290950,33403891026,28855477662,105264952,922226652
65,8,1,first,14,19000000,687181879,792757491,25179925085,33355823715,28803079198,105575612,929590404
65,7,4,second,14,19000000,687977504,793221271,25227507926,33400193275,28852827696,105243767,922045809
65,8,1,first,15,19000000,687215058,792786934,25182410312,33358325750,28805596368,105571876,929543326
65,7,4,second,15,19000000,687945313,793202902,25225260673,33398846978,28850887970,105257589,922331711
65,8,1,first,16,19000000,687167264,792766263,25178897102,33356587745,28802797997,105598999,929888853
65,7,4,second,16,19000000,687988194,793235431,25228291548,33401467799,28853790225,105247237,922178897
65,8,1,first,17,19000000,687174184,792733739,25179380524,33353823415,28801930673,105559555,929342593
65,7,4,second,17,19000000,687949343,793233808,25225587889,33401225020,28852058173,105284465,922696563
65,8,1,first,18,19000000,687171897,792748068,25178989823,33355043590,28802280512,105576171,929472389
65,7,4,second,18,19000000,687953027,793222710,25226038781,33400522292,28851958304,105269683,922644465
65,8,1,first,19,19000000,687198167,792729546,25180867619,33353375340,28802733200,105531379,928776559
65,7,4,second,19,19000000,687964879,793236287,25226743655,33401526095,28852895418,105271408,922478914
65,8,1,first,20,19000000,687191984,792738566,25180341928,33354022670,28802709966,105546582,928944666
65,7,4,second,20,19000000,687979470,793238051,25227813326,33401672339,28853642958,105258581,922199749
65,8,1,first,21,19000000,687179307,792759698,25179693387,33355872864,28803040892,105580391,929484467
65,7,4,second,21,19000000,687959465,793248996,25226346777,33402700950,28853109812,105289531,922828103
65,8,1,first,22,19000000,687177240,792749278,25179419574,33355095344,28802617418,105572038,929280082
65,7,4,second,22,19000000,688000615,793237818,25229278011,33401593296,28854448650,105237203,921974007
65,8,1,first,23,19000000,687219532,792781434,25182468802,33357814176,28805510409,105561902,929262160
65,7,4,second,23,19000000,687954804,793208505,25225824256,33399319731,28851437646,105253701,922268695
65,8,1,first,24,19000000,687174021,792744923,25179248601,33354647943,28802253671,105570902,929389202
65,7,4,second,24,19000000,687974669,793232430,25227458229,33401227762,28853116957,105257761,922452077
65,8,1,first,25,19000000,687179231,792718858,25179669279,33352448526,28801587787,105539627,928942231
65,7,4,second,25,19000000,687957936,793225472,25226201318,33400622570,28852298139,105267536,922227610
65,8,1,first,26,19000000,687204561,792766562,25181605757,33356482372,28804444572,105562001,929198985
65,7,4,second,26,19000000,687963251,793211549,25226509133,33399503919,28851949650,105248298,922113752
65,8,1,first,27,19000000,687214203,792777239,25182121751,33357323049,28805068679,105563036,929307442
65,7,4,second,27,19000000,687933313,793209164,25224328987,33399285324,28850555412,105275851,922503487
65,8,1,first,28,19000000,687182045,792759907,25179883287,33355991983,28803206137,105577862,929462996
65,7,4,second,28,19000000,688012713,793235500,25229830571,33401437228,28854878625,105222787,921510549
65,8,1,first,29,19000000,687175604,792740171,25179250444,33354226799,28802112049,105564567,929253145
65,7,4,second,29,19000000,687972823,793220988,25227196167,33400293652,28852659129,105248165,922171561
65,8,1,first,30,19000000,687174908,792752491,25179248762,33355437829,28802609194,105577583,929468203
65,7,4,second,30,19000000,687999183,793233703,25229081375,33401310551,28854297903,105234520,921796120
65,8,1,first,31,19000000,687200951,792745161,25181233629,33354839523,28803511700,105544210,929049752
65,7,4,second,31,19000000,687960392,793203710,25226377516,33398861538,28851507917,105243318,922223220
65,8,1,first,32,19000000,687188180,792742348,25180321544,33354490192,28802889482,105554168,929032772
65,7,4,second,32,19000000,687968960,793227284,25226784316,33400803058,28852616932,105258324,922353510
65,8,1,first,33,19000000,687173107,792741108,25179065621,33354320306,28802104606,105568001,929176715
65,7,4,second,33,19000000,687979528,793226716,25227735628,33400631622,28853108461,105247188,922150328
65,8,1,first,34,19000000,687163704,792769874,25178541138,33356962382,28802682551,105606170,930138418
65,7,4,second,34,19000000,687957038,793216180,25226265056,33399908818,28851872522,105259142,922428830
65,8,1,first,35,19000000,687215419,792768875,25182185475,33356622145,28804891527,105553456,929024566
65,7,4,second,35,19000000,687962248,793216719,25226413762,33399925283,28852060492,105254471,922218061
65,8,1,first,36,19000000,687205439,792747575,25181516031,33354962683,28803709578,105542136,929059558
65,7,4,second,36,19000000,687967542,793224097,25226891772,33400763693,28852693988,105256555,922267489
65,8,1,first,37,19000000,687174799,792747859,25179270725,33354964845,28802422120,105573060,929391330
65,7,4,second,37,19000000,687979388,793244110,25227746642,33402227758,28853704298,105264722,922565804
65,8,1,first,38,19000000,687167321,792760259,25178807591,33355935741,28802634247,105592938,929474838
65,7,4,second,38,19000000,687958519,793243748,25226233109,33402022002,28852693036,105285229,922869039
65,8,1,first,39,19000000,687158735,792749124,25178299625,33354934312,28801776290,105590389,929681357
65,7,4,second,39,19000000,687982042,793249715,25227959232,33402759627,28854139909,105267673,922439041
65,8,1,first,40,19000000,687196190,792743862,25180749924,33354520752,28803167723,105547672,928935230
65,7,4,second,40,19000000,687970341,793211491,25226937543,33399329133,28852142063,105241150,921982550
65,8,1,first,41,19000000,687190833,792760957,25180557637,33355956281,28803644375,105570124,929225168
65,7,4,second,41,19000000,687946274,793209034,25225435004,33399198720,28851067438,105262760,922498848
65,8,1,first,42,19000000,687164435,792764083,25178549759,33356347491,28802479317,105599648,929938616
65,7,4,second,42,19000000,687980867,793266599,25227775351,33403954691,28854540928,105285732,922648186
65,8,1,first,43,19000000,687179331,792768212,25179589777,33356635518,28803278419,105588881,929668457
65,7,4,second,43,19000000,687988034,793253075,25228406384,33402968273,28854476257,105265041,922422143
65,8,1,first,44,19000000,687155867,792738106,25177894865,33354219360,28801215376,105582239,929683473
65,7,4,second,44,19000000,687952897,793209462,25225824897,33399234668,28851399105,105256565,922261355
65,8,1,first,45,19000000,687178108,792774861,25179434670,33357240647,28803459137,105596753,929757043
65,7,4,second,45,19000000,687976043,793236159,25227560595,33401596159,28853405491,105260116,922345772
65,8,1,first,46,19000000,687183648,792767105,25179912996,33356543791,28803492292,105583457,929472203
65,7,4,second,46,19000000,687957307,793255263,25226106279,33403245287,28853222191,105297956,922907184
65,8,1,first,47,19000000,687183776,792757021,25180079296,33355725347,28803155589,105573245,929493465
65,7,4,second,47,19000000,688013512,793244876,25230153032,33402180186,28855330450,105231364,921672318
65,8,1,first,48,19000000,687184955,792758051,25180085693,33355764757,28803242492,105573096,929365466
65,7,4,second,48,19000000,687973951,793235569,25227161737,33401342603,28853230159,105261618,922044022
65,8,1,first,49,19000000,687195890,792760727,25180797026,33356102735,28803836352,105564837,929227057
65,7,4,second,49,19000000,687973454,793219863,25227264830,33400075361,28852583558,105246409,922173075
65,8,1,first,50,19000000,687181333,792743775,25179824479,33354525371,28802617357,105562442,929115136
65,7,4,second,50,19000000,687977136,793257705,25227331654,33403107697,28853932107,105280569,922575137
65,8,1,first,51,19000000,687191292,792746302,25180617974,33354855268,28803159628,105555010,929153986
65,7,4,second,51,19000000,687938115,793213185,25224823057,33399704479,28850915884,105275070,922695768
65,8,1,first,52,19000000,687179984,792744137,25179630776,33354589403,28802468149,105564153,929283881
65,7,4,second,52,19000000,687992050,793227013,25228619660,33400788357,28853664759,105234963,922078499
65,8,1,first,53,19000000,687230462,792762775,25183224384,33356310925,28805381576,105532313,928772157
65,7,4,second,53,19000000,687966428,793211867,25226814288,33399411095,28852063109,105245439,922099165
65,8,1,first,54,19000000,687188866,792731482,25180149902,33353434464,28802431497,105542616,928721372
65,7,4,second,54,19000000,687963129,793208346,25226415307,33399113164,28851788950,105245217,921950571
65,8,1,first,55,19000000,687218306,792756510,25182338280,33355664538,28804573966,105538204,928854886
65,7,4,second,55,19000000,687975347,793245936,25227397513,33402297272,28853586592,105270589,922521601
65,8,1,first,56,19000000,687214656,792761334,25182047806,33356110408,28804551458,105546678,929055298
65,7,4,second,56,19000000,687968391,793228113,25226915433,33400946519,28852761745,105259722,922338462
65,8,1,first,57,19000000,687186277,792740409,25180153933,33354467929,28802841080,105554132,928939702
65,7,4,second,57,19000000,687982467,793213888,25227973403,33399714706,28852801508,105231421,922085093
65,8,1,first,58,19000000,687195369,792755884,25180797463,33355629690,28803634979,105560515,929157195
65,7,4,second,58,19000000,687951989,793228473,25225884613,33401096573,28852173791,105276484,922633604
65,8,1,first,59,19000000,687184655,792746142,25180165835,33354789836,28802911093,105561487,929133485
65,7,4,second,59,19000000,687954517,793216636,25225952003,33400059710,28851707496,105262119,922596721
65,8,1,first,60,19000000,687171871,792738859,25179038801,33354294561,28802021166,105566988,929291030
65,7,4,second,60,19000000,687989047,793217959,25228202263,33399894949,28853224848,105228912,921647516
65,8,1,first,61,19000000,687160554,792711878,25178136950,33351942862,28800499631,105551324,929080550
65,7,4,second,61,19000000,687972141,793240416,25227216359,33402089512,28853372657,105268275,922560557
65,8,1,first,62,19000000,687183522,792777955,25180043480,33357318325,28803888224,105594433,929585357
65,7,4,second,62,19000000,687951354,793197759,25225703624,33398263887,28850902235,105246405,922163041
65,8,1,first,63,19000000,687159834,792744968,25178381924,33354768814,28801783222,105585134,929584294
65,7,4,second,63,19000000,687979236,793248212,25227736520,33402612834,28853920882,105268976,922507590
65,8,1,first,64,19000000,687181903,792730911,25179692661,33353589833,28802194066,105549008,928894362
65,7,4,second,64,19000000,687974726,793235341,25227477600,33401516567,28853317832,105260615,922358503
65,8,1,first,65,19000000,687201980,792771123,25181066432,33356730799,28804333133,105569143,929130965
65,7,4,second,65,19000000,687952559,793253890,25225762507,33402984846,28852974740,105301331,922797873
65,8,1,first,66,19000000,687198642,792785036,25181059570,33358012084,28804649554,105586394,929772546
65,7,4,second,66,19000000,687956324,793247038,25226133690,33402360280,28852806927,105290714,922880116
65,8,1,first,67,19000000,687167486,792741608,25178741764,33354466498,28801854986,105574122,929498290
65,7,4,second,67,19000000,687947543,793206442,25225415625,33399055250,28851164435,105258899,922142005
65,8,1,first,68,19000000,687221814,792762680,25182514894,33355973708,28804821673,105540866,928845256
65,7,4,second,68,19000000,687970043,793229038,25227139909,33401014760,28852880961,105258995,922392747
65,8,1,first,69,19000000,687199299,792742621,25180959073,33354584377,28803261362,105543322,929020726
65,7,4,second,69,19000000,687986899,793205899,25228097553,33399056373,28852669676,105219000,921814574
65,8,1,first,70,19000000,687190700,792735807,25180335090,33353857403,28802639339,105545107,928913815
65,7,4,second,70,19000000,687990576,793225060,25228338198,33400640996,28853574958,105234484,921829278
65,8,1,first,71,19000000,687211444,792762814,25182092292,33356318858,28804580654,105551370,929249842
65,7,4,second,71,19000000,687964790,793216857,25226579742,33399873639,28852157302,105252067,922138777
65,8,1,first,72,19000000,687150298,792719377,25177529104,33352475381,28800348502,105569079,929307481
65,7,4,second,72,19000000,687963144,793219443,25226390484,33400135271,28852209419,105256299,922106917
65,8,1,first,73,19000000,687164410,792712446,25178493278,33352028862,28800759487,105548036,929003166
65,7,4,second,73,19000000,687994329,793226192,25228623971,33400544374,28853696334,105231863,921775677
65,8,1,first,74,19000000,687223228,792774316,25182884962,33357051846,28805445065,105551088,929046678
65,7,4,second,74,19000000,688011468,793269116,25230010278,33404251848,28855933610,105257648,922394906
65,8,1,first,75,19000000,687186952,792770291,25180168690,33356921775,28803736674,105583339,929617117
65,7,4,second,75,19000000,687970979,793219809,25227065595,33400033699,28852535874,105248830,922027546
65,8,1,first,76,19000000,687175623,792754041,25179358065,33355416383,28802620127,105578418,929534194
65,7,4,second,76,19000000,687972288,793204086,25227061484,33398830406,28852066958,105231798,921757974
65,8,1,first,77,19000000,687204663,792771102,25181551217,33356899310,28804490420,105566439,929469687
65,7,4,second,77,19000000,687981440,793214985,25227828916,33399596971,28852776443,105233545,921873001
65,8,1,first,78,19000000,687187625,792737981,25180198599,33354135325,28802667947,105550356,928998030
65,7,4,second,78,19000000,687968394,793234965,25226954792,33401407571,28852995254,105266571,922371855
65,8,1,first,79,19000000,687189316,792756867,25180435478,33355720545,28803518919,105567551,929118185
65,7,4,second,79,19000000,687968184,793244773,25226738106,33402230697,28853185918,105276589,922596967
65,8,1,first,80,19000000,687175793,792730102,25179090213,33353302346,28801713456,105554309,928965647
65,7,4,second,80,19000000,687988318,793259963,25228230360,33403494505,28854711138,105271645,922302589
65,8,1,first,81,19000000,687214969,792755849,25182321477,33355539025,28804487241,105540880,928886020
65,7,4,second,81,19000000,688023963,793264508,25230955259,33403878786,28856393852,105240545,922046341
65,8,1,first,82,19000000,687168268,792741930,25178802776,33354611204,28801984008,105573662,929445964
65,7,4,second,82,19000000,687982844,793242464,25227934224,33402244254,28853944839,105259620,922288800
