n,a,b,orientation,batch,samples,kind,k,count
85,9,2,first,0,19000000,minus,15,1
85,9,2,first,0,19000000,minus,16,2
85,9,2,first,0,19000000,minus,17,6
85,9,2,first,0,19000000,minus,18,6
85,9,2,first,0,19000000,minus,19,38
85,9,2,first,0,19000000,minus,20,61
85,9,2,first,0,19000000,minus,21,83
85,9,2,first,0,19000000,minus,22,231
85,9,2,first,0,19000000,minus,23,440
85,9,2,first,0,19000000,minus,24,756
85,9,2,first,0,19000000,minus,25,1411
85,9,2,first,0,19000000,minus,26,2320
85,9,2,first,0,19000000,minus,27,3715
85,9,2,first,0,19000000,plus,27,1
85,9,2,first,0,19000000,minus,28,6002
85,9,2,first,0,19000000,minus,29,9516
85,9,2,first,0,19000000,plus,29,1
85,9,2,first,0,19000000,minus,30,14611
85,9,2,first,0,19000000,plus,30,7
85,9,2,first,0,19000000,minus,31,21903
85,9,2,first,0,19000000,plus,31,11
85,9,2,first,0,19000000,minus,32,32325
85,9,2,first,0,19000000,plus,32,36
85,9,2,first,0,19000000,minus,33,47557
85,9,2,first,0,19000000,plus,33,81
85,9,2,first,0,19000000,minus,34,68207
85,9,2,first,0,19000000,plus,34,238
85,9,2,first,0,19000000,minus,35,97625
85,9,2,first,0,19000000,plus,35,525
85,9,2,first,0,19000000,minus,36,135883
85,9,2,first,0,19000000,plus,36,1075
85,9,2,first,0,19000000,minus,37,186639
85,9,2,first,0,19000000,plus,37,2241
85,9,2,first,0,19000000,minus,38,255024
85,9,2,first,0,19000000,plus,38,4565
85,9,2,first,0,19000000,minus,39,338808
85,9,2,first,0,19000000,plus,39,9064
85,9,2,first,0,19000000,minus,40,444183
85,9,2,first,0,19000000,plus,40,17116
85,9,2,first,0,19000000,minus,41,570506
85,9,2,first,0,19000000,plus,41,31574
85,9,2,first,0,19000000,minus,42,721037
85,9,2,first,0,19000000,plus,42,54708
85,9,2,first,0,19000000,minus,43,885430
85,9,2,first,0,19000000,plus,43,92702
85,9,2,first,0,19000000,minus,44,1061628
85,9,2,first,0,19000000,plus,44,150578
85,9,2,first,0,19000000,minus,45,1232836
85,9,2,first,0,19000000,plus,45,234954
85,9,2,first,0,19000000,minus,46,1388389
85,9,2,first,0,19000000,plus,46,352046
85,9,2,first,0,19000000,minus,47,1503799
85,9,2,first,0,19000000,plus,47,505605
85,9,2,first,0,19000000,minus,48,1565350
85,9,2,first,0,19000000,plus,48,694408
85,9,2,first,0,19000000,minus,49,1554217
85,9,2,first,0,19000000,plus,49,905673
85,9,2,first,0,19000000,minus,50,1475637
85,9,2,first,0,19000000,plus,50,1130090
85,9,2,first,0,19000000,minus,51,1327461
85,9,2,first,0,19000000,plus,51,1340290
85,9,2,first,0,19000000,minus,52,1131940
85,9,2,first,0,19000000,plus,52,1506993
85,9,2,first,0,19000000,minus,53,911863
85,9,2,first,0,19000000,plus,53,1612546
85,9,2,first,0,19000000,minus,54,693066
85,9,2,first,0,19000000,plus,54,1638550
85,9,2,first,0,19000000,minus,55,495533
85,9,2,first,0,19000000,plus,55,1586700
85,9,2,first,0,19000000,minus,56,334025
85,9,2,first,0,19000000,plus,56,1463033
85,9,2,first,0,19000000,minus,57,212640
85,9,2,first,0,19000000,plus,57,1294306
85,9,2,first,0,19000000,minus,58,126304
85,9,2,first,0,19000000,plus,58,1093662
85,9,2,first,0,19000000,minus,59,71128
85,9,2,first,0,19000000,plus,59,889594
85,9,2,first,0,19000000,minus,60,37246
85,9,2,first,0,19000000,plus,60,695897
85,9,2,first,0,19000000,minus,61,18502
85,9,2,first,0,19000000,plus,61,527581
85,9,2,first,0,19000000,minus,62,8444
85,9,2,first,0,19000000,plus,62,386597
85,9,2,first,0,19000000,minus,63,3570
85,9,2,first,0,19000000,plus,63,273523
85,9,2,first,0,19000000,minus,64,1396
85,9,2,first,0,19000000,plus,64,188184
85,9,2,first,0,19000000,minus,65,480
85,9,2,first,0,19000000,plus,65,124482
85,9,2,first,0,19000000,minus,66,152
85,9,2,first,0,19000000,plus,66,79707
85,9,2,first,0,19000000,minus,67,53
85,9,2,first,0,19000000,plus,67,49199
85,9,2,first,0,19000000,minus,68,9
85,9,2,first,0,19000000,plus,68,29321
85,9,2,first,0,19000000,minus,69,6
85,9,2,first,0,19000000,plus,69,16448
85,9,2,first,0,19000000,plus,70,8642
85,9,2,first,0,19000000,plus,71,4334
85,9,2,first,0,19000000,plus,72,1954
85,9,2,first,0,19000000,plus,73,779
85,9,2,first,0,19000000,plus,74,269
85,9,2,first,0,19000000,plus,75,87
85,9,2,first,0,19000000,plus,76,21
85,9,2,first,0,19000000,plus,77,2
85,7,6,second,0,19000000,minus,16,1
85,7,6,second,0,19000000,minus,17,2
