n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
260,16,2,first,0,10000,1476186,1610558,219172452,260535794,238338075,134372,3032096
260,14,8,second,0,10000,1476476,1611940,219227436,260999540,238587636,135464,3051704
260,16,2,first,1,10000,1478085,1613039,219685483,261326463,238987364,134954,3037218
260,14,8,second,1,10000,1476297,1611171,219181181,260734639,238462046,134874,2991728
260,16,2,first,2,10000,1477254,1611666,219472608,260891852,238674354,134412,3015752
260,14,8,second,2,10000,1478164,1612971,219735856,261294677,239010738,134807,3009057
260,16,2,first,3,10000,1477390,1612338,219534272,261104024,238808748,134948,3020800
260,14,8,second,3,10000,1476942,1611200,219357550,260728118,238555435,134258,2974798
260,16,2,first,4,10000,1474945,1611049,218797459,260680687,238190597,136104,3096952
260,14,8,second,4,10000,1475123,1612047,218832241,261034149,238378609,136924,3109172
260,16,2,first,5,10000,1475008,1611735,218861396,260932707,238323292,136727,3147519
260,14,8,second,5,10000,1475971,1612735,219049605,261261831,238596961,136764,3117514
260,16,2,first,6,10000,1473746,1612278,218433154,261076280,238167623,138532,3174188
260,14,8,second,6,10000,1477070,1612032,219377820,260995034,238680348,134962,3012158
260,16,2,first,7,10000,1477513,1613958,219524073,261610054,239037095,136445,3059937
260,14,8,second,7,10000,1478213,1614650,219734645,261872078,239267171,136437,3072381
260,16,2,first,8,10000,1477105,1611846,219430529,260965670,238695221,134741,3005757
260,14,8,second,8,10000,1477120,1613256,219410588,261414524,238895493,136136,3034126
260,16,2,first,9,10000,1477667,1613145,219602737,261358317,238946570,135478,3067914
260,14,8,second,9,10000,1479235,1613986,220020473,261629154,239314411,134751,3020805
260,16,2,first,10,10000,1475673,1610288,219002817,260437686,238215524,134615,3009455
260,14,8,second,10,10000,1476469,1611866,219235305,260954430,238575026,135397,3039683
260,16,2,first,11,10000,1478542,1613215,219827838,261408717,239112624,134673,3011307
260,14,8,second,11,10000,1478387,1612038,219758749,261020014,238913931,133651,2950901
260,16,2,first,12,10000,1479301,1612257,220053535,261087319,239092935,132956,2954984
260,14,8,second,12,10000,1476452,1612351,219225014,261152873,238677535,135899,3022817
