n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
580,24,2,first,0,1000000,332879404,355389151,111176596416,126650705045,118486984284,22509747,853332893
580,18,16,second,0,1000000,332863748,355434490,111166074816,126683815124,118496180903,22570742,857528134
580,24,2,first,1,1000000,332840475,355394629,111150365115,126654780425,118474366826,22554154,856411888
580,18,16,second,1,1000000,332830742,355387872,111144354932,126650311952,118469438383,22557130,855790118
580,24,2,first,2,1000000,332860440,355411143,111165413930,126666242723,118487972466,22550703,855711721
580,18,16,second,2,1000000,332843042,355423922,111153155222,126676316380,118485792483,22580880,857886636
580,24,2,first,3,1000000,332827038,355372835,111141983322,126639131823,118463199079,22545797,854716987
580,18,16,second,3,1000000,332849905,355397325,111157065757,126657348283,118479378458,22547420,855657124
580,24,2,first,4,1000000,332834118,355369176,111146695514,126635646160,118463655315,22535058,855031044
580,18,16,second,4,1000000,332887929,355418906,111181810879,126672428496,118500228507,22530977,853782361
580,24,2,first,5,1000000,332807419,355359868,111129341527,126630587670,118452004712,22552449,855919773
580,18,16,second,5,1000000,332818368,355352494,111135709558,126623833426,118452109210,22534126,855324564
580,24,2,first,6,1000000,332847424,355375937,111156928486,126642059979,118472354421,22528513,854279623
580,18,16,second,6,1000000,332839882,355361951,111150964636,126632583381,118464949959,22522069,853648099
580,24,2,first,7,1000000,332800449,355402153,111125375085,126660804335,118463361864,22601704,859455692
580,18,16,second,7,1000000,332831560,355394802,111144147368,126654656332,118470974918,22563242,856853864
580,24,2,first,8,1000000,332824481,355398984,111140902737,126658391442,118470875399,22574503,857543381
580,18,16,second,8,1000000,332840805,355380624,111150925479,126645635098,118470692172,22539819,855176233
580,24,2,first,9,1000000,332838201,355401844,111150671259,126660281140,118476729614,22563643,857493171
580,18,16,second,9,1000000,332858951,355363124,111162874231,126633975700,118471894230,22504173,853061471
580,24,2,first,10,1000000,332827598,355359191,111143188430,126630750789,118459865117,22531593,854208985
580,18,16,second,10,1000000,332807226,355362024,111129069308,126632132914,118452288213,22554798,856625796
580,24,2,first,11,1000000,332815394,355351087,111134705732,126624419707,118452577837,22535693,853969765
580,18,16,second,11,1000000,332825692,355375164,111141796078,126641643680,118463505413,22549472,856428932
580,24,2,first,12,1000000,332817284,355378339,111135511398,126643297189,118461183394,22561055,856441799
580,18,16,second,12,1000000,332811718,355375433,111131310172,126641754009,118458626679,22563715,855810823
580,24,2,first,13,1000000,332811856,355359520,111131878464,126629944008,118453119799,22547664,855582874
580,18,16,second,13,1000000,332830113,355374181,111143281531,126640867279,118464020140,22544068,856108530
580,24,2,first,14,1000000,332826588,355378774,111142327928,126643739740,118464793316,22552186,856481036
580,18,16,second,14,1000000,332842559,355367369,111152259425,126636714441,118467538959,22524810,853895948
580,24,2,first,15,1000000,332848620,355380471,111157437310,126645067173,118473596362,22531851,855311759
580,18,16,second,15,1000000,332861452,355403091,111164096364,126660986929,118485039022,22541639,855005249
580,24,2,first,16,1000000,332832316,355371622,111144823116,126639664080,118464362936,22539306,855761324
580,18,16,second,16,1000000,332837273,355389670,111148069517,126652210120,118472339151,22552397,855601335
580,24,2,first,17,1000000,332820801,355376394,111139716391,126642586054,118461959181,22555593,858384083
580,18,16,second,17,1000000,332846223,355401349,111154482579,126660395523,118479293519,22555126,856291064
580,24,2,first,18,1000000,332826257,355362020,111142442635,126631480976,118459078487,22535763,855766637
580,18,16,second,18,1000000,332853677,355393606,111160333585,126654979286,118479864172,22539929,855584527
580,24,2,first,19,1000000,332862704,355409451,111165915304,126665390131,118488039738,22546747,855225959
580,18,16,second,19,1000000,332878069,355394516,111175171931,126655325846,118488747739,22516447,853002299
580,24,2,first,20,1000000,332833454,355401309,111147093574,126659601551,118474569668,22567855,857555789
580,18,16,second,20,1000000,332858472,355380214,111161570516,126644807654,118475834778,22521742,854708614
580,24,2,first,21,1000000,332789398,355378822,111118121116,126643461144,118451644228,22589424,858293804
580,18,16,second,21,1000000,332809294,355372230,111129680732,126639993086,118456587248,22562936,856499322
580,24,2,first,22,1000000,332823080,355372511,111138463016,126638209225,118460907357,22549431,854857527
580,18,16,second,22,1000000,332835217,355384819,111146849511,126648870367,118470338303,22549602,855043272
580,24,2,first,23,1000000,332846867,355395411,111155596157,126655734681,118477958558,22548544,855413722
580,18,16,second,23,1000000,332868322,355406150,111168515182,126663627276,118488686957,22537828,854768544
580,24,2,first,24,1000000,332816353,355368509,111135713577,126636085623,118457170206,22552156,857458788
580,18,16,second,24,1000000,332850001,355368342,111156695521,126637897762,118470319056,22518341,853955171
580,24,2,first,25,1000000,332824194,355382655,111140581272,126646703739,118465117416,22558461,857050179
580,18,16,second,25,1000000,332834676,355403386,111147183232,126661924064,118475365883,22568710,858375530
580,24,2,first,26,1000000,332826090,355388852,111142753138,126651087066,118468352821,22562762,857134562
580,18,16,second,26,1000000,332895661,355392928,111186695393,126653299648,118493972641,22497267,852049759
580,24,2,first,27,1000000,332811120,355380079,111132297098,126644938275,118460212713,22568959,856809947
580,18,16,second,27,1000000,332848536,355392809,111156166604,126654806643,118477764516,22544273,855444215
580,24,2,first,28,1000000,332811142,355332853,111132254542,126610693247,118444833211,22521711,853281367
580,18,16,second,28,1000000,332838072,355361354,111149451226,126631411432,118463357182,22523282,854148294
580,24,2,first,29,1000000,332830687,355379632,111145267529,126643839202,118466576046,22548945,855954639
580,18,16,second,29,1000000,332850380,355388614,111157749234,126652711620,118477452850,22538234,855555154
580,24,2,first,30,1000000,332812600,355379455,111133033350,126644350943,118460257552,22566855,856869189
580,18,16,second,30,1000000,332808735,355384965,111130676243,126648380653,118460294316,22576230,858468264
580,24,2,first,31,1000000,332859765,355400655,111164010545,126658671027,118484183671,22540890,854314230
580,18,16,second,31,1000000,332846563,355382454,111154956637,126646038292,118473149242,22535891,854696445
580,24,2,first,32,1000000,332829187,355382844,111144996407,126646258078,118467725989,22553657,855802507
580,18,16,second,32,1000000,332852588,355387209,111159246784,126650403763,118477323835,22534621,855002877
580,24,2,first,33,1000000,332845170,355390587,111155637458,126653337837,118476408974,22545417,856157347
580,18,16,second,33,1000000,332809793,355379880,111130402127,126645699664,118459428749,22570087,857244293
580,24,2,first,34,1000000,332793659,355343968,111120780133,126618374396,118441771914,22550309,855610701
580,18,16,second,34,1000000,332842796,355416505,111151839844,126671037775,118482708047,22573709,857461525
580,24,2,first,35,1000000,332788196,355368804,111117129976,126636583356,118447771147,22580608,858171038
580,18,16,second,35,1000000,332839310,355402838,111149430254,126661006934,118477046652,22563528,856343884
580,24,2,first,36,1000000,332835205,355402631,111147457689,126660944857,118475375409,22567426,857651728
580,18,16,second,36,1000000,332813099,355362430,111133958705,126632574732,118455239047,22549331,856055343
580,24,2,first,37,1000000,332838597,355384169,111150673379,126647058491,118470818587,22545572,856094696
580,18,16,second,37,1000000,332826488,355380484,111141907958,126646198240,118465710556,22553996,856685086
580,24,2,first,38,1000000,332826180,355411524,111142341628,126667661520,118475502853,22585344,858997442
580,18,16,second,38,1000000,332859283,355418655,111163904509,126673729867,118490352867,22559372,856928642
580,24,2,first,39,1000000,332811979,355365320,111132941115,126633819248,118455600779,22553341,855558805
580,18,16,second,39,1000000,332817452,355361607,111134400836,126631026919,118454664641,22544155,856098473
580,24,2,first,40,1000000,332827174,355399976,111142654988,126658938794,118472171184,22572802,857251414
580,18,16,second,40,1000000,332829383,355368149,111142677797,126637137703,118462439090,22538766,854937320
580,24,2,first,41,1000000,332854289,355382913,111160130381,126646546375,118475989208,22528624,854698340
