n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
325,15,10,first,0,100000,18517867,20083004,3445963219,4048921740,3727006538,1565137,40871883
325,17,6,second,0,100000,18519181,20079060,3446345219,4047382246,3726565723,1559879,40596019
325,15,10,first,1,100000,18515684,20079291,3445055936,4047523045,3725906714,1563607,40765553
325,17,6,second,1,100000,18514198,20082481,3444705798,4048911549,3726263483,1568283,41090381
325,15,10,first,2,100000,18520927,20082271,3446947637,4048759529,3727503658,1561344,40699850
325,17,6,second,2,100000,18513099,20083770,3444170399,4049270310,3726235030,1570671,40970649
325,15,10,first,3,100000,18515861,20076574,3445001589,4046374748,3725416519,1560713,40543299
325,17,6,second,3,100000,18514573,20081291,3444702669,4048261089,3726037241,1566718,40889276
325,15,10,first,4,100000,18523282,20077058,3447728484,4046593556,3727013568,1553776,40294904
325,17,6,second,4,100000,18526887,20087010,3449206729,4050502628,3729550617,1560123,40608123
325,15,10,first,5,100000,18523307,20081440,3447865379,4048324726,3727820546,1558133,40549013
325,17,6,second,5,100000,18523866,20089038,3448065766,4051295598,3729263613,1565172,40834138
325,15,10,first,6,100000,18520157,20084127,3446665121,4049425403,3727698347,1563970,40693830
325,17,6,second,6,100000,18513980,20081273,3444564874,4048359533,3726015004,1567293,40894399
325,15,10,first,7,100000,18515427,20078896,3444933539,4047333566,3725706776,1563469,40853553
325,17,6,second,7,100000,18523772,20078289,3447967702,4047143023,3727452161,1554517,40206403
325,15,10,first,8,100000,18524729,20088317,3448487295,4051126617,3729341329,1563588,40931254
325,17,6,second,8,100000,18515088,20078464,3444815466,4047198598,3725656618,1563376,40700828
325,15,10,first,9,100000,18522956,20085216,3447571974,4049757368,3728367195,1562260,40594952
325,17,6,second,9,100000,18526377,20085640,3449063949,4049975808,3729228895,1559263,40581967
325,15,10,first,10,100000,18526366,20083239,3448891138,4049091149,3728768279,1556873,40445729
325,17,6,second,10,100000,18522938,20080756,3447757598,4048116982,3727715755,1557818,40443070
325,15,10,first,11,100000,18523849,20080388,3448110523,4048016374,3727838397,1556539,40450103
325,17,6,second,11,100000,18519185,20083614,3446369207,4049253900,3727377648,1564429,40867811
325,15,10,first,12,100000,18518618,20083369,3446176180,4049131153,3727216930,1564751,40873473
325,17,6,second,12,100000,18519374,20079877,3446429128,4047746221,3726803677,1560503,40567995
325,15,10,first,13,100000,18511532,20081275,3443614160,4048256075,3725502000,1569743,40866235
325,17,6,second,13,100000,18523325,20082495,3447945803,4048758117,3728094700,1559170,40514520
325,15,10,first,14,100000,18513838,20075333,3444399650,4045946451,3724849495,1561495,40647111
325,17,6,second,14,100000,18522205,20082790,3447425371,4048827516,3727868265,1560585,40516357
325,15,10,first,15,100000,18521289,20076801,3447036659,4046475761,3726620940,1555512,40270540
325,17,6,second,15,100000,18518821,20077457,3446134705,4046778877,3726248223,1558636,40417136
325,15,10,first,16,100000,18523391,20085173,3447879559,4049897461,3728479394,1561782,40818232
325,17,6,second,16,100000,18521296,20082084,3447159562,4048592430,3727524075,1560788,40703842
325,15,10,first,17,100000,18520842,20080692,3446967574,4048000318,3727182920,1559850,40602052
325,17,6,second,17,100000,18518547,20083827,3446199699,4049270145,3727323959,1565280,40821926
325,15,10,first,18,100000,18526468,20088681,3448961168,4051152979,3729775106,1562213,40563935
325,17,6,second,18,100000,18514447,20074583,3444438455,4045353827,3724683296,1560136,40425690
325,15,10,first,19,100000,18516978,20076577,3445396460,4046301027,3725619404,1559599,40458679
325,17,6,second,19,100000,18527114,20087441,3449319574,4050731213,3729731336,1560327,40588115
325,15,10,first,20,100000,18510092,20071528,3442953000,4044260144,3723240645,1561436,40731854
325,17,6,second,20,100000,18519467,20075178,3446357801,4045836576,3725889142,1555711,40416093
325,15,10,first,21,100000,18513965,20079488,3444473081,4047530338,3725571368,1565523,40860683
325,17,6,second,21,100000,18511060,20082528,3443412264,4048804556,3725553810,1571468,41109200
325,15,10,first,22,100000,18521779,20084993,3447285209,4049829639,3728238815,1563214,40637218
325,17,6,second,22,100000,18517480,20083720,3445835390,4049252158,3727116498,1566240,40854552
325,15,10,first,23,100000,18519375,20079847,3446308809,4047700951,3726745993,1560472,40517774
325,17,6,second,23,100000,18515356,20079647,3444969990,4047568871,3725810247,1564291,40918367
325,15,10,first,24,100000,18520942,20081725,3447005154,4048585211,3727495205,1560783,40599955
325,17,6,second,24,100000,18508178,20080032,3442420664,4047909026,3724508815,1571854,41312060
325,15,10,first,25,100000,18523753,20081738,3447995019,4048605750,3728026864,1557985,40547041
325,17,6,second,25,100000,18523896,20076448,3448026992,4046232718,3726991044,1552552,40277622
325,15,10,first,26,100000,18514691,20081558,3444803367,4048434534,3726135101,1566867,40967699
325,17,6,second,26,100000,18525671,20083032,3448737153,4048988464,3728716172,1557361,40293273
325,15,10,first,27,100000,18520787,20080913,3446815169,4048077435,3727129995,1560126,40632614
325,17,6,second,27,100000,18518592,20078356,3446043766,4047228888,3726315501,1559764,40641652
325,15,10,first,28,100000,18521879,20087410,3447353131,4050805548,3728687948,1565531,40782783
325,17,6,second,28,100000,18513482,20075708,3444325934,4046043046,3724821145,1562226,40726690
325,15,10,first,29,100000,18522297,20082980,3447547337,4049045624,3728017389,1560683,40558183
325,17,6,second,29,100000,18523090,20080358,3447718732,4048005660,3727639181,1557268,40446030
325,15,10,first,30,100000,18515915,20082238,3445087985,4048661654,3726453342,1566323,40842955
325,17,6,second,30,100000,18518502,20082248,3446065534,4048604354,3727026536,1563746,40616816
325,15,10,first,31,100000,18513079,20077152,3444025451,4046632750,3724944128,1564073,40769945
325,17,6,second,31,100000,18517002,20082437,3445542236,4048671071,3726670428,1565435,40872451
325,15,10,first,32,100000,18524430,20080150,3448322042,4047841998,3727874093,1555720,40415854
325,17,6,second,32,100000,18519147,20081070,3446286853,4048347248,3726977855,1561923,40678391
325,15,10,first,33,100000,18517313,20083325,3445705421,4049206271,3727037001,1566012,40837690
325,17,6,second,33,100000,18514986,20081533,3444793152,4048369869,3726138168,1566547,40886685
325,15,10,first,34,100000,18518399,20083495,3446079039,4049171405,3727194936,1565096,40860572
325,17,6,second,34,100000,18518724,20086588,3446128226,4050456790,3727861139,1567864,40862738
325,15,10,first,35,100000,18517540,20081244,3445651192,4048234360,3726548875,1563704,40787802
325,17,6,second,35,100000,18518764,20076841,3446116190,4046498749,3726064655,1558077,40485629
325,15,10,first,36,100000,18516677,20082738,3445311681,4048903386,3726636154,1566061,40942759
325,17,6,second,36,100000,18516134,20080031,3445222502,4047707587,3726083229,1563897,40763631
325,15,10,first,37,100000,18521643,20085287,3447204147,4050120953,3728289278,1563644,40746544
325,17,6,second,37,100000,18519213,20085185,3446374469,4049745905,3727567792,1565972,40984790
325,15,10,first,38,100000,18511847,20073811,3443520307,4045280729,3724129116,1561964,40542804
325,17,6,second,38,100000,18506663,20076143,3441803317,4046235733,3723461193,1569480,41116664
325,15,10,first,39,100000,18522251,20081196,3447509737,4048327480,3727734304,1558945,40368609
325,17,6,second,39,100000,18515137,20083495,3444952857,4049157773,3726546228,1568358,41018174
325,15,10,first,40,100000,18518386,20083137,3445950546,4049046997,3727131387,1564751,40734769
325,17,6,second,40,100000,18508225,20074856,3442265157,4045775546,3723561219,1566631,40918265
325,15,10,first,41,100000,18519586,20084950,3446413648,4049759934,3727683411,1565364,40806760
325,17,6,second,41,100000,18522651,20085109,3447735673,4049795329,3728384849,1562458,40761304
325,15,10,first,42,100000,18522689,20085868,3447557969,4050052230,3728466090,1563179,40678019
325,17,6,second,42,100000,18518648,20082262,3446204994,4048772518,3727074198,1563614,40829116
325,15,10,first,43,100000,18516614,20082972,3445389278,4048976852,3726747658,1566358,40870814
325,17,6,second,43,100000,18518588,20083320,3446028926,4049108346,3727144054,1564732,40849164
325,15,10,first,44,100000,18517598,20083544,3445714328,4049223364,3727035791,1565946,40866110
325,17,6,second,44,100000,18520185,20069623,3446626817,4043571517,3725077937,1549438,40042460
325,15,10,first,45,100000,18522731,20080823,3447651795,4048138431,3727619516,1558092,40551194
325,17,6,second,45,100000,18517077,20086000,3445704779,4050176708,3727393658,1568923,41094171
325,15,10,first,46,100000,18516538,20073032,3445440588,4044959842,3724956601,1556494,40487228
325,17,6,second,46,100000,18512041,20079319,3443823557,4047655981,3725341629,1567278,40796280
325,15,10,first,47,100000,18524072,20087424,3448049458,4050775496,3729071716,1563352,40681522
325,17,6,second,47,100000,18520519,20084987,3446912375,4049821095,3727915307,1564468,40902856
325,15,10,first,48,100000,18522958,20082849,3447748270,4048888773,3728027786,1559891,40581471
325,17,6,second,48,100000,18520150,20086280,3446721120,4050299422,3728059138,1566130,40902266
325,15,10,first,49,100000,18517279,20081960,3445693323,4048618932,3726751863,1564681,40808529
325,17,6,second,49,100000,18515583,20082153,3445065789,4048662203,3726406967,1566570,40914058
325,15,10,first,50,100000,18520521,20081716,3446810321,4048513516,3727382884,1561195,40558069
325,17,6,second,50,100000,18523457,20079327,3447807999,4047465107,3727506997,1555870,40259112
325,15,10,first,51,100000,18521496,20080586,3447264646,4048105894,3727392474,1559090,40585592
325,17,6,second,51,100000,18523045,20082700,3447945329,4048855734,3728117142,1559655,40566779
325,15,10,first,52,100000,18512498,20075431,3443735076,4045968695,3724437083,1562933,40829605
325,17,6,second,52,100000,18520240,20091486,3446870288,4052413894,3729073635,1571246,41136912
325,15,10,first,53,100000,18515262,20076557,3444848134,4046378721,3725349196,1561295,40528463
325,17,6,second,53,100000,18515197,20077213,3444754633,4046647235,3725379306,1562016,40643256
325,15,10,first,54,100000,18514529,20077950,3444554277,4046881418,3725390954,1563421,40653787
325,17,6,second,54,100000,18513112,20081742,3444354602,4048526198,3725876607,1568630,41127586
325,15,10,first,55,100000,18519475,20083058,3446428811,4049127718,3727411777,1563583,40732975
325,17,6,second,55,100000,18520515,20084404,3446869315,4049598346,3727878506,1563889,40710649
325,15,10,first,56,100000,18520826,20082714,3446949956,4048982312,3727597333,1561888,40737602
325,17,6,second,56,100000,18523641,20084693,3447988369,4049644787,3728499512,1561052,40634132
325,15,10,first,57,100000,18521241,20082705,3447250859,4048852379,3727782741,1561464,40537756
325,17,6,second,57,100000,18523182,20084474,3447821888,4049529962,3728354455,1561292,40642940
325,15,10,first,58,100000,18517822,20080662,3445917736,4048005210,3726607205,1562840,40708536
325,17,6,second,58,100000,18512273,20081365,3443781301,4048409131,3725580886,1569092,41028660
325,15,10,first,59,100000,18519899,20076563,3446575213,4046330215,3726235167,1556664,40435094
325,17,6,second,59,100000,18519411,20078518,3446358995,4047046754,3726420479,1559107,40564791
325,15,10,first,60,100000,18517303,20085344,3445733423,4049865842,3727317768,1568041,40963729
325,17,6,second,60,100000,18517035,20082290,3445561371,4048627722,3726692413,1565255,40804267
325,15,10,first,61,100000,18515004,20077795,3444862558,4047033831,3725561279,1562791,40773831
325,17,6,second,61,100000,18521806,20079945,3447276122,4047681757,3727222115,1558139,40513649
325,15,10,first,62,100000,18519669,20083016,3446545699,4048970662,3727379231,1563347,40757899
325,17,6,second,62,100000,18516850,20082531,3445525414,4048880795,3726742007,1565681,40922195
325,15,10,first,63,100000,18520059,20080113,3446550647,4047901043,3726912088,1560054,40627514
325,17,6,second,63,100000,18513239,20079378,3444254081,4047584870,3725393807,1566139,41051337
325,15,10,first,64,100000,18513947,20080067,3444369477,4047696405,3725636766,1566120,40792350
325,17,6,second,64,100000,18516762,20081791,3445622454,4048467807,3726669159,1565029,40751943
325,15,10,first,65,100000,18521618,20080980,3447356584,4048310410,3727485616,1559362,40695762
325,17,6,second,65,100000,18513051,20077245,3444106111,4046620095,3725052479,1564194,40621248
325,15,10,first,66,100000,18518329,20083935,3446018815,4049341947,3727268683,1565606,40823396
325,17,6,second,66,100000,18523337,20085295,3448002947,4049986001,3728612245,1561958,40764458
325,15,10,first,67,100000,18517545,20084367,3445884079,4049615221,3727268572,1566822,40962156
325,17,6,second,67,100000,18517629,20080377,3445799297,4047930281,3726544567,1562748,40640444
325,15,10,first,68,100000,18522989,20087272,3447742047,4050603704,3728792369,1564283,40761013
325,17,6,second,68,100000,18516343,20081388,3445314821,4048383968,3726473331,1565045,40752127
325,15,10,first,69,100000,18518486,20079741,3446102426,4047552833,3726570629,1561255,40514001
325,17,6,second,69,100000,18522332,20087038,3447596916,4050588062,3728752982,1564706,40679014
325,15,10,first,70,100000,18518065,20080967,3445919875,4048219833,3726667581,1562902,40804546
325,17,6,second,70,100000,18519141,20077374,3446336061,4046691788,3726285289,1558233,40457271
325,15,10,first,71,100000,18523005,20088053,3447763597,4051022745,3728974686,1565048,40836970
325,17,6,second,71,100000,18515132,20079018,3444870268,4047337290,3725800040,1563886,40607478
325,15,10,first,72,100000,18513357,20083151,3444178747,4049125971,3726169383,1569794,40965952
325,17,6,second,72,100000,18522339,20081591,3447553355,4048354581,3727681123,1559252,40545690
325,15,10,first,73,100000,18518686,20083010,3446198286,4048954190,3727200809,1564324,40750858
325,17,6,second,73,100000,18520649,20084483,3446961839,4049607083,3727838981,1563834,40890960
325,15,10,first,74,100000,18519572,20084053,3446333710,4049407779,3727541042,1564481,40659405
325,17,6,second,74,100000,18511953,20078703,3443680841,4047335363,3725070191,1566750,40875822
325,15,10,first,75,100000,18517545,20080863,3445847691,4048270391,3726699492,1563318,40719098
325,17,6,second,75,100000,18514120,20080417,3444428612,4048049517,3725781063,1566297,40916003
325,15,10,first,76,100000,18519992,20084189,3446567326,4049408129,3727613100,1564197,40749255
325,17,6,second,76,100000,18519602,20084000,3446641940,4049458284,3727672809,1564398,40754606
325,15,10,first,77,100000,18516116,20080475,3445248528,4047855339,3726197142,1564359,40709583
325,17,6,second,77,100000,18524178,20084207,3448235458,4049457505,3728533070,1560029,40626823
325,15,10,first,78,100000,18520124,20082134,3446777528,4048731234,3727313066,1562010,40882630
325,17,6,second,78,100000,18519049,20083752,3446358873,4049292462,3727403141,1564703,40845053
325,15,10,first,79,100000,18524550,20081397,3448256696,4048405305,3728144770,1556847,40372461
325,17,6,second,79,100000,18518702,20081210,3446156090,4048257790,3726864603,1562508,40684674
325,15,10,first,80,100000,18520636,20077597,3446949624,4046860839,3726687119,1556961,40436225
325,17,6,second,80,100000,18520225,20081957,3446761621,4048429167,3727194158,1561732,40802472
325,15,10,first,81,100000,18515414,20076052,3444983818,4046296322,3725323749,1560638,40632642
325,17,6,second,81,100000,18516639,20079325,3445448417,4047461289,3726089239,1562686,40731228
325,15,10,first,82,100000,18512423,20076860,3443919253,4046690092,3724792876,1564437,41023593
325,17,6,second,82,100000,18516899,20076247,3445522465,4046231521,3725583669,1559348,40586648
325,15,10,first,83,100000,18518657,20082329,3446123279,4048716193,3727082009,1563672,40675454
325,17,6,second,83,100000,18511884,20073566,3443579396,4045346724,3724116593,1561682,40692934
325,15,10,first,84,100000,18514379,20085826,3444606987,4050207634,3726841084,1571447,41132453
325,17,6,second,84,100000,18514678,20083444,3444748514,4049223878,3726453443,1568766,41065506
325,15,10,first,85,100000,18517388,20077853,3445668726,4046897165,3725959984,1560465,40645923
325,17,6,second,85,100000,18519732,20082621,3446479736,4048852199,3727374534,1562889,40582867
325,15,10,first,86,100000,18517906,20078747,3445771932,4047204053,3726203022,1560841,40569941
325,17,6,second,86,100000,18518737,20078296,3446154239,4047109706,3726385746,1559559,40492453
325,15,10,first,87,100000,18518323,20076312,3446154591,4046346628,3726002691,1557989,40495837
325,17,6,second,87,100000,18522911,20085768,3447654399,4050061994,3728475945,1562857,40764503
325,15,10,first,88,100000,18514732,20075758,3444592016,4046076036,3725031942,1561026,40604168
325,17,6,second,88,100000,18513835,20081046,3444416031,4048144790,3725827239,1567211,40906343
325,15,10,first,89,100000,18516930,20080776,3445543914,4048079494,3726481198,1563846,40661012
325,17,6,second,89,100000,18526689,20088429,3449031487,4051084131,3729805448,1561740,40504722
325,15,10,first,90,100000,18516501,20077565,3445382653,4046645667,3725712227,1561064,40603866
325,17,6,second,90,100000,18522075,20089898,3447569235,4051734428,3729148567,1567823,41006529
325,15,10,first,91,100000,18517283,20080329,3445497279,4047907673,3726323949,1563046,40757054
325,17,6,second,91,100000,18506619,20077341,3441718855,4046720551,3723720515,1570722,40998376
325,15,10,first,92,100000,18520623,20079296,3446816153,4047442710,3726897998,1558673,40462867
325,17,6,second,92,100000,18521159,20080164,3447121701,4047800832,3727190285,1559005,40541963
325,15,10,first,93,100000,18520845,20083704,3447030389,4049118156,3727717011,1562859,40714523
325,17,6,second,93,100000,18516292,20080517,3445246476,4047987957,3726258933,1564225,40716567
325,15,10,first,94,100000,18518738,20080321,3446052584,4047849003,3726669836,1561583,40561915
325,17,6,second,94,100000,18513504,20081665,3444308362,4048376135,3725869533,1568161,40945431
325,15,10,first,95,100000,18516749,20078452,3445361843,4047159652,3725928968,1561703,40663559
325,17,6,second,95,100000,18519206,20075527,3446271138,4046025235,3725878948,1556321,40538477
325,15,10,first,96,100000,18513641,20077072,3444207735,4046666050,3725062113,1563431,40749559
325,17,6,second,96,100000,18514634,20078146,3444685030,4047012272,3725539320,1563512,40618662
325,15,10,first,97,100000,18521027,20086090,3447071245,4050268526,3728272336,1565063,40795099
325,17,6,second,97,100000,18520213,20080374,3446800533,4047943532,3727035153,1560161,40673759
325,15,10,first,98,100000,18516857,20082013,3445552925,4048617155,3726690862,1565156,40788356
325,17,6,second,98,100000,18523138,20080927,3447798342,4048055173,3727674169,1557789,40505177
325,15,10,first,99,100000,18511907,20081685,3443775267,4048372985,3725553938,1569778,41040376
325,17,6,second,99,100000,18522972,20080003,3447654466,4047782353,3727485349,1557031,40466121
