n,a,b,orientation,batch,samples,kind,k,count
425,20,5,first,0,100000,minus,150,1
425,20,5,first,0,100000,minus,154,2
425,20,5,first,0,100000,minus,156,1
425,20,5,first,0,100000,minus,161,1
425,20,5,first,0,100000,minus,163,2
425,20,5,first,0,100000,minus,166,1
425,20,5,first,0,100000,minus,167,1
425,20,5,first,0,100000,minus,168,1
425,20,5,first,0,100000,minus,169,3
425,20,5,first,0,100000,minus,170,2
425,20,5,first,0,100000,minus,171,1
425,20,5,first,0,100000,minus,172,2
425,20,5,first,0,100000,minus,173,3
425,20,5,first,0,100000,minus,174,1
425,20,5,first,0,100000,minus,175,2
425,20,5,first,0,100000,minus,176,7
425,20,5,first,0,100000,minus,178,4
425,20,5,first,0,100000,minus,179,5
425,20,5,first,0,100000,minus,180,7
425,20,5,first,0,100000,minus,181,9
425,20,5,first,0,100000,minus,182,7
425,20,5,first,0,100000,minus,183,13
425,20,5,first,0,100000,minus,184,18
425,20,5,first,0,100000,minus,185,13
425,20,5,first,0,100000,minus,186,13
425,20,5,first,0,100000,minus,187,16
425,20,5,first,0,100000,minus,188,21
425,20,5,first,0,100000,minus,189,25
425,20,5,first,0,100000,minus,190,26
425,20,5,first,0,100000,minus,191,37
425,20,5,first,0,100000,plus,191,1
425,20,5,first,0,100000,minus,192,28
425,20,5,first,0,100000,minus,193,35
425,20,5,first,0,100000,minus,194,54
425,20,5,first,0,100000,minus,195,49
425,20,5,first,0,100000,minus,196,57
425,20,5,first,0,100000,minus,197,60
425,20,5,first,0,100000,minus,198,76
425,20,5,first,0,100000,plus,198,1
425,20,5,first,0,100000,minus,199,101
425,20,5,first,0,100000,plus,199,1
425,20,5,first,0,100000,minus,200,105
425,20,5,first,0,100000,minus,201,131
425,20,5,first,0,100000,minus,202,115
425,20,5,first,0,100000,plus,202,1
425,20,5,first,0,100000,minus,203,128
425,20,5,first,0,100000,plus,203,4
425,20,5,first,0,100000,minus,204,159
425,20,5,first,0,100000,minus,205,165
425,20,5,first,0,100000,plus,205,1
425,20,5,first,0,100000,minus,206,195
425,20,5,first,0,100000,plus,206,4
425,20,5,first,0,100000,minus,207,211
425,20,5,first,0,100000,plus,207,8
425,20,5,first,0,100000,minus,208,239
425,20,5,first,0,100000,plus,208,2
425,20,5,first,0,100000,minus,209,268
425,20,5,first,0,100000,plus,209,4
425,20,5,first,0,100000,minus,210,295
425,20,5,first,0,100000,plus,210,5
425,20,5,first,0,100000,minus,211,324
425,20,5,first,0,100000,plus,211,7
425,20,5,first,0,100000,minus,212,347
425,20,5,first,0,100000,plus,212,6
425,20,5,first,0,100000,minus,213,407
425,20,5,first,0,100000,plus,213,13
425,20,5,first,0,100000,minus,214,441
425,20,5,first,0,100000,plus,214,17
425,20,5,first,0,100000,minus,215,492
425,20,5,first,0,100000,plus,215,18
425,20,5,first,0,100000,minus,216,543
425,20,5,first,0,100000,plus,216,17
425,20,5,first,0,100000,minus,217,565
425,20,5,first,0,100000,plus,217,30
425,20,5,first,0,100000,minus,218,647
425,20,5,first,0,100000,plus,218,36
425,20,5,first,0,100000,minus,219,702
425,20,5,first,0,100000,plus,219,40
425,20,5,first,0,100000,minus,220,767
425,20,5,first,0,100000,plus,220,50
425,20,5,first,0,100000,minus,221,860
