n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
425,20,5,first,0,100000,24292963,26153363,5925987579,6862921477,6365406318,1860400,58096420
425,19,8,second,0,100000,24289565,26152346,5924021643,6862330668,6364113597,1862781,58125117
425,20,5,first,1,100000,24308519,26161075,5933405897,6866839629,6371312237,1852556,57621052
425,19,8,second,1,100000,24303864,26154940,5931031288,6863641422,6368529116,1851076,57614478
425,20,5,first,2,100000,24298937,26149366,5928705767,6860681104,6366067055,1850429,57252761
425,19,8,second,2,100000,24298347,26154495,5928172253,6863558655,6366942171,1856148,57846566
425,20,5,first,3,100000,24299489,26150556,5928769105,6861315774,6366312554,1851067,57459771
425,19,8,second,3,100000,24302424,26148814,5930076076,6860473930,6366671200,1846390,57207606
425,20,5,first,4,100000,24307804,26146203,5933048848,6858934151,6367681395,1838399,56620209
425,19,8,second,4,100000,24306833,26154826,5932471257,6863577992,6369453314,1847993,57142621
425,20,5,first,5,100000,24300896,26147854,5929474724,6859824344,6366050414,1846958,57198240
425,19,8,second,5,100000,24305563,26156258,5931629133,6864242162,6369349774,1850695,57171747
425,20,5,first,6,100000,24296784,26153386,5927631350,6862837438,6366390874,1856602,57687040
425,19,8,second,6,100000,24300411,26145374,5929303859,6858593420,6365457883,1844963,56981513
425,20,5,first,7,100000,24295939,26149918,5927162213,6861006414,6365302993,1853979,57562641
425,19,8,second,7,100000,24299331,26151885,5928816561,6862081341,6366640876,1852554,57616150
425,20,5,first,8,100000,24290038,26145307,5924179582,6858490413,6362472260,1855269,57725475
425,19,8,second,8,100000,24303445,26157229,5930769835,6864861755,6369069589,1853784,57492412
425,20,5,first,9,100000,24300050,26147847,5929121740,6859828449,6365878305,1847797,57193579
425,19,8,second,9,100000,24297087,26155154,5927773877,6863664176,6366755566,1858067,57926921
425,20,5,first,10,100000,24301535,26154823,5929756097,6863352223,6367777465,1853288,57553390
425,19,8,second,10,100000,24297614,26148230,5927973702,6860196206,6365395032,1850616,57379844
425,20,5,first,11,100000,24311757,26151571,5934589737,6861701867,6369775417,1839814,56740770
425,19,8,second,11,100000,24300630,26151675,5929536238,6861832117,6366914779,1851045,57538797
425,20,5,first,12,100000,24302874,26152637,5930423714,6862385961,6367722919,1849763,57363837
425,19,8,second,12,100000,24302338,26148752,5930189672,6860478494,6366690356,1846414,57287454
425,20,5,first,13,100000,24306775,26151505,5932502755,6861872741,6368610715,1844730,57154066
425,19,8,second,13,100000,24305630,26149385,5931819230,6860767251,6367820272,1843755,56945937
425,20,5,first,14,100000,24296379,26152850,5927360561,6862568402,6366035859,1856471,57857245
425,19,8,second,14,100000,24289563,26148676,5924066281,6860473162,6363367040,1859113,57805363
425,20,5,first,15,100000,24303817,26151473,5930888693,6861884311,6367773847,1847656,57225310
425,19,8,second,15,100000,24296393,26147108,5927211589,6859429384,6364611478,1850715,57418017
425,20,5,first,16,100000,24293205,26145743,5925890137,6858875825,6363620153,1852538,57525656
425,19,8,second,16,100000,24304597,26153861,5931273039,6863019035,6368442116,1849264,57407842
425,20,5,first,17,100000,24303477,26156164,5930736445,6864347816,6368830497,1852687,57423267
425,19,8,second,17,100000,24305435,26153545,5931759407,6862834019,6368674586,1848110,57244254
425,20,5,first,18,100000,24294372,26141952,5926295984,6856752558,6363016557,1847580,57015428
425,19,8,second,18,100000,24296126,26149209,5927107396,6860575513,6365066789,1853083,57549331
425,20,5,first,19,100000,24299922,26156334,5929106598,6864283936,6367857164,1856412,57676206
425,19,8,second,19,100000,24296356,26157455,5927356542,6864939487,6367258299,1861099,57779431
425,20,5,first,20,100000,24295206,26154753,5926925694,6863622495,6366294698,1859547,57958793
425,19,8,second,20,100000,24302043,26155365,5929994943,6863949117,6368121794,1853322,57700472
425,20,5,first,21,100000,24289317,26147051,5923994473,6859577835,6362845939,1857734,57880430
425,19,8,second,21,100000,24288594,26141020,5923314540,6856417498,6361181271,1852426,57369496
425,20,5,first,22,100000,24297843,26137394,5928175357,6854275574,6362876345,1839551,56698241
425,19,8,second,22,100000,24307719,26154449,5932595115,6863236369,6369472740,1846730,56886004
425,20,5,first,23,100000,24296516,26152208,5927418016,6862083724,6365791499,1855692,57918742
425,19,8,second,23,100000,24304171,26154573,5931059343,6863434739,6368565082,1850402,57363918
425,20,5,first,24,100000,24303240,26159265,5930673752,6865794445,6369431924,1856025,57604349
425,19,8,second,24,100000,24294974,26149171,5926677570,6860626493,6364838439,1854197,57627185
425,20,5,first,25,100000,24296230,26157802,5927488786,6865305534,6367400888,1861572,57992544
425,19,8,second,25,100000,24291048,26150114,5924756414,6861045016,6364005176,1859066,57791078
425,20,5,first,26,100000,24287864,26145957,5923098472,6858717121,6362045732,1858093,57724129
425,19,8,second,26,100000,24297525,26147632,5927759983,6859940370,6365217621,1850107,57265111
425,20,5,first,27,100000,24297220,26154195,5927917884,6863304261,6366643668,1856975,57934809
425,19,8,second,27,100000,24306861,26158174,5932404909,6865331596,6370296396,1851313,57143713
425,20,5,first,28,100000,24289564,26140894,5924152634,6856352976,6361507074,1851330,57491462
425,19,8,second,28,100000,24290891,26146329,5924831253,6859126089,6363118088,1855438,57721166
425,20,5,first,29,100000,24297645,26147094,5927936041,6859481508,6365091577,1849449,57234395
425,19,8,second,29,100000,24308108,26152784,5932946548,6862256552,6369043952,1844676,57115196
425,20,5,first,30,100000,24309750,26153133,5933597488,6862510617,6369631850,1843383,56844405
425,19,8,second,30,100000,24299181,26154749,5928784677,6863477135,6367223968,1855568,57813876
425,20,5,first,31,100000,24296645,26151761,5927493251,6861986481,6365931515,1855116,57616702
425,19,8,second,31,100000,24300762,26151327,5929499056,6861665401,6366877772,1850565,57408913
425,20,5,first,32,100000,24305096,26157047,5931537904,6864781591,6369461085,1851951,57397325
425,19,8,second,32,100000,24307551,26160049,5932666285,6866354499,6370860836,1852498,57299112
425,20,5,first,33,100000,24298565,26149311,5928404169,6860548163,6365823773,1850746,57304786
425,19,8,second,33,100000,24299252,26146779,5928639298,6859220475,6365356772,1847527,57146229
425,20,5,first,34,100000,24299128,26152639,5928603816,6862478819,6366748814,1853511,57585007
425,19,8,second,34,100000,24305874,26150762,5931865358,6861501078,6368297383,1844888,56771670
425,20,5,first,35,100000,24299827,26152342,5928881415,6862182550,6366834524,1852515,57394917
425,19,8,second,35,100000,24299417,26153238,5928621191,6862614244,6366895885,1853821,57443665
425,20,5,first,36,100000,24302244,26151069,5930411664,6861539623,6367233572,1848825,57484143
425,19,8,second,36,100000,24299305,26154132,5928853611,6863323398,6367196466,1854827,57784077
425,20,5,first,37,100000,24298656,26148744,5928373326,6860398612,6365702166,1850088,57367606
425,19,8,second,37,100000,24296012,26148285,5927077812,6860128705,6364883888,1852273,57438741
425,20,5,first,38,100000,24294145,26145924,5926209617,6858775352,6363695364,1851779,57594241
425,19,8,second,38,100000,24309960,26159839,5933811322,6866206729,6371376157,1849879,57265737
425,20,5,first,39,100000,24302580,26151351,5930515076,6861805393,6367549341,1848771,57221787
425,19,8,second,39,100000,24301868,26156992,5930154794,6864766952,6368693402,1855124,57534942
425,20,5,first,40,100000,24290902,26146912,5924839212,6859446782,6363373573,1856010,57538848
425,19,8,second,40,100000,24301232,26149573,5929799634,6860765627,6366676585,1848341,57212091
425,20,5,first,41,100000,24301598,26155950,5929953968,6864263840,6368304946,1854352,57607916
425,19,8,second,41,100000,24300058,26143501,5929166782,6857630723,6364923381,1843443,56950743
425,20,5,first,42,100000,24302716,26151055,5930173450,6861801457,6367321242,1848339,57332423
425,19,8,second,42,100000,24299059,26154777,5928572607,6863591227,6367248100,1855718,57667634
425,20,5,first,43,100000,24290062,26144977,5924372092,6858483691,6362468623,1854915,57918537
425,19,8,second,43,100000,24301021,26147040,5929435707,6859462440,6365865934,1846019,57166279
425,20,5,first,44,100000,24293547,26150172,5926180895,6861209838,6364800585,1856625,57789563
425,19,8,second,44,100000,24296231,26149086,5927068793,6860583154,6365055249,1852855,57541449
425,20,5,first,45,100000,24300922,26149075,5929809518,6860483907,6366570972,1848153,57151481
425,19,8,second,45,100000,24296060,26151531,5927095348,6861752185,6365531798,1855471,57783937
425,20,5,first,46,100000,24294216,26147182,5926426864,6859716194,6364357343,1852966,57428372
425,19,8,second,46,100000,24299389,26152404,5928823359,6862359258,6366850979,1853015,57480659
425,20,5,first,47,100000,24292223,26149658,5925499031,6861017062,6364320938,1857435,57874217
425,19,8,second,47,100000,24298576,26146590,5928227552,6859143822,6365047390,1848014,57276594
425,20,5,first,48,100000,24302935,26158706,5930655381,6865636088,6369306202,1855771,57679065
425,19,8,second,48,100000,24295251,26151987,5926752249,6862090115,6365623400,1856736,57595564
425,20,5,first,49,100000,24300076,26154622,5929236904,6863647218,6367598548,1854546,57687026
425,19,8,second,49,100000,24293063,26144258,5925660073,6858187494,6363227628,1851195,57392311
425,20,5,first,50,100000,24299781,26151164,5928931947,6861732096,6366642148,1851383,57379747
425,19,8,second,50,100000,24302294,26152583,5930082668,6862356161,6367609385,1850289,57220059
425,20,5,first,51,100000,24302530,26157499,5930276140,6864894571,6368810763,1854969,57549185
425,19,8,second,51,100000,24300767,26153872,5929352651,6863011062,6367387914,1853105,57587885
425,20,5,first,52,100000,24296428,26149659,5927486116,6860838851,6365414754,1853231,57495459
425,19,8,second,52,100000,24292063,26154746,5925366471,6863579836,6365490432,1862683,57965443
425,20,5,first,53,100000,24304622,26146736,5931319238,6859302422,6366818728,1842114,56984204
425,19,8,second,53,100000,24303918,26156401,5930986318,6864389311,6368890929,1852483,57593771
425,20,5,first,54,100000,24288400,26142519,5923755480,6857230169,6361572726,1854119,57840197
425,19,8,second,54,100000,24301665,26148287,5929983375,6860059903,6366392331,1846622,57258616
425,20,5,first,55,100000,24297965,26149047,5928282449,6860647189,6365740851,1851082,57447936
425,19,8,second,55,100000,24300922,26155114,5929358664,6863582582,6367790707,1854192,57359832
425,20,5,first,56,100000,24293429,26151025,5926034243,6861787539,6365041060,1857596,57739662
425,19,8,second,56,100000,24301504,26155053,5929656838,6863556031,6367826930,1853549,57559009
425,20,5,first,57,100000,24291973,26147752,5925342377,6859911752,6363759083,1855779,57735963
425,19,8,second,57,100000,24294749,26146686,5926474755,6859105044,6364075899,1851937,57428001
425,20,5,first,58,100000,24304788,26151033,5931204620,6861234159,6367687931,1846245,57062917
425,19,8,second,58,100000,24302606,26151326,5930386944,6861470466,6367369480,1848720,57118450
425,20,5,first,59,100000,24303382,26145891,5930668222,6858618059,6366180641,1842509,56924999
425,19,8,second,59,100000,24292968,26156231,5925624286,6864356899,6365966159,1863263,58048867
425,20,5,first,60,100000,24299138,26156624,5928796878,6864532034,6367825433,1857486,57678046
425,19,8,second,60,100000,24302256,26150412,5930078870,6861019158,6367049416,1848156,56999196
425,20,5,first,61,100000,24305031,26160740,5931598217,6866784184,6370339610,1855709,57703181
425,19,8,second,61,100000,24301305,26151935,5929765661,6862042073,6367232446,1850630,57342842
425,20,5,first,62,100000,24303926,26159350,5931001824,6865820796,6369611726,1855424,57599168
425,19,8,second,62,100000,24299870,26150748,5928904502,6861337060,6366454187,1850878,57333188
425,20,5,first,63,100000,24300976,26158525,5929564546,6865612277,6368641910,1857549,57893003
425,19,8,second,63,100000,24301402,26155391,5929737244,6863985707,6368041602,1853989,57639747
425,20,5,first,64,100000,24298306,26149877,5928211662,6860999777,6365866420,1851571,57478599
425,19,8,second,64,100000,24299362,26144341,5928734696,6857907923,6364769470,1844979,57103679
425,20,5,first,65,100000,24296813,26148622,5927412483,6860398308,6365207765,1851809,57395261
425,19,8,second,65,100000,24305460,26154510,5931978678,6863322852,6368951004,1849050,57399522
425,20,5,first,66,100000,24302675,26153168,5930327045,6862587228,6367900659,1850493,57112955
425,19,8,second,66,100000,24298808,26156436,5928563042,6864535820,6367672027,1857628,57754808
425,20,5,first,67,100000,24291627,26150306,5925311237,6861246404,6364300121,1858679,57957399
