n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
125,11,2,first,0,120000,8428067,9445200,597260051,748197090,665719485,1017133,14018171
125,10,5,second,0,120000,8431369,9453958,597653611,749616910,666567724,1022589,14135073
125,11,2,first,1,120000,8432246,9448687,597836834,748776119,666309150,1016441,13994653
125,10,5,second,1,120000,8433670,9448929,597961316,748810391,666406566,1015259,13958575
125,11,2,first,2,120000,8431242,9449717,597663666,748913677,666256508,1018475,14064327
125,10,5,second,2,120000,8434084,9451018,597999768,749156268,666577478,1016934,14001080
125,11,2,first,3,120000,8429307,9451300,597443053,749162874,666222856,1021993,14160215
125,10,5,second,3,120000,8433348,9448305,597928886,748748001,666358505,1014957,13959877
125,11,2,first,4,120000,8428409,9447539,597292293,748601889,665900030,1019130,14094122
125,10,5,second,4,120000,8433971,9450264,598038825,749074416,666535515,1016293,14042211
125,11,2,first,5,120000,8430956,9444316,597633544,748020170,665863464,1013360,13926786
125,10,5,second,5,120000,8429642,9447954,597473734,748717654,666060552,1018312,14070284
125,11,2,first,6,120000,8424674,9449114,596779418,748827996,665695444,1024440,14216526
125,10,5,second,6,120000,8432141,9451051,597792675,749144043,666446286,1018910,14044146
125,11,2,first,7,120000,8431959,9451192,597808125,749121244,666432019,1019233,14065331
125,10,5,second,7,120000,8425898,9445544,596878510,748255972,665532116,1019646,14070250
125,11,2,first,8,120000,8429090,9451617,597354248,749164757,666188833,1022527,14141339
125,10,5,second,8,120000,8432829,9450569,597827107,749037475,666419199,1017740,14026184
125,11,2,first,9,120000,8434364,9450543,598134696,749022753,666581441,1016179,13994567
125,10,5,second,9,120000,8431664,9448357,597669816,748760595,666218738,1016693,13992935
125,11,2,first,10,120000,8432029,9449694,597787575,748894132,666322014,1017665,14037679
125,10,5,second,10,120000,8438065,9451784,598586657,749266998,666970459,1013719,13912737
125,11,2,first,11,120000,8429401,9448252,597388287,748699948,666026452,1018851,14035331
125,10,5,second,11,120000,8429302,9447580,597382590,748643086,665990676,1018278,14044324
125,11,2,first,12,120000,8430889,9450006,597611497,748953254,666244231,1019117,14076289
125,10,5,second,12,120000,8431011,9451357,597595769,749176307,666348506,1020346,14075064
125,11,2,first,13,120000,8430314,9449697,597511438,748856007,666168126,1019383,14031193
125,10,5,second,13,120000,8432161,9447105,597760433,748538081,666179342,1014944,13939830
125,11,2,first,14,120000,8430634,9448175,597585852,748655819,666116798,1017541,14008075
125,10,5,second,14,120000,8434214,9451090,598068852,749148772,666600018,1016876,14017588
125,11,2,first,15,120000,8429073,9451635,597419301,749201965,666215663,1022562,14189940
125,10,5,second,15,120000,8432560,9450168,597828670,749020426,666423169,1017608,14002758
125,11,2,first,16,120000,8427671,9446940,597173053,748475080,665791079,1019269,14065975
125,10,5,second,16,120000,8429680,9448961,597418230,748826571,666099305,1019281,14046191
125,11,2,first,17,120000,8429392,9449072,597431830,748821914,666079102,1019680,14095540
125,10,5,second,17,120000,8435098,9453185,598174324,749470673,666813804,1018087,14017389
125,11,2,first,18,120000,8431228,9445261,597660468,748196719,665979392,1014033,13898403
125,10,5,second,18,120000,8430560,9450520,597562262,749100768,666295594,1019960,14071842
125,11,2,first,19,120000,8425021,9447279,596824405,748535375,665602602,1022258,14154576
125,10,5,second,19,120000,8431495,9446610,597684795,748404296,666067470,1015115,13954151
125,11,2,first,20,120000,8431947,9451249,597812005,749160233,666449460,1019302,14073318
125,10,5,second,20,120000,8432229,9447314,597762963,748550250,666177875,1015085,13957463
125,11,2,first,21,120000,8428504,9448845,597333596,748758167,665981190,1020341,14129383
125,10,5,second,21,120000,8431111,9448714,597636699,748782076,666204195,1017603,14010385
125,11,2,first,22,120000,8426325,9446735,596997583,748441285,665682556,1020410,14073756
125,10,5,second,22,120000,8434735,9450944,598094569,749142076,666628212,1016209,13980221
125,11,2,first,23,120000,8429832,9446628,597495706,748441434,665965365,1016796,14006410
125,10,5,second,23,120000,8431424,9451371,597668488,749238831,666411331,1019947,14084657
125,11,2,first,24,120000,8432194,9443933,597835592,748002917,665970240,1011739,13898029
125,10,5,second,24,120000,8433095,9453315,597888343,749514991,666665901,1020220,14071532
125,11,2,first,25,120000,8429632,9449138,597489114,748838514,666094592,1019506,14138444
125,10,5,second,25,120000,8434931,9451219,598178549,749174415,666668926,1016288,14015112
125,11,2,first,26,120000,8425952,9448709,596933384,748740531,665779327,1022757,14115261
125,10,5,second,26,120000,8433023,9451371,597882221,749189547,666514598,1018348,14042572
125,11,2,first,27,120000,8428566,9448055,597327462,748639531,665936926,1019489,14093141
125,10,5,second,27,120000,8434215,9452318,598019001,749352036,666660707,1018103,14049623
125,11,2,first,28,120000,8429642,9448277,597468066,748666427,666038446,1018635,14057601
125,10,5,second,28,120000,8432259,9450395,597770649,749018545,666366992,1018136,14055210
125,11,2,first,29,120000,8426924,9446539,597097056,748421867,665715524,1019615,14087875
125,10,5,second,29,120000,8432936,9449105,597883676,748852851,666377954,1016169,13980619
