n,a,b,orientation,batch,samples,kind,k,count
25,5,0,first,0,120000,minus,5,21
25,5,0,first,0,120000,minus,6,103
25,5,0,first,0,120000,minus,7,360
25,5,0,first,0,120000,minus,8,951
25,5,0,first,0,120000,minus,9,2078
25,5,0,first,0,120000,plus,9,1
25,5,0,first,0,120000,minus,10,4326
25,5,0,first,0,120000,plus,10,25
25,5,0,first,0,120000,minus,11,7936
25,5,0,first,0,120000,plus,11,148
25,5,0,first,0,120000,minus,12,13490
25,5,0,first,0,120000,plus,12,737
25,5,0,first,0,120000,minus,13,19812
25,5,0,first,0,120000,plus,13,2837
25,5,0,first,0,120000,minus,14,24220
25,5,0,first,0,120000,plus,14,7757
25,5,0,first,0,120000,minus,15,22956
25,5,0,first,0,120000,plus,15,16668
25,5,0,first,0,120000,minus,16,15380
25,5,0,first,0,120000,plus,16,24932
25,5,0,first,0,120000,minus,17,6598
25,5,0,first,0,120000,plus,17,27372
25,5,0,first,0,120000,minus,18,1642
25,5,0,first,0,120000,plus,18,21225
25,5,0,first,0,120000,minus,19,127
25,5,0,first,0,120000,plus,19,12209
25,5,0,first,0,120000,plus,20,4904
25,5,0,first,0,120000,plus,21,1185
25,4,3,second,0,120000,minus,7,66
25,4,3,second,0,120000,minus,8,380
25,4,3,second,0,120000,minus,9,1362
25,4,3,second,0,120000,minus,10,3578
25,4,3,second,0,120000,plus,10,5
25,4,3,second,0,120000,minus,11,7782
25,4,3,second,0,120000,plus,11,109
25,4,3,second,0,120000,minus,12,13644
25,4,3,second,0,120000,plus,12,672
25,4,3,second,0,120000,minus,13,21168
25,4,3,second,0,120000,plus,13,2789
25,4,3,second,0,120000,minus,14,25252
25,4,3,second,0,120000,plus,14,8062
25,4,3,second,0,120000,minus,15,23193
25,4,3,second,0,120000,plus,15,16688
25,4,3,second,0,120000,minus,16,15239
25,4,3,second,0,120000,plus,16,24663
25,4,3,second,0,120000,minus,17,6488
25,4,3,second,0,120000,plus,17,26384
25,4,3,second,0,120000,minus,18,1634
25,4,3,second,0,120000,plus,18,20230
25,4,3,second,0,120000,minus,19,214
25,4,3,second,0,120000,plus,19,11976
25,4,3,second,0,120000,plus,20,5824
25,4,3,second,0,120000,plus,21,2110
25,4,3,second,0,120000,plus,22,488
25,5,0,first,1,120000,minus,5,27
25,5,0,first,1,120000,minus,6,122
25,5,0,first,1,120000,minus,7,340
25,5,0,first,1,120000,minus,8,969
25,5,0,first,1,120000,minus,9,2098
25,5,0,first,1,120000,plus,9,1
25,5,0,first,1,120000,minus,10,4443
25,5,0,first,1,120000,plus,10,29
25,5,0,first,1,120000,minus,11,8005
25,5,0,first,1,120000,plus,11,155
25,5,0,first,1,120000,minus,12,13410
25,5,0,first,1,120000,plus,12,782
25,5,0,first,1,120000,minus,13,19837
25,5,0,first,1,120000,plus,13,2870
25,5,0,first,1,120000,minus,14,24409
25,5,0,first,1,120000,plus,14,7823
25,5,0,first,1,120000,minus,15,22806
25,5,0,first,1,120000,plus,15,16599
25,5,0,first,1,120000,minus,16,15277
25,5,0,first,1,120000,plus,16,25067
