label,n,a,b,radius,batch,counter_first,counter_last_exclusive,samples,primal_pivotal,matching_pivotal,primal_h4,matching_h4,h4_plus,h4_minus
n325_first,325,17,6,2,0,15000000000,15000001000,1000,29,16,-2,-5,-7,3
n325_first,325,17,6,4,0,15000000000,15000001000,1000,29,16,10,0,10,10
n325_first,325,17,6,7,0,15000000000,15000001000,1000,29,16,7,3,10,4
n325_first,325,17,6,8,0,15000000000,15000001000,1000,29,16,2,0,2,2
n325_second,325,18,1,2,0,15000000000,15000001000,1000,19,20,-5,-4,-9,-1
n325_second,325,18,1,4,0,15000000000,15000001000,1000,19,20,10,5,15,5
n325_second,325,18,1,7,0,15000000000,15000001000,1000,19,20,6,5,11,1
n325_second,325,18,1,8,0,15000000000,15000001000,1000,19,20,3,1,4,2
n425_first,425,16,13,2,0,15000000000,15000001000,1000,26,23,-7,-7,-14,0
n425_first,425,16,13,4,0,15000000000,15000001000,1000,26,23,6,10,16,-4
n425_first,425,16,13,7,0,15000000000,15000001000,1000,26,23,2,5,7,-3
n425_first,425,16,13,8,0,15000000000,15000001000,1000,26,23,-5,1,-4,-6
n425_second,425,19,8,2,0,15000000000,15000001000,1000,24,22,-1,-5,-6,4
n425_second,425,19,8,4,0,15000000000,15000001000,1000,24,22,5,1,6,4
n425_second,425,19,8,7,0,15000000000,15000001000,1000,24,22,1,0,1,1
n425_second,425,19,8,8,0,15000000000,15000001000,1000,24,22,-5,-7,-12,2
n325_first,325,17,6,2,1,15000001000,15000002000,1000,23,32,2,-6,-4,8
n325_first,325,17,6,4,1,15000001000,15000002000,1000,23,32,8,8,16,0
n325_first,325,17,6,7,1,15000001000,15000002000,1000,23,32,1,3,4,-2
n325_first,325,17,6,8,1,15000001000,15000002000,1000,23,32,-3,-4,-7,1
n325_second,325,18,1,2,1,15000001000,15000002000,1000,27,18,-2,-3,-5,1
n325_second,325,18,1,4,1,15000001000,15000002000,1000,27,18,6,4,10,2
n325_second,325,18,1,7,1,15000001000,15000002000,1000,27,18,7,6,13,1
n325_second,325,18,1,8,1,15000001000,15000002000,1000,27,18,2,2,4,0
n425_first,425,16,13,2,1,15000001000,15000002000,1000,15,21,-5,0,-5,-5
n425_first,425,16,13,4,1,15000001000,15000002000,1000,15,21,1,4,5,-3
n425_first,425,16,13,7,1,15000001000,15000002000,1000,15,21,-2,-3,-5,1
n425_first,425,16,13,8,1,15000001000,15000002000,1000,15,21,-7,-1,-8,-6
n425_second,425,19,8,2,1,15000001000,15000002000,1000,15,17,1,-6,-5,7
n425_second,425,19,8,4,1,15000001000,15000002000,1000,15,17,2,6,8,-4
n425_second,425,19,8,7,1,15000001000,15000002000,1000,15,17,5,3,8,2
n425_second,425,19,8,8,1,15000001000,15000002000,1000,15,17,0,-1,-1,1
