batch,samples,sum_L1,sum_L2,sum_D1,sum_D2,sum_product_LL,sum_product_L1D2,sum_product_D1L2,sum_product_DD,sum_four_LL,sum_four_L1D2,sum_four_D1L2,sum_four_DD
0,1000,892096,892096,640169,640169,798627954,577690401,577690401,433865711,195016,140101,140101,102168
1,1000,893417,893417,647327,647327,800766747,584214436,584214436,441629039,194868,141472,141472,104568
2,1000,891385,891385,637736,637736,797215775,574836729,574836729,430383650,195206,139497,139497,103128
3,1000,890249,890249,641123,641123,795146915,576835993,576835993,433308527,193404,139136,139136,102086
4,1000,889247,889247,635015,635015,793355447,570600773,570600773,424493231,192682,137585,137585,100222
5,1000,889714,889714,632548,632548,794350038,569217059,569217059,423433288,193222,138079,138079,99992
6,1000,891683,891683,641134,641134,797735605,578091836,578091836,435613714,194188,140166,140166,102840
7,1000,891860,891860,644472,644472,798112514,581051753,581051753,437142338,194644,141732,141732,103316
8,1000,893607,893607,646845,646845,801256061,584142064,584142064,440544589,195304,141272,141272,104178
9,1000,891988,891988,640370,640370,798335154,577467216,577467216,432613788,194338,140121,140121,102224
10,1000,890974,890974,638339,638339,796604546,575210481,575210481,430700867,194298,139676,139676,102040
11,1000,892341,892341,643357,643357,799023361,580406068,580406068,436491021,193756,140489,140489,102202
12,1000,892056,892056,637680,637680,798560096,575158642,575158642,429462358,194076,139231,139231,101418
13,1000,890698,890698,635895,635895,796049118,572712398,572712398,427919059,194456,138163,138163,101380
14,1000,891175,891175,639280,639280,796875875,575774677,575774677,431185834,193734,139405,139405,102772
15,1000,891645,891645,639995,639995,797794543,577341423,577341423,434446983,194736,140227,140227,101982
16,1000,894061,894061,646702,646702,802199471,584709094,584709094,440687624,195406,142102,142102,104554
17,1000,892671,892671,643212,643212,799724581,580769062,580769062,437845410,195406,140309,140309,103626
18,1000,892865,892865,638808,638808,800072725,577110978,577110978,432090458,194736,139615,139615,102546
19,1000,891781,891781,643607,643607,798029229,580383709,580383709,437012715,194482,141266,141266,103012
20,1000,891588,891588,641755,641755,797711704,578590687,578590687,435291013,194090,140256,140256,102954
21,1000,891718,891718,641027,641027,797737714,577678286,577678286,433495051,194534,140010,140010,102968
22,1000,890837,890837,646691,646691,796493863,582621520,582621520,441077197,193758,141834,141834,103920
23,1000,889426,889426,636192,636192,793741660,571972060,571972060,427525970,191808,138692,138692,101310
24,1000,893453,893453,644061,644061,801165945,582251361,582251361,438539669,194974,140825,140825,104004
25,1000,891681,891681,643480,643480,798025167,580378975,580378975,437560886,193994,140461,140461,104084
26,1000,891337,891337,644847,644847,797088281,580773489,580773489,438018511,193880,140855,140855,103844
27,1000,891688,891688,643882,643882,797723922,580433411,580433411,437615006,193940,140913,140913,103390
28,1000,888130,888130,635698,635698,791450822,570870931,570870931,427093300,193446,138454,138454,101438
29,1000,892341,892341,641317,641317,799009065,578498522,578498522,433372403,194172,139809,139809,101724
30,1000,890933,890933,647371,647371,796500925,583053389,583053389,441423863,193776,141044,141044,104830
31,1000,891095,891095,636908,636908,796759907,573985260,573985260,428585006,194192,139866,139866,102410
32,1000,890968,890968,641223,641223,796564432,578055069,578055069,435975943,193562,140247,140247,103302
33,1000,891722,891722,645056,645056,798053932,581851509,581851509,439178226,194896,140935,140935,104438
34,1000,891252,891252,641861,641861,797146942,578710440,578710440,436138293,194156,139553,139553,102478
35,1000,891321,891321,637045,637045,797168573,574121837,574121837,428752547,194454,139293,139293,102000
36,1000,889452,889452,634746,634746,794110640,571576234,571576234,427054968,192816,137575,137575,100686
37,1000,894988,894988,650974,650974,803735958,588904989,588904989,445773106,196442,142067,142067,106100
38,1000,890890,890890,641036,641036,796422106,577744331,577744331,435050128,194290,139851,139851,103410
39,1000,892993,892993,646277,646277,800236267,583681735,583681735,441527295,194988,141773,141773,105106
40,1000,890105,890105,638142,638142,795205731,574977116,574977116,431814658,192480,138728,138728,102312
41,1000,891391,891391,642364,642364,797230217,578977763,578977763,436058370,194602,139698,139698,103406
42,1000,890373,890373,639632,639632,795462609,575889366,575889366,432846722,193600,139515,139515,103480
43,1000,888971,888971,636892,636892,792939405,572414670,572414670,428750260,193060,138548,138548,100832
44,1000,889354,889354,636928,636928,793971334,573571178,573571178,430471666,192914,138623,138623,102318
45,1000,889187,889187,633009,633009,793328367,569261563,569261563,425284003,193690,137906,137906,99870
46,1000,890412,890412,635984,635984,795636358,572741871,572741871,427360606,193626,138132,138132,101062
47,1000,893719,893719,644146,644146,801553471,582324796,582324796,438320688,194462,140999,140999,104030
48,1000,894353,894353,646997,646997,802608077,585074246,585074246,441536779,195514,141101,141101,104764
49,1000,889487,889487,638501,638501,793840813,574131831,574131831,430180201,193220,138849,138849,102536
50,1000,893454,893454,643493,643493,801063766,581532664,581532664,438241233,193868,141072,141072,103150
51,1000,894194,894194,643062,643062,802428770,581739809,581739809,437401052,194556,141528,141528,104068
52,1000,894221,894221,644325,644325,802375003,582867988,582867988,439448863,194218,140760,140760,104190
53,1000,889853,889853,633647,633647,794712317,570628595,570628595,425307593,193214,138481,138481,100104
54,1000,889730,889730,635510,635510,794251652,571411076,571411076,426028318,193410,137836,137836,101078
55,1000,892175,892175,639769,639769,798705429,577051750,577051750,432327065,193804,139640,139640,102308
56,1000,890730,890730,635926,635926,796136696,572813004,572813004,427728088,193660,138482,138482,100144
57,1000,889401,889401,630909,630909,793767443,567382366,567382366,421261967,192894,137608,137608,100006
58,1000,891070,891070,634853,634853,796735552,572217170,572217170,427902577,194362,139037,139037,101070
59,1000,890169,890169,639563,639563,795066659,575576161,575576161,431597551,193348,139198,139198,101908
60,1000,890765,890765,643336,643336,796255279,579642713,579642713,437648256,193716,140564,140564,103468
61,1000,895202,895202,653124,653124,804152924,591054214,591054214,449369664,195962,142781,142781,106258
62,1000,892778,892778,642973,642973,799660590,580324754,580324754,436399361,194510,140540,140540,103628
63,1000,889299,889299,633958,633958,793426507,569901074,569901074,425106648,193464,137234,137234,100100
64,1000,891092,891092,637472,637472,796684236,574323823,574323823,430028026,194098,139164,139164,101942
65,1000,895384,895384,651593,651593,804452734,589903613,589903613,447786559,195554,143347,143347,106294
66,1000,894435,894435,645904,645904,802981141,584525282,584525282,441219340,195462,141514,141514,104420
