batch,samples,sum_L1,sum_L2,sum_D1,sum_D2,sum_product_LL,sum_product_L1D2,sum_product_D1L2,sum_product_DD,sum_four_LL,sum_four_L1D2,sum_four_D1L2,sum_four_DD
0,1000,890435,890435,678745,678745,795684267,609902319,609902319,476043141,193382,147144,147144,113944
1,1000,890405,890405,681843,681843,795531575,612401101,612401101,479420877,193584,148524,148524,115546
2,1000,891388,891388,683543,683543,797349438,614698720,614698720,481869875,194156,149110,149110,115000
3,1000,891610,891610,682449,682449,797898260,614474262,614474262,482112641,194352,149466,149466,115568
4,1000,890613,890613,682115,682115,795768545,612493172,612493172,479215725,193772,148099,148099,114108
5,1000,890150,890150,678267,678267,795333678,609533585,609533585,475805499,194686,147746,147746,113884
6,1000,891194,891194,679825,679825,796964270,611235965,611235965,477305197,194068,147941,147941,113804
7,1000,891477,891477,684982,684982,797552029,616288718,616288718,484567138,193576,148858,148858,115652
8,1000,892581,892581,682132,682132,799605045,614610372,614610372,480962474,195246,149457,149457,116020
9,1000,892326,892326,685931,685931,799024202,617434897,617434897,485211433,194860,149701,149701,116102
10,1000,893119,893119,688962,688962,800452799,620672175,620672175,489189118,194856,149990,149990,116438
11,1000,891310,891310,686304,686304,797300234,617190567,617190567,485573280,194572,150283,150283,116746
12,1000,890746,890746,683600,683600,796147222,614265546,614265546,482167920,194030,149668,149668,115852
13,1000,890961,890961,683074,683074,796526159,613885590,613885590,480919202,193624,149661,149661,115168
14,1000,890339,890339,682372,682372,795455231,612878909,612878909,480110262,192950,148341,148341,114622
15,1000,891765,891765,687516,687516,798073027,618897354,618897354,488603556,193428,149789,149789,116538
16,1000,891495,891495,683583,683583,797451689,614769629,614769629,482269429,193464,149030,149030,115448
17,1000,893211,893211,687457,687457,800423247,619139296,619139296,487136669,194600,149383,149383,116176
18,1000,891878,891878,684484,684484,798396202,616260966,616260966,484240394,193598,149658,149658,115762
19,1000,890156,890156,682471,682471,795277370,612980406,612980406,480570689,193808,149318,149318,114000
20,1000,888888,888888,677207,677207,792602398,606940432,606940432,473295003,192560,146992,146992,113844
21,1000,893010,893010,686692,686692,800370348,618997598,618997598,487399932,195090,150621,150621,116376
22,1000,891457,891457,682191,682191,797662027,614146372,614146372,481895091,193412,149514,149514,114976
23,1000,889592,889592,679983,679983,794262706,610556679,610556679,477681985,193570,148199,148199,114362
24,1000,890471,890471,680211,680211,795790485,611419321,611419321,478334127,193512,148524,148524,115560
25,1000,894519,894519,691416,691416,802959223,623989475,623989475,492794546,195806,151598,151598,117826
26,1000,894986,894986,691924,691924,803794698,624606962,624606962,493233580,196218,151293,151293,118032
27,1000,889152,889152,676148,676148,793370798,606710291,606710291,472537252,192100,146710,146710,112562
28,1000,892347,892347,684035,684035,799111425,615921888,615921888,482944509,194156,149030,149030,114856
29,1000,888379,888379,680524,680524,791983511,610081051,610081051,478213406,192614,148353,148353,114222
