label,n,a,b,radius,batch,counter_first,counter_last_exclusive,samples,primal_pivotal,matching_pivotal,primal_h4,matching_h4,h4_plus,h4_minus
n365_first,365,14,13,2,0,25336500000,25336501000,1000,23,25,-4,-3,-7,-1
n365_first,365,14,13,4,0,25336500000,25336501000,1000,23,25,3,4,7,-1
n365_first,365,14,13,7,0,25336500000,25336501000,1000,23,25,1,4,5,-3
n365_first,365,14,13,8,0,25336500000,25336501000,1000,23,25,-3,1,-2,-4
n365_second,365,19,2,2,0,25336500000,25336501000,1000,21,23,0,-1,-1,1
n365_second,365,19,2,4,0,25336500000,25336501000,1000,21,23,2,1,3,1
n365_second,365,19,2,7,0,25336500000,25336501000,1000,21,23,4,-2,2,6
n365_second,365,19,2,8,0,25336500000,25336501000,1000,21,23,0,-1,-1,1
n365_first,365,14,13,2,1,25336501000,25336502000,1000,19,16,-6,-4,-10,-2
n365_first,365,14,13,4,1,25336501000,25336502000,1000,19,16,1,3,4,-2
n365_first,365,14,13,7,1,25336501000,25336502000,1000,19,16,-2,2,0,-4
n365_first,365,14,13,8,1,25336501000,25336502000,1000,19,16,-3,-6,-9,3
n365_second,365,19,2,2,1,25336501000,25336502000,1000,19,19,-3,-3,-6,0
n365_second,365,19,2,4,1,25336501000,25336502000,1000,19,19,5,3,8,2
n365_second,365,19,2,7,1,25336501000,25336502000,1000,19,19,1,-1,0,2
n365_second,365,19,2,8,1,25336501000,25336502000,1000,19,19,-3,-2,-5,-1
n365_first,365,14,13,2,2,25336502000,25336503000,1000,32,29,-1,-3,-4,2
n365_first,365,14,13,4,2,25336502000,25336503000,1000,32,29,4,7,11,-3
n365_first,365,14,13,7,2,25336502000,25336503000,1000,32,29,0,4,4,-4
n365_first,365,14,13,8,2,25336502000,25336503000,1000,32,29,-4,-6,-10,2
n365_second,365,19,2,2,2,25336502000,25336503000,1000,21,15,-2,-1,-3,-1
n365_second,365,19,2,4,2,25336502000,25336503000,1000,21,15,2,4,6,-2
n365_second,365,19,2,7,2,25336502000,25336503000,1000,21,15,4,1,5,3
n365_second,365,19,2,8,2,25336502000,25336503000,1000,21,15,0,-2,-2,2
n365_first,365,14,13,2,3,25336503000,25336504000,1000,25,35,-4,-3,-7,-1
n365_first,365,14,13,4,3,25336503000,25336504000,1000,25,35,6,7,13,-1
n365_first,365,14,13,7,3,25336503000,25336504000,1000,25,35,-3,2,-1,-5
n365_first,365,14,13,8,3,25336503000,25336504000,1000,25,35,-10,3,-7,-13
n365_second,365,19,2,2,3,25336503000,25336504000,1000,22,17,-3,-6,-9,3
n365_second,365,19,2,4,3,25336503000,25336504000,1000,22,17,5,1,6,4
n365_second,365,19,2,7,3,25336503000,25336504000,1000,22,17,2,3,5,-1
n365_second,365,19,2,8,3,25336503000,25336504000,1000,22,17,-5,2,-3,-7
n365_first,365,14,13,2,4,25336504000,25336505000,1000,20,24,2,-3,-1,5
n365_first,365,14,13,4,4,25336504000,25336505000,1000,20,24,10,0,10,10
n365_first,365,14,13,7,4,25336504000,25336505000,1000,20,24,0,0,0,0
n365_first,365,14,13,8,4,25336504000,25336505000,1000,20,24,-3,-4,-7,1
n365_second,365,19,2,2,4,25336504000,25336505000,1000,22,22,0,-4,-4,4
n365_second,365,19,2,4,4,25336504000,25336505000,1000,22,22,8,1,9,7
n365_second,365,19,2,7,4,25336504000,25336505000,1000,22,22,7,-2,5,9
n365_second,365,19,2,8,4,25336504000,25336505000,1000,22,22,-5,-10,-15,5
