geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,seed,sample_begin,samples,sum_J,sum_J2,count_1234,sum_J_1234,sum_J2_1234,count_12_34,sum_J_12_34,sum_J2_12_34,count_14_23,sum_J_14_23,sum_J2_14_23
lambda_1_4,1,4,2,30,181,121,21901,43500,0,2026102632,0,5000,131253602,3445518723010,30,787446,20669124430,16,419840,11016652448,2,52509,1378602245
lambda_1_4,1,4,2,30,181,121,21901,43500,1,2026102632,5000,5000,131252198,3445445478076,45,1180875,30988329121,18,472281,12391684777,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,2,2026102632,10000,5000,131258442,3445773313532,34,892616,23434338058,22,577391,15153744195,1,26240,688537600
lambda_1_4,1,4,2,30,181,121,21901,43500,3,2026102632,15000,5000,131259351,3445820695131,31,813400,21342646656,19,499002,13105461582,1,26278,690533284
lambda_1_4,1,4,2,30,181,121,21901,43500,4,2026102632,20000,5000,131267040,3446224619058,33,866027,22727470481,25,656426,17235844868,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,5,2026102632,25000,5000,131255244,3445605553834,34,892327,23419163923,16,419794,11014227684,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,6,2026102632,30000,5000,131257279,3445712527247,38,997428,26180714180,19,499101,13110681769,5,131278,3446808316
lambda_1_4,1,4,2,30,181,121,21901,43500,7,2026102632,35000,5000,131252329,3445452276965,48,1259910,33070465302,19,498745,13092000773,2,52611,1383958661
lambda_1_4,1,4,2,30,181,121,21901,43500,8,2026102632,40000,5000,131260246,3445868764830,31,813706,21358732598,26,682436,17912395616,2,52556,1381067450
lambda_1_4,1,4,2,30,181,121,21901,43500,9,2026102632,45000,5000,131254406,3445561190018,40,1049818,27553092200,23,603802,15851228476,1,26286,690953796
lambda_1_4,1,4,2,30,181,121,21901,43500,10,2026102632,50000,5000,131257723,3445735168423,31,813545,21350372515,21,551789,14498701751,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,11,2026102632,55000,5000,131262646,3445993932446,39,1023811,26876771093,16,419274,10986945656,1,26284,690848656
lambda_1_4,1,4,2,30,181,121,21901,43500,12,2026102632,60000,5000,131260526,3445883043454,47,1233793,32388298445,17,446486,11726489090,5,131252,3445417702
lambda_1_4,1,4,2,30,181,121,21901,43500,13,2026102632,65000,5000,131258156,3445757963990,40,1050133,27569630545,27,708751,18604808731,1,26278,690533284
lambda_1_4,1,4,2,30,181,121,21901,43500,14,2026102632,70000,5000,131260024,3445856206502,41,1075972,28237131010,10,262613,6896578937,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,15,2026102632,75000,5000,131254688,3445576023294,38,997602,26189883768,16,419502,10998930422,2,52578,1382223050
lambda_1_4,1,4,2,30,181,121,21901,43500,16,2026102632,80000,5000,131257261,3445711257165,34,892565,23431648079,20,525245,13794176927,2,52613,1384066265
lambda_1_4,1,4,2,30,181,121,21901,43500,17,2026102632,85000,5000,131251668,3445417582364,48,1260289,33090368691,15,393670,10331769332,1,26297,691532209
lambda_1_4,1,4,2,30,181,121,21901,43500,18,2026102632,90000,5000,131260760,3445895274870,40,1050352,27581088136,23,604291,15876957195,2,52383,1371993129
lambda_1_4,1,4,2,30,181,121,21901,43500,19,2026102632,95000,5000,131255434,3445615187362,43,1128424,29612685962,17,446113,11706899563,1,26238,688432644
