n,modulus,batch,k,counter_first,counter_last_exclusive,samples,sum_q,sum_q2,sum_I01,sum_I12,sum_I02,sum_Re_J_S4,sum_Im_J_S4,sum_Re_J_D4,sum_Im_J_D4,sum_q_Re_J_S4,sum_q_Im_J_S4,sum_q_Re_J_D4,sum_q_Im_J_D4,sum_birth_mass,priority_field_digest
130,2i,0,0,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,1,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,2,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,3,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,4,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,5,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,6,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,7,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,8,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,9,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,10,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
130,2i,0,11,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,b4bf81ce0b090928
