n,modulus,batch,k,counter_first,counter_last_exclusive,samples,sum_q,sum_q2,sum_I01,sum_I12,sum_I02,sum_Re_J_S4,sum_Im_J_S4,sum_Re_J_D4,sum_Im_J_D4,sum_q_Re_J_S4,sum_q_Im_J_S4,sum_q_Re_J_D4,sum_q_Im_J_D4,sum_birth_mass,priority_field_digest
50,2i,0,0,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,0,1,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,0,2,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,0,3,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,0,4,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,0,5,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,0,6,9500000000,9500200000,200000,-200000,200000,44,0,0,-37.1008,23.6544,37.1008,-23.6544,37.1008,-23.6544,-37.1008,23.6544,44,61533230fcaf3994
50,2i,0,7,9500000000,9500200000,200000,-199999,199999,50,0,0,-42.16,26.88,42.16,-26.88,36.2576,-23.1168,-36.2576,23.1168,50,61533230fcaf3994
50,2i,0,8,9500000000,9500200000,200000,-199998,199998,764,0,0,-644.2048,410.7264,644.2048,-410.7264,637.4592,-406.4256,-637.4592,406.4256,764,61533230fcaf3994
50,2i,0,9,9500000000,9500200000,200000,-199980,199980,1269,0,0,-1070.0208,682.2144,1070.0208,-682.2144,933.4224,-595.1232,-933.4224,595.1232,1269,61533230fcaf3994
50,2i,0,10,9500000000,9500200000,200000,-199953,199953,3030,0,0,-2554.896,1628.928,2554.896,-1628.928,2327.232,-1483.776,-2327.232,1483.776,3030,61533230fcaf3994
50,2i,0,11,9500000000,9500200000,200000,-199884,199884,8637,0,0,-7282.7184,4643.2512,7282.7184,-4643.2512,6642.7296,-4235.2128,-6642.7296,4235.2128,8637,61533230fcaf3994
50,2i,0,12,9500000000,9500200000,200000,-199682,199682,15876,0,0,-13386.6432,8534.9376,13386.6432,-8534.9376,11342.7264,-7231.7952,-11342.7264,7231.7952,15876,61533230fcaf3994
50,2i,0,13,9500000000,9500200000,200000,-199328,199328,24693,0,0,-20821.1376,13274.9568,20821.1376,-13274.9568,16940.7312,-10800.9216,-16940.7312,10800.9216,24693,61533230fcaf3994
50,2i,0,14,9500000000,9500200000,200000,-198785,198785,40902,0,0,-34488.5664,21988.9152,34488.5664,-21988.9152,28078.56,-17902.08,-28078.56,17902.08,40902,61533230fcaf3994
