n,modulus,batch,k,counter_first,counter_last_exclusive,samples,sum_q,sum_q2,sum_I01,sum_I12,sum_I02,sum_Re_J_S4,sum_Im_J_S4,sum_Re_J_D4,sum_Im_J_D4,sum_q_Re_J_S4,sum_q_Im_J_S4,sum_q_Re_J_D4,sum_q_Im_J_D4,sum_birth_mass,priority_field_digest
50,5i_over_2,0,0,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,5i_over_2,0,1,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,5i_over_2,0,2,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,5i_over_2,0,3,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,5i_over_2,0,4,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,5i_over_2,0,5,9500000000,9500200000,200000,-200000,200000,45,0,0,-12.6,43.2,12.6,-43.2,12.6,-43.2,-12.6,43.2,45,61533230fcaf3994
50,5i_over_2,0,6,9500000000,9500200000,200000,-199999,199999,314,0,0,-87.92,301.44,87.92,-301.44,86.24,-295.68,-86.24,295.68,314,61533230fcaf3994
50,5i_over_2,0,7,9500000000,9500200000,200000,-199992,199992,1554,0,0,-435.12,1491.84,435.12,-1491.84,421.4,-1444.8,-421.4,1444.8,1554,61533230fcaf3994
50,5i_over_2,0,8,9500000000,9500200000,200000,-199957,199957,3430,0,0,-960.4,3292.8,960.4,-3292.8,882,-3024,-882,3024,3430,61533230fcaf3994
50,5i_over_2,0,9,9500000000,9500200000,200000,-199882,199882,7686,0,0,-2152.08,7378.56,2152.08,-7378.56,1963.08,-6730.56,-1963.08,6730.56,7686,61533230fcaf3994
50,5i_over_2,0,10,9500000000,9500200000,200000,-199711,199711,14430,0,0,-4040.4,13852.8,4040.4,-13852.8,3561.6,-12211.2,-3561.6,12211.2,14430,61533230fcaf3994
50,5i_over_2,0,11,9500000000,9500200000,200000,-199393,199393,24987,0,0,-6996.36,23987.52,6996.36,-23987.52,6016.92,-20629.44,-6016.92,20629.44,24987,61533230fcaf3994
50,5i_over_2,0,12,9500000000,9500200000,200000,-198842,198842,40356,0,0,-11299.68,38741.76,11299.68,-38741.76,9448.32,-32394.24,-9448.32,32394.24,40356,61533230fcaf3994
50,5i_over_2,0,13,9500000000,9500200000,200000,-197954,197954,62012,0,0,-17363.36,59531.52,17363.36,-59531.52,14131.04,-48449.28,-14131.04,48449.28,62012,61533230fcaf3994
50,5i_over_2,0,14,9500000000,9500200000,200000,-196590,196590,93364,0,0,-26141.92,89629.44,26141.92,-89629.44,20795.04,-71297.28,-20795.04,71297.28,93364,61533230fcaf3994
50,5i_over_2,0,15,9500000000,9500200000,200000,-194527,194527,136050,0,0,-38094,130608,38094,-130608,29429.4,-100900.8,-29429.4,100900.8,136050,61533230fcaf3994
50,5i_over_2,0,16,9500000000,9500200000,200000,-191524,191524,183572,0,0,-51400.16,176229.12,51400.16,-176229.12,37946.72,-130103.04,-37946.72,130103.04,183572,61533230fcaf3994
50,5i_over_2,0,17,9500000000,9500200000,200000,-187538,187538,242497,0,0,-67858.7281331747919144,232776.21346016646849,67858.7281331747919144,-232776.21346016646849,48885.3681331747919144,-167724.69346016646849,-48885.3681331747919144,167724.69346016646849,242497,61533230fcaf3994
50,5i_over_2,0,18,9500000000,9500200000,200000,-182243,182243,313102,0,0,-87607.2995957193816885,300546.243424494649227,87607.2995957193816885,-300546.243424494649227,60942.5533412604042806,-209060.046991676575505,-60942.5533412604042806,209060.046991676575505,313102,61533230fcaf3994
50,5i_over_2,0,19,9500000000,9500200000,200000,-175437,175437,391822,0,0,-109610.918145065398335,376097.803947681331748,109610.918145065398335,-376097.803947681331748,73426.2770986920332937,-251968.401046373365042,-73426.2770986920332937,251968.401046373365042,391822,61533230fcaf3994
50,5i_over_2,0,20,9500000000,9500200000,200000,-166969,166969,486040,150,0,-135857.261831153388823,466367.07538644470868,135846.774316290130797,-466117.087277051129608,88480.226397146254459,-303681.822592152199762,-88480.226397146254459,303681.822592152199762,486190,61533230fcaf3994
50,5i_over_2,0,21,9500000000,9500200000,200000,-156408,156418,580783,540,0,-162117.244280618311534,557164.677859690844233,161866.303020214030916,-556154.486183115338882,100051.944542211652794,-343994.810368608799049,-100059.285802615933413,344169.8020451843044,581323,61533230fcaf3994
50,5i_over_2,0,22,9500000000,9500200000,200000,-144010,144050,679798,1394,84,-189035.989791139835937,650962.844918226439305,188576.836402317005972,-648589.555976490410767,112809.753310759336531,-388431.444014540351314,-112994.553310759336531,389065.044014540351314,681192,61533230fcaf3994
50,5i_over_2,0,23,9500000000,9500200000,200000,-129423,129539,770056,4573,312,-213959.221738235479278,736583.043103978790723,212055.341036060156141,-729674.322366916810318,120153.546025757557538,-413085.252908148071649,-120378.907738004882151,414514.283110288380805,774629,61533230fcaf3994
50,5i_over_2,0,24,9500000000,9500200000,200000,-113159,113549,842308,12180,762,-233356.647819138288248,807083.82410436005407,228238.73962842739126,-787634.98368891740308,123148.372499920422771,-427101.969872924006929,-124640.389379856421458,431972.805903965492484,854488,61533230fcaf3994
50,5i_over_2,0,25,9500000000,9500200000,200000,-95307,96381,888450,31525,1925,-247390.795719240217836,858185.282442575303048,234219.571399873100845,-807395.79306525120586,119932.75414102216774,-412765.162676369665585,-123419.188093690339183,426782.474584447709272,919975,61533230fcaf3994
50,5i_over_2,0,26,9500000000,9500200000,200000,-76360,79272,900728,68606,3880,-255844.329469195124073,886875.410478191948765,225166.046135949030962,-777958.176615838627282,108926.086849838122232,-376730.489887382305278,-118998.268831205025603,414973.554455398200918,969334,61533230fcaf3994
50,5i_over_2,0,27,9500000000,9500200000,200000,-56497,63135,878679,135608,6315,-262440.86962785443521,908564.790832929552578,200245.894198841214073,-689788.405009022289405,91544.9998323290097551,-314088.85275009708422,-114726.863853193098214,393597.293206226688293,1014287,61533230fcaf3994
50,5i_over_2,0,28,9500000000,9500200000,200000,-35715,49771,796296,246456,9406,-263286.90266608475081,915316.292230220814432,149214.5982614674324,-507459.813160871204431,56946.8525806718581672,-195850.779715658181494,-104441.075164505584907,365394.365380778809963,1042752,61533230fcaf3994
50,5i_over_2,0,29,9500000000,9500200000,200000,-14767,41787,660027,392413,12437,-259994.719059986968913,908614.502398494967235,71833.5919401662970827,-249008.29953476159976,15663.8310134204964615,-51829.9665002802558456,-103425.8479589988673,365969.689624036640592,1052440,61533230fcaf3994
50,5i_over_2,0,30,9500000000,9500200000,200000,6421,40069,501710,560930,13420,-262758.004821325521322,913183.428581571853176,-13965.2624049569699639,50369.9669785242856485,-32381.3353251454848588,113783.366244400415641,-111045.964923772087986,379740.176241280988257,1062640,61533230fcaf3994
50,5i_over_2,0,31,9500000000,9500200000,200000,27771,45607,336761,729599,11748,-268280.021372283261792,926184.098304358760988,-101560.777304691424364,361298.560612437936441,-80909.8403125975105016,287946.895034293451072,-125698.908502318113082,440599.377231049388064,1066360,61533230fcaf3994
