n,modulus,batch,k,counter_first,counter_last_exclusive,samples,sum_q,sum_q2,sum_I01,sum_I12,sum_I02,sum_Re_J_S4,sum_Im_J_S4,sum_Re_J_D4,sum_Im_J_D4,sum_q_Re_J_S4,sum_q_Im_J_S4,sum_q_Re_J_D4,sum_q_Im_J_D4,sum_birth_mass,priority_field_digest
50,i,0,0,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,1,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,2,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,3,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,4,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,5,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,6,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,7,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,8,9500000000,9500200000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,i,0,9,9500000000,9500200000,200000,-200000,200000,41,0,0,34.5712,22.0416,-34.5712,-22.0416,-34.5712,-22.0416,34.5712,22.0416,41,61533230fcaf3994
50,i,0,10,9500000000,9500200000,200000,-199999,199999,290,0,0,244.528,155.904,-244.528,-155.904,-236.096,-150.528,236.096,150.528,290,61533230fcaf3994
50,i,0,11,9500000000,9500200000,200000,-199992,199992,584,0,0,492.4288,313.9584,-492.4288,-313.9584,-427.5024,-272.5632,427.5024,272.5632,584,61533230fcaf3994
50,i,0,12,9500000000,9500200000,200000,-199979,199979,1372,0,0,1156.8704,737.5872,-1156.8704,-737.5872,-1025.3312,-653.7216,1025.3312,653.7216,1372,61533230fcaf3994
50,i,0,13,9500000000,9500200000,200000,-199947,199947,2784,0,0,2347.4688,1496.6784,-2347.4688,-1496.6784,-1996.6976,-1273.0368,1996.6976,1273.0368,2784,61533230fcaf3994
50,i,0,14,9500000000,9500200000,200000,-199883,199883,5900,0,0,4974.88,3171.84,-4974.88,-3171.84,-4219.3728,-2690.1504,4219.3728,2690.1504,5900,61533230fcaf3994
50,i,0,15,9500000000,9500200000,200000,-199744,199744,10555,0,0,8899.976,5674.368,-8899.976,-5674.368,-7141.904,-4553.472,7141.904,4553.472,10555,61533230fcaf3994
50,i,0,16,9500000000,9500200000,200000,-199502,199502,19614,0,0,16309.1744,10398.2592,-16309.1744,-10398.2592,-13044.304,-8316.672,13044.304,8316.672,19614,61533230fcaf3994
50,i,0,17,9500000000,9500200000,200000,-199039,199039,34568,0,0,28420.8992,18120.3456,-28420.8992,-18120.3456,-21898.7472,-13962.0096,21898.7472,13962.0096,34568,61533230fcaf3994
50,i,0,18,9500000000,9500200000,200000,-198230,198230,57474,64,0,47318.6976,30169.0368,-47210.768,-30100.224,-35319.9616,-22518.9888,35319.9616,22518.9888,57538,61533230fcaf3994
50,i,0,19,9500000000,9500200000,200000,-196887,196891,93493,720,155,75686.4752,48255.5136,-74838.216,-47714.688,-54259.0768,-34594.0224,54323.16,34634.88,94213,61533230fcaf3994
50,i,0,20,9500000000,9500200000,200000,-194671,194719,147770,1670,160,117795.04,75102.72,-115518.4,-73651.2,-81377.232,-51883.776,81883.152,52206.336,149440,61533230fcaf3994
50,i,0,21,9500000000,9500200000,200000,-191167,191297,228163,3877,245,177335.0784,113063.7312,-172818.8992,-110184.3456,-117316.1024,-74797.3632,118555.6064,75587.6352,232040,61533230fcaf3994
50,i,0,22,9500000000,9500200000,200000,-185703,186041,337776,8840,490,254278.7648,162120.8064,-243671.3088,-155357.7984,-158263.5808,-100904.2944,160749.3344,102489.1392,346616,61533230fcaf3994
50,i,0,23,9500000000,9500200000,200000,-177617,178423,475868,21960,1734,349820.0704,223035.1872,-325846.208,-207750.144,-203474.2784,-129729.3312,210145.6768,133982.8224,497828,61533230fcaf3994
50,i,0,24,9500000000,9500200000,200000,-166067,168101,653270,51162,3792,472444.96,301217.28,-414840.9088,-264490.5984,-252121.8592,-160745.6256,267501.8272,170551.4496,704432,61533230fcaf3994
