n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
65,8,1,first,0,10000,0,0,0,0,0
65,7,4,second,0,10000,0,0,0,0,0
65,8,1,first,1,10000,0,0,0,0,0
65,7,4,second,1,10000,0,0,0,0,0
65,8,1,first,2,10000,0,0,0,0,0
65,7,4,second,2,10000,0,0,0,0,0
65,8,1,first,3,10000,0,0,0,0,0
65,7,4,second,3,10000,0,0,0,0,0
65,8,1,first,4,10000,0,0,0,0,0
65,7,4,second,4,10000,0,0,0,0,0
65,8,1,first,5,10000,0,0,0,0,0
65,7,4,second,5,10000,0,0,0,0,0
65,8,1,first,6,10000,0,0,0,0,0
65,7,4,second,6,10000,0,0,0,0,0
65,8,1,first,7,10000,0,0,0,0,0
65,7,4,second,7,10000,0,0,0,0,0
65,8,1,first,8,10000,0,0,0,0,0
65,7,4,second,8,10000,0,0,0,0,0
65,8,1,first,9,10000,0,0,0,0,0
65,7,4,second,9,10000,0,0,0,0,0
65,8,1,first,10,10000,0,0,0,0,0
65,7,4,second,10,10000,0,0,0,0,0
65,8,1,first,11,10000,0,0,0,0,0
65,7,4,second,11,10000,0,0,0,0,0
65,8,1,first,12,10000,0,0,0,0,0
65,7,4,second,12,10000,0,0,0,0,0
65,8,1,first,13,10000,0,0,0,0,0
65,7,4,second,13,10000,0,0,0,0,0
65,8,1,first,14,10000,0,0,0,0,0
65,7,4,second,14,10000,0,0,0,0,0
65,8,1,first,15,10000,0,0,0,0,0
65,7,4,second,15,10000,0,0,0,0,0
65,8,1,first,16,10000,0,0,0,0,0
65,7,4,second,16,10000,0,0,0,0,0
65,8,1,first,17,10000,0,0,0,0,0
65,7,4,second,17,10000,0,0,0,0,0
65,8,1,first,18,10000,0,0,0,0,0
65,7,4,second,18,10000,0,0,0,0,0
65,8,1,first,19,10000,0,0,0,0,0
65,7,4,second,19,10000,0,0,0,0,0
65,8,1,first,20,10000,0,0,0,0,0
65,7,4,second,20,10000,0,0,0,0,0
65,8,1,first,21,10000,0,0,0,0,0
65,7,4,second,21,10000,0,0,0,0,0
65,8,1,first,22,10000,0,0,0,0,0
65,7,4,second,22,10000,0,0,0,0,0
65,8,1,first,23,10000,0,0,0,0,0
65,7,4,second,23,10000,0,0,0,0,0
65,8,1,first,24,10000,0,0,0,0,0
65,7,4,second,24,10000,0,0,0,0,0
65,8,1,first,25,10000,0,0,0,0,0
65,7,4,second,25,10000,0,0,0,0,0
65,8,1,first,26,10000,0,0,0,0,0
65,7,4,second,26,10000,0,0,0,0,0
65,8,1,first,27,10000,0,0,0,0,0
65,7,4,second,27,10000,0,0,0,0,0
65,8,1,first,28,10000,0,0,0,0,0
65,7,4,second,28,10000,0,0,0,0,0
