n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
65,8,1,first,0,10000,361999,417424,13278141,17569848,15179659,55425,488671
65,7,4,second,0,10000,361906,417699,13261266,17599535,15187333,55793,486135
65,8,1,first,1,10000,361369,417253,13229819,17560173,15149394,55884,491204
65,7,4,second,1,10000,362541,417311,13308617,17562691,15197846,54770,475616
65,8,1,first,2,10000,361553,417109,13242559,17545677,15150071,55556,488094
65,7,4,second,2,10000,361794,417590,13256012,17587056,15176117,55796,490834
65,8,1,first,3,10000,361501,416869,13241387,17524863,15140291,55368,485668
65,7,4,second,3,10000,362285,417612,13294781,17588804,15198812,55327,485961
65,8,1,first,4,10000,361416,417588,13234110,17585016,15159372,56172,500382
65,7,4,second,4,10000,362043,417968,13274109,17620426,15200314,55925,493907
65,8,1,first,5,10000,361322,416197,13224898,17469889,15109875,54875,475037
65,7,4,second,5,10000,362171,417373,13283047,17569569,15185559,55202,481498
65,8,1,first,6,10000,361794,417295,13263488,17561435,15168071,55501,488781
65,7,4,second,6,10000,361992,417995,13271402,17620693,15199045,56003,494005
65,8,1,first,7,10000,361976,417557,13272152,17579223,15183773,55581,483829
65,7,4,second,7,10000,361698,417836,13250648,17612166,15181823,56138,499168
65,8,1,first,8,10000,362338,417363,13299386,17563771,15194211,55025,474735
65,7,4,second,8,10000,362793,417689,13330907,17596047,15223461,54896,480032
65,8,1,first,9,10000,361509,416522,13237997,17490026,15125219,55013,477585
65,7,4,second,9,10000,362332,417797,13292692,17605599,15205390,55465,487511
65,8,1,first,10,10000,361795,417962,13261857,17612908,15188372,56167,498021
65,7,4,second,10,10000,362498,417419,13305000,17575221,15199216,54921,481789
65,8,1,first,11,10000,361245,417247,13223721,17555041,15139641,56002,499480
65,7,4,second,11,10000,362051,417804,13273581,17605168,15193778,55753,491193
65,8,1,first,12,10000,361215,417591,13220565,17580647,15147175,56376,506862
65,7,4,second,12,10000,362223,417541,13286643,17583177,15192334,55318,485152
65,8,1,first,13,10000,361394,417205,13233918,17553711,15146834,55811,493961
65,7,4,second,13,10000,361757,417799,13254109,17607499,15184196,56042,493216
65,8,1,first,14,10000,362046,417369,13275264,17566939,15178877,55323,484449
65,7,4,second,14,10000,362421,417726,13304683,17601618,15209368,55305,487565
65,8,1,first,15,10000,362171,416968,13286803,17532578,15171080,54797,477221
65,7,4,second,15,10000,361834,417596,13261174,17587472,15178465,55762,491716
65,8,1,first,16,10000,361697,416881,13254417,17523903,15146256,55184,485808
65,7,4,second,16,10000,361616,416630,13240812,17506990,15136069,55014,475664
65,8,1,first,17,10000,361542,417280,13240938,17560722,15154157,55738,493346
65,7,4,second,17,10000,362655,417532,13315613,17583564,15211313,54877,476551
65,8,1,first,18,10000,362416,418132,13307384,17628964,15221967,55716,492414
65,7,4,second,18,10000,361531,416997,13236861,17540505,15142580,55466,492206
65,8,1,first,19,10000,362240,416460,13289562,17486574,15155104,54220,465928
65,7,4,second,19,10000,361996,418080,13271206,17629242,15205098,56084,490252
65,8,1,first,20,10000,362009,416891,13276641,17523567,15161536,54882,477136
65,7,4,second,20,10000,361755,417452,13253937,17577512,15171212,55697,489025
65,8,1,first,21,10000,361371,417131,13230879,17543791,15141765,55760,491140
65,7,4,second,21,10000,362069,417956,13277537,17617910,15201106,55887,493235
