n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D,sum_local_R2_S,sum_local_R2_D,sum_q_local_R2_S,sum_q_local_R2_D,sum_local_R2_I02,sum_local_R4_S,sum_local_R4_D,sum_q_local_R4_S,sum_q_local_R4_D,sum_local_R4_I02
65,8,1,first,0,10000,0,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,1,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,2,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,3,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,4,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,5,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,6,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,7,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,8,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,9,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,10,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,11,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,12,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,13,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,14,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,15,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,16,-10000,10000,3,0,0,3,147,-147,147,147,147,-147,129.186035502958579882,70.142485207100591716,-129.186035502958579882,-70.142485207100591716,129.186035502958579882,70.142485207100591716,49,-49,49,-49,-49,49,0,49,-49,-49,49,0
65,8,1,first,0,10000,17,-9997,9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,18,-9997,9997,2,0,0,2,94,-94,94,94,94,-94,82.608757396449704142,44.8530177514792899408,-82.608757396449704142,-44.8530177514792899408,82.608757396449704142,44.8530177514792899408,47,-47,47,-47,-47,47,0,94,-94,-94,94,0
65,8,1,first,0,10000,19,-9995,9995,10,0,0,10,460,-460,460,460,460,-460,404.255621301775147929,219.49349112426035503,-404.255621301775147929,-219.49349112426035503,404.255621301775147929,219.49349112426035503,184,-184,92,-92,-92,92,0,414,-414,-414,414,0
65,8,1,first,0,10000,20,-9985,9985,8,0,0,8,360,-360,360,360,360,-360,316.373964497041420118,171.777514792899408284,-316.373964497041420118,-171.777514792899408284,316.373964497041420118,171.777514792899408284,135,-135,135,-135,-135,135,0,270,-270,-270,270,0
65,8,1,first,0,10000,21,-9977,9977,15,0,0,15,660,-660,660,660,660,-660,580.01893491124260355,314.925443786982248521,-580.01893491124260355,-314.925443786982248521,580.01893491124260355,314.925443786982248521,132,-132,0,0,0,0,0,528,-528,-528,528,0
65,8,1,first,0,10000,22,-9962,9962,13,0,0,13,559,-559,559,559,559,-559,491.258461538461538462,266.732307692307692308,-491.258461538461538462,-266.732307692307692308,491.258461538461538462,266.732307692307692308,258,-258,129,-129,-129,129,0,344,-344,-344,344,0
65,8,1,first,0,10000,23,-9949,9949,31,0,0,31,1302,-1302,1302,1302,1302,-1302,1144.21917159763313609,621.262011834319526627,-1144.21917159763313609,-621.262011834319526627,1144.21917159763313609,621.262011834319526627,462,-462,126,-126,-126,126,0,1050,-1050,-1050,1050,0
65,8,1,first,0,10000,24,-9918,9918,34,0,0,34,1394,-1394,1394,1394,1394,-1394,1225.07029585798816568,665.160710059171597633,-1225.07029585798816568,-665.160710059171597633,1225.07029585798816568,665.160710059171597633,123,-123,-205,205,205,-205,0,902,-902,-902,902,0
65,8,1,first,0,10000,25,-9884,9884,58,0,0,58,2320,-2320,2320,2320,2320,-2320,2038.85443786982248521,1107.0106508875739645,-2038.85443786982248521,-1107.0106508875739645,2038.85443786982248521,1107.0106508875739645,400,-400,-40,40,40,-40,0,1600,-1600,-1600,1600,0
