n,a,b,orientation,batch,samples,kind,k,count
145,12,1,first,0,1000000,minus,37,1
145,12,1,first,0,1000000,minus,39,1
145,12,1,first,0,1000000,minus,40,2
145,12,1,first,0,1000000,minus,41,3
145,12,1,first,0,1000000,minus,42,4
145,12,1,first,0,1000000,minus,43,8
145,12,1,first,0,1000000,minus,44,13
145,12,1,first,0,1000000,minus,45,21
145,12,1,first,0,1000000,minus,46,22
145,12,1,first,0,1000000,minus,47,34
145,12,1,first,0,1000000,minus,48,48
145,12,1,first,0,1000000,minus,49,67
145,12,1,first,0,1000000,minus,50,77
145,12,1,first,0,1000000,minus,51,107
145,12,1,first,0,1000000,minus,52,174
145,12,1,first,0,1000000,minus,53,199
145,12,1,first,0,1000000,minus,54,298
145,12,1,first,0,1000000,minus,55,403
145,12,1,first,0,1000000,minus,56,572
145,12,1,first,0,1000000,minus,57,683
145,12,1,first,0,1000000,plus,57,1
145,12,1,first,0,1000000,minus,58,876
145,12,1,first,0,1000000,minus,59,1183
145,12,1,first,0,1000000,plus,59,4
145,12,1,first,0,1000000,minus,60,1473
145,12,1,first,0,1000000,plus,60,4
145,12,1,first,0,1000000,minus,61,1944
145,12,1,first,0,1000000,plus,61,6
145,12,1,first,0,1000000,minus,62,2444
145,12,1,first,0,1000000,plus,62,14
145,12,1,first,0,1000000,minus,63,3167
145,12,1,first,0,1000000,plus,63,28
145,12,1,first,0,1000000,minus,64,4011
145,12,1,first,0,1000000,plus,64,40
145,12,1,first,0,1000000,minus,65,5093
145,12,1,first,0,1000000,plus,65,44
145,12,1,first,0,1000000,minus,66,6140
145,12,1,first,0,1000000,plus,66,96
145,12,1,first,0,1000000,minus,67,7779
145,12,1,first,0,1000000,plus,67,149
145,12,1,first,0,1000000,minus,68,9404
145,12,1,first,0,1000000,plus,68,244
145,12,1,first,0,1000000,minus,69,11600
145,12,1,first,0,1000000,plus,69,389
145,12,1,first,0,1000000,minus,70,14309
145,12,1,first,0,1000000,plus,70,578
145,12,1,first,0,1000000,minus,71,16867
145,12,1,first,0,1000000,plus,71,802
145,12,1,first,0,1000000,minus,72,20059
145,12,1,first,0,1000000,plus,72,1342
145,12,1,first,0,1000000,minus,73,23658
145,12,1,first,0,1000000,plus,73,1811
145,12,1,first,0,1000000,minus,74,27664
145,12,1,first,0,1000000,plus,74,2743
145,12,1,first,0,1000000,minus,75,31670
145,12,1,first,0,1000000,plus,75,3865
145,12,1,first,0,1000000,minus,76,35975
145,12,1,first,0,1000000,plus,76,5221
145,12,1,first,0,1000000,minus,77,40642
145,12,1,first,0,1000000,plus,77,7144
145,12,1,first,0,1000000,minus,78,44879
145,12,1,first,0,1000000,plus,78,9625
145,12,1,first,0,1000000,minus,79,48654
145,12,1,first,0,1000000,plus,79,12609
145,12,1,first,0,1000000,minus,80,51685
145,12,1,first,0,1000000,plus,80,16164
145,12,1,first,0,1000000,minus,81,53984
145,12,1,first,0,1000000,plus,81,20513
145,12,1,first,0,1000000,minus,82,55736
145,12,1,first,0,1000000,plus,82,24930
145,12,1,first,0,1000000,minus,83,56002
145,12,1,first,0,1000000,plus,83,30100
145,12,1,first,0,1000000,minus,84,55867
145,12,1,first,0,1000000,plus,84,35260
145,12,1,first,0,1000000,minus,85,53179
145,12,1,first,0,1000000,plus,85,40837
145,12,1,first,0,1000000,minus,86,50420
145,12,1,first,0,1000000,plus,86,45630
145,12,1,first,0,1000000,minus,87,46215
145,12,1,first,0,1000000,plus,87,50225
145,12,1,first,0,1000000,minus,88,41459
145,12,1,first,0,1000000,plus,88,54140
145,12,1,first,0,1000000,minus,89,36308
145,12,1,first,0,1000000,plus,89,56914
145,12,1,first,0,1000000,minus,90,30823
